Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.38,7.563,7.00,7.50,1900,112.500
2000-01-04,7.47,7.75,7.25,7.75,3300,116.250
2000-01-05,7.75,7.75,7.25,7.625,3000,114.375
2000-01-06,7.63,8.125,7.625,8.125,10000,121.875
2000-01-07,8.25,9.938,8.25,9.75,51200,146.250
2000-01-10,9.94,10.125,9.625,9.938,22600,149.070
2000-01-11,9.94,10.00,9.531,9.813,9300,147.195
2000-01-12,9.88,10.00,8.125,9.063,5900,135.945
2000-01-13,9.03,9.438,9.00,9.25,5900,138.750
2000-01-14,9.13,9.50,8.50,8.625,8200,129.375
2000-01-18,8.50,9.125,8.50,9.125,4200,136.875
2000-01-19,9.31,10.00,9.00,9.813,7100,147.195
2000-01-20,9.88,10.00,8.75,8.875,9500,133.125
2000-01-21,8.88,9.00,8.25,8.563,9200,128.445
2000-01-24,8.75,9.125,8.563,9.00,3600,135.000
2000-01-25,8.94,9.00,8.313,8.625,2800,129.375
2000-01-26,9.00,9.063,8.688,9.00,6700,135.000
2000-01-27,9.00,9.25,8.75,9.00,5600,135.000
2000-01-28,9.00,9.125,8.50,8.938,3200,134.070
2000-01-31,8.719,8.719,7.313,7.50,5200,112.500
2000-02-01,7.56,7.813,7.438,7.813,5700,117.195
2000-02-02,8.00,8.875,7.875,8.875,8200,133.125
2000-02-03,8.75,9.50,8.50,8.75,4600,131.250
2000-02-04,8.69,8.938,8.438,8.938,5600,134.070
2000-02-07,8.94,9.188,8.50,9.063,6100,135.945
2000-02-08,9.125,9.125,8.813,9.00,2000,135.000
2000-02-09,8.81,9.125,8.625,8.938,2200,134.070
2000-02-10,8.75,8.75,8.188,8.625,3400,129.375
2000-02-11,8.19,8.75,7.875,7.875,2500,118.125
2000-02-14,7.75,8.625,7.75,7.938,3200,119.070
2000-02-15,8.00,9.875,7.875,9.00,13800,135.000
2000-02-16,9.19,9.50,8.688,8.75,20400,131.250
2000-02-17,9.00,9.00,8.25,8.50,6500,127.500
2000-02-18,8.94,9.063,8.00,8.25,6500,123.750
2000-02-22,8.63,9.375,8.25,8.813,18000,132.195
2000-02-23,8.88,10.50,8.875,9.813,40200,147.195
2000-02-24,9.56,9.813,8.75,9.25,12000,138.750
2000-02-25,9.31,9.531,8.625,9.25,8400,138.750
2000-02-28,9.44,9.844,9.156,9.50,11600,142.500
2000-02-29,9.594,12.438,9.594,11.063,56400,165.945
2000-03-01,11.38,13.25,11.313,11.875,43600,178.125
2000-03-02,12.31,12.875,11.75,12.00,16100,180.000
2000-03-03,11.94,12.00,10.875,11.063,16200,165.945
2000-03-06,11.00,12.125,11.00,11.625,8700,174.375
2000-03-07,12.03,12.125,11.625,11.688,10000,175.320
2000-03-08,11.81,11.875,11.375,11.688,10300,175.320
2000-03-09,11.69,13.313,11.50,12.938,18000,194.070
2000-03-10,13.75,16.563,13.75,16.063,24900,240.945
2000-03-13,15.88,16.063,14.438,15.625,30100,234.375
2000-03-14,15.88,16.00,14.375,14.375,20200,215.625
2000-03-15,14.88,15.00,14.25,14.438,12900,216.570
2000-03-16,14.19,14.375,13.75,13.938,12400,209.070
2000-03-17,13.94,14.00,12.00,13.25,9300,198.750
2000-03-20,13.34,14.438,13.25,13.875,10500,208.125
2000-03-21,13.88,14.438,13.625,14.375,10300,215.625
