Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,16.6875,16.6875,16.6875,16.6875,800,6.38645
2000-01-04,16.6875,16.6875,16.25,16.25,9800,6.21901
2000-01-05,16.5625,16.5625,16.25,16.5625,3200,6.33861
2000-01-06,16.25,16.25,16.125,16.125,12000,6.17117
2000-01-07,16.125,16.125,16.125,16.125,000,6.17117
2000-01-10,16.375,16.375,16.125,16.25,7600,6.21901
2000-01-11,16.1875,16.375,16.00,16.00,47800,6.12333
2000-01-12,16.0625,16.25,15.50,15.50,3800,5.93198
2000-01-13,15.75,15.875,15.00,15.75,283800,6.02766
2000-01-14,15.25,15.8125,15.25,15.75,36800,6.02766
2000-01-18,16.25,16.25,15.625,15.625,6400,5.97982
2000-01-19,15.75,15.75,15.625,15.625,9200,5.97982
2000-01-20,15.625,15.875,15.625,15.625,29000,5.97982
2000-01-21,15.625,15.875,15.50,15.50,19000,5.93198
2000-01-24,15.50,15.875,15.50,15.6875,12400,6.00374
2000-01-25,15.50,15.50,15.50,15.50,200,5.93198
2000-01-26,15.50,15.875,15.50,15.8125,24000,6.05158
2000-01-27,15.875,16.5625,15.875,15.9375,85200,6.09941
2000-01-28,15.9375,15.9375,15.9375,15.9375,1800,6.09941
2000-01-31,15.9375,15.9375,15.9375,15.9375,4400,6.09941
2000-02-01,16.375,16.375,15.9375,15.9375,9200,6.09941
2000-02-02,15.9375,15.9375,15.9375,15.9375,16800,6.09941
2000-02-03,15.9375,15.9375,15.9375,15.9375,000,6.09941
2000-02-04,15.9375,15.9375,15.9375,15.9375,5600,6.09941
2000-02-07,16.00,16.00,15.9375,15.9375,15000,6.09941
2000-02-08,16.00,16.00,15.8125,15.8125,4800,6.05158
2000-02-09,15.8125,15.8125,15.8125,15.8125,10400,6.05158
2000-02-10,15.8125,15.8125,15.6875,15.6875,5800,6.00374
2000-02-11,15.75,15.875,15.75,15.875,39000,6.075
2000-02-14,15.875,15.875,15.875,15.875,000,6.075
2000-02-15,15.875,15.875,15.875,15.875,000,6.075
2000-02-16,15.875,15.875,15.4375,15.4375,7000,5.90806
2000-02-17,15.625,15.875,15.625,15.875,5200,6.075
2000-02-18,15.875,15.875,15.875,15.875,000,6.075
2000-02-22,15.50,15.50,15.50,15.50,4000,5.93198
2000-02-23,15.50,15.50,15.50,15.50,2200,5.93198
2000-02-24,15.50,15.50,14.75,14.75,21800,5.64495
2000-02-25,14.75,14.75,14.25,14.25,11800,5.45359
2000-02-28,14.1875,14.1875,14.00,14.125,74800,5.4057
2000-02-29,14.0625,14.25,14.0625,14.0625,22800,5.38184
2000-03-01,14.0625,14.25,14.0625,14.125,19000,5.4057
2000-03-02,14.0625,14.0625,14.0625,14.0625,4000,5.38184
2000-03-03,14.4375,14.4375,14.375,14.4375,4200,5.52535
2000-03-06,14.375,14.50,14.125,14.50,2000,5.54927
2000-03-07,14.125,14.9375,14.0625,14.9375,57600,5.71671
2000-03-08,14.00,15.00,14.00,15.00,41400,5.7406
