Date,Open,High,Low,Close,Volume,Adj Clos
2001-06-27,15.00,15.25,15.00,15.10,73500,5.75308
2001-06-28,15.07,15.40,15.00,15.15,85200,5.77213
2001-06-29,15.01,15.10,15.00,15.10,7000,5.75308
2001-07-02,15.10,15.11,15.05,15.11,7800,5.75689
2001-07-03,15.00,15.09,15.00,15.08,20900,5.74546
2001-07-05,15.09,15.09,15.00,15.04,9900,5.73022
2001-07-06,15.05,15.05,15.00,15.03,6100,5.72641
2001-07-09,15.02,15.10,15.00,15.05,44900,5.73403
2001-07-10,15.10,15.18,15.06,15.09,10100,5.74927
2001-07-11,15.06,15.14,15.06,15.14,19900,5.76832
2001-07-12,15.14,15.14,15.07,15.07,7200,5.74165
2001-07-13,15.02,15.07,15.01,15.01,19700,5.71879
2001-07-16,15.09,15.09,15.00,15.00,9800,5.71498
2001-07-17,15.00,15.09,15.00,15.07,9600,5.74165
2001-07-18,15.03,15.03,15.01,15.02,11100,5.72260
2001-07-19,15.03,15.13,15.03,15.13,17900,5.76451
2001-07-20,15.10,15.10,15.02,15.03,17000,5.72641
2001-07-23,15.03,15.09,15.03,15.03,25900,5.72641
2001-07-24,15.03,15.09,15.03,15.05,30400,5.73403
2001-07-25,15.04,15.07,15.03,15.05,23200,5.73403
2001-07-26,15.05,15.09,15.05,15.08,8100,5.74546
2001-07-27,15.09,15.13,15.06,15.09,18300,5.74927
2001-07-30,15.10,15.10,15.06,15.08,9000,5.74546
2001-07-31,15.09,15.25,15.08,15.25,12900,5.81023
2001-08-01,15.20,15.20,15.05,15.13,18600,5.76451
2001-08-02,15.14,15.19,15.05,15.15,6600,5.77213
2001-08-03,15.20,15.43,15.20,15.34,15800,5.84452
2001-08-06,15.43,15.43,15.25,15.25,35400,5.81023
2001-08-07,15.25,15.38,15.25,15.38,24000,5.85976
2001-08-08,15.29,15.43,15.29,15.40,11300,5.86738
2001-08-09,15.40,15.40,15.29,15.39,7100,5.86357
2001-08-10,15.40,15.44,15.25,15.25,51500,5.81023
2001-08-13,15.27,15.55,15.27,15.50,66600,5.90548
2001-08-14,15.50,15.65,15.50,15.55,84700,5.92453
2001-08-15,15.55,15.65,15.50,15.55,16500,5.92453
2001-08-16,15.55,16.00,15.50,16.00,392500,6.09598
2001-08-17,16.00,16.00,15.85,15.88,518100,6.05026
2001-08-20,15.85,15.85,15.56,15.58,59200,5.93596
2001-08-21,15.67,15.73,15.57,15.73,29400,5.99311
2001-08-22,15.70,15.90,15.56,15.65,41300,5.99119
2001-08-23,15.56,15.77,15.40,15.51,52100,5.93760
2001-08-24,15.41,15.55,15.41,15.50,11300,5.93377
2001-08-27,15.46,15.55,14.60,15.07,123200,5.7691
2001-08-28,15.00,15.15,15.00,15.07,88800,5.7691
2001-08-29,15.12,15.15,15.07,15.12,18600,5.78830
2001-08-30,15.15,15.21,15.10,15.21,10300,5.82275
2001-08-31,15.22,15.36,15.18,15.33,20200,5.86869
2001-09-04,15.33,15.36,15.25,15.35,19600,5.87635
2001-09-05,15.48,15.49,15.18,15.18,32100,5.81127
2001-09-06,15.19,15.31,15.19,15.26,31700,5.84189
2001-09-07,15.22,15.31,15.19,15.31,29400,5.86103
2001-09-10,15.27,15.31,15.25,15.31,14100,5.86103
2001-09-17,15.05,15.31,15.02,15.26,37400,5.84189
2001-09-18,15.30,15.31,15.20,15.25,63900,5.83806
2001-09-19,15.29,15.29,14.98,15.10,52200,5.78064
2001-09-20,15.10,15.15,14.30,14.75,98200,5.64665
2001-09-21,14.75,15.18,14.75,14.95,64600,5.72322
2001-09-24,14.98,15.05,14.63,14.75,53800,5.64665
2001-09-25,14.79,14.90,14.53,14.90,76000,5.7040
2001-09-26,14.94,15.06,14.91,14.95,17000,5.72322
2001-09-27,15.05,15.10,14.89,14.90,22800,5.7040
2001-09-28,15.00,15.01,14.88,15.00,29200,5.74236
2001-10-01,15.01,15.02,14.94,15.01,30900,5.74619
2001-10-02,15.16,15.26,15.11,15.16,20500,5.80361
2001-10-03,15.14,15.34,15.10,15.30,58500,5.8572
2001-10-04,15.35,15.35,15.11,15.21,24000,5.82275
2001-10-05,15.32,15.32,14.98,15.11,47000,5.78447
2001-10-08,15.05,15.14,14.96,15.14,11300,5.79595
2001-10-09,15.15,15.15,15.05,15.08,37400,5.77298
2001-10-10,15.08,15.11,14.99,15.09,18800,5.80569
2001-10-11,15.10,15.13,15.00,15.04,27800,5.78645
2001-10-12,15.03,15.10,15.03,15.10,16100,5.80953
2001-10-15,15.14,15.25,15.12,15.20,27800,5.84801
2001-10-16,15.10,15.34,15.09,15.25,40900,5.86724
2001-10-17,15.25,15.25,15.23,15.25,5500,5.86724
2001-10-18,15.30,15.35,15.14,15.14,12100,5.82492
2001-10-19,15.23,15.31,15.23,15.31,5400,5.89033
2001-10-22,15.31,15.33,15.18,15.30,39300,5.88648
2001-10-23,15.22,15.34,15.20,15.33,36300,5.89802
2001-10-24,15.34,15.34,15.18,15.18,13600,5.84031
2001-10-25,15.25,15.26,15.15,15.22,6700,5.85570
2001-10-26,15.12,15.26,15.12,15.23,12000,5.85955
2001-10-29,15.25,15.26,15.13,15.26,12800,5.87109
2001-10-30,15.25,15.33,15.15,15.21,14500,5.8518
2001-10-31,15.30,15.40,15.28,15.28,41700,5.87879
2001-11-01,15.38,15.41,15.30,15.40,10800,5.9249
2001-11-02,15.35,15.40,15.35,15.35,24900,5.90572
2001-11-05,15.35,15.45,15.35,15.45,32500,5.94419
2001-11-06,15.38,15.69,15.37,15.62,23700,6.00960
2001-11-07,15.60,15.61,15.50,15.50,15000,5.96343
2001-11-08,15.60,15.61,15.51,15.56,29900,5.98651
2001-11-09,15.56,15.71,15.38,15.60,32000,6.00190
2001-11-12,15.57,15.66,15.50,15.50,18600,5.96343
2001-11-13,15.61,15.61,15.35,15.36,27000,5.9095
2001-11-14,15.38,15.38,15.03,15.37,52800,5.94243
2001-11-15,15.37,15.38,15.20,15.29,19400,5.91150
2001-11-16,15.25,15.25,15.02,15.09,36800,5.83417
2001-11-19,15.08,15.12,14.95,15.12,43100,5.84577
2001-11-20,15.10,15.10,14.84,14.91,73100,5.76458
2001-11-21,15.01,15.01,14.92,14.99,24900,5.79551
2001-11-23,15.00,15.00,15.00,15.00,1300,5.79938
2001-11-26,15.01,15.05,15.00,15.03,18100,5.81098
2001-11-27,14.97,15.12,14.96,15.12,39100,5.84577
2001-11-28,15.13,15.13,15.05,15.12,10200,5.84577
2001-11-29,15.12,15.29,15.02,15.29,22300,5.91150
2001-11-30,15.25,15.39,15.20,15.39,14400,5.95016
2001-12-03,15.39,15.47,15.20,15.20,26000,5.87670
2001-12-04,15.27,15.35,15.25,15.35,9200,5.93470
2001-12-05,15.36,15.36,15.19,15.28,18100,5.90763
2001-12-06,15.28,15.28,15.06,15.08,19600,5.83031
2001-12-07,15.06,15.20,15.06,15.10,17200,5.83804
2001-12-10,15.19,15.29,14.85,15.17,54300,5.86510
2001-12-11,15.10,15.16,15.04,15.09,21900,5.83417
2001-12-12,15.08,15.30,15.05,15.13,45200,5.87886
2001-12-13,15.11,15.12,15.07,15.08,26100,5.85943
2001-12-14,15.08,15.09,15.00,15.09,27900,5.8633
2001-12-17,15.10,15.18,14.97,15.00,19300,5.8283
2001-12-18,15.00,15.10,14.96,15.10,19900,5.86720
2001-12-19,15.10,15.10,14.95,14.96,31600,5.81280
2001-12-20,14.92,14.96,14.83,14.93,25900,5.80115
2001-12-21,14.93,14.93,14.60,14.60,35700,5.67292
2001-12-24,14.61,14.69,14.58,14.68,7300,5.70401
2001-12-26,14.43,14.65,14.32,14.62,62000,5.68069
2001-12-27,14.64,14.69,14.53,14.68,25500,5.70401
2001-12-28,14.68,14.70,14.58,14.70,20100,5.71178
2001-12-31,14.77,14.85,14.70,14.85,32500,5.77006
2002-01-02,14.85,14.94,14.79,14.86,18300,5.77395
2002-01-03,14.85,15.01,14.80,14.98,37700,5.82057
2002-01-04,14.95,14.95,14.81,14.86,21400,5.77395
2002-01-07,14.85,15.01,14.85,15.01,20000,5.83223
2002-01-08,15.01,15.09,15.00,15.09,11300,5.8633
2002-01-09,15.01,15.10,14.94,14.96,18800,5.84262
2002-01-10,14.99,15.01,14.94,14.95,16500,5.83871
2002-01-11,14.95,15.03,14.95,15.02,13400,5.86605
2002-01-14,15.05,15.05,14.97,15.03,10900,5.86995
2002-01-15,15.07,15.09,15.04,15.04,18900,5.87386
2002-01-16,15.12,15.12,14.99,14.99,15000,5.85433
2002-01-17,15.06,15.12,15.03,15.05,15600,5.8777
2002-01-18,15.02,15.06,14.99,15.06,11100,5.88167
2002-01-22,15.12,15.20,15.03,15.10,13500,5.89729
2002-01-23,15.08,15.13,15.02,15.13,18600,5.90901
2002-01-24,15.01,15.13,15.01,15.11,24400,5.90120
2002-01-25,15.14,15.14,15.03,15.05,16200,5.8777
2002-01-28,15.03,15.05,15.03,15.05,10400,5.8777
2002-01-29,15.05,15.13,15.00,15.10,21700,5.89729
2002-01-30,15.13,15.13,14.99,15.04,16600,5.87386
2002-01-31,15.00,15.05,15.00,15.05,6000,5.8777
2002-02-01,15.05,15.10,15.01,15.02,8800,5.86605
2002-02-04,15.04,15.10,15.00,15.01,9200,5.86214
2002-02-05,15.00,15.13,15.00,15.13,6400,5.90901
2002-02-06,15.13,15.20,15.03,15.13,14400,5.90901
2002-02-07,15.14,15.16,15.05,15.16,10200,5.92073
2002-02-08,15.06,15.29,15.05,15.18,19800,5.92854
2002-02-11,15.29,15.36,15.23,15.32,44300,5.98321
2002-02-12,15.33,15.36,15.10,15.31,29100,5.97931
2002-02-13,15.28,15.28,15.17,15.17,31900,5.95458
2002-02-14,15.16,15.20,15.12,15.20,25900,5.9663
2002-02-15,15.20,15.36,15.20,15.28,9600,5.99776
2002-02-19,15.35,15.36,15.14,15.14,37900,5.94280
2002-02-20,15.15,15.29,15.07,15.20,23600,5.9663
2002-02-21,15.15,15.32,15.10,15.13,26200,5.93888
2002-02-22,15.15,15.20,15.06,15.06,32400,5.91140
2002-02-25,15.00,15.17,15.00,15.16,30800,5.95065
2002-02-26,15.20,15.20,15.04,15.19,25600,5.96243
2002-02-27,15.19,15.28,15.15,15.25,13300,5.98598
2002-02-28,15.14,15.29,15.14,15.29,8300,6.00168
2002-03-01,15.28,15.31,15.12,15.20,17400,5.9663
2002-03-04,15.23,15.31,15.18,15.30,7800,6.00561
2002-03-05,15.11,15.30,15.11,15.20,16800,5.9663
2002-03-06,15.20,15.28,15.12,15.22,13800,5.9742
2002-03-07,15.22,15.22,15.10,15.11,20300,5.93103
2002-03-08,15.18,15.20,15.10,15.20,61800,5.9663
2002-03-11,15.10,15.24,15.00,15.05,43400,5.90748
2002-03-12,15.01,15.05,14.91,15.00,20200,5.88785
2002-03-13,14.86,14.97,14.76,14.90,22000,5.87878
2002-03-14,14.80,14.97,14.80,14.90,35400,5.87878
2002-03-15,14.96,14.96,14.85,14.90,14300,5.87878
2002-03-18,14.82,14.89,14.71,14.71,21800,5.80381
2002-03-19,14.70,14.76,14.65,14.65,35800,5.78014
2002-03-20,14.65,14.70,14.50,14.70,28300,5.79987
2002-03-21,14.70,14.81,14.60,14.60,17400,5.76041
2002-03-22,14.58,14.72,14.58,14.70,9700,5.79987
2002-03-25,14.72,14.80,14.58,14.80,16100,5.83932
2002-03-26,14.75,14.75,14.65,14.65,7100,5.78014
2002-03-27,14.65,14.70,14.58,14.58,19800,5.75252
2002-03-28,14.57,14.69,14.50,14.50,15700,5.72096
2002-04-01,14.60,14.60,14.47,14.60,14700,5.76041
2002-04-02,14.60,14.60,14.50,14.50,15700,5.72096
2002-04-03,14.55,14.60,14.43,14.50,12400,5.72096
2002-04-04,14.50,14.50,14.27,14.27,24800,5.63021
2002-04-05,14.33,14.44,14.30,14.44,24300,5.69728
2002-04-08,14.44,14.50,14.40,14.50,19900,5.72096
2002-04-09,14.41,14.69,14.41,14.60,21300,5.76041
2002-04-10,14.59,14.65,14.46,14.51,20900,5.7552
2002-04-11,14.60,14.60,14.35,14.49,32400,5.74732
2002-04-12,14.53,14.53,14.35,14.36,31400,5.69576
2002-04-15,14.32,14.55,14.25,14.55,15500,5.77112
2002-04-16,14.53,14.56,14.41,14.55,20800,5.77112
2002-04-17,14.59,14.69,14.50,14.53,22000,5.76319
2002-04-18,14.65,14.69,14.65,14.69,11700,5.82665
2002-04-19,14.60,14.69,14.60,14.68,9500,5.82268
2002-04-22,14.69,14.70,14.65,14.65,14900,5.81078
2002-04-23,14.66,14.70,14.60,14.60,13000,5.79095
2002-04-24,14.62,14.80,14.62,14.80,20200,5.87028
2002-04-25,14.78,15.05,14.70,15.05,31300,5.96944
2002-04-26,14.95,15.07,14.80,14.95,36200,5.92978
2002-04-29,14.96,14.96,14.78,14.85,18700,5.89011
2002-04-30,14.75,14.91,14.70,14.71,22200,5.83458
2002-05-01,14.80,14.92,14.79,14.92,13500,5.91788
2002-05-02,14.94,14.99,14.74,14.99,14900,5.94564
2002-05-03,14.99,15.00,14.85,14.90,8900,5.90994
2002-05-06,14.90,14.98,14.80,14.86,25900,5.89408
2002-05-07,14.90,15.00,14.88,15.00,22600,5.94961
2002-05-08,14.86,15.00,14.85,14.90,31200,5.94044
2002-05-09,14.95,14.98,14.95,14.98,3900,5.97233
2002-05-10,14.90,14.98,14.84,14.97,28800,5.96835
2002-05-13,14.95,14.98,14.93,14.97,15900,5.96835
2002-05-14,14.98,14.98,14.75,14.90,23500,5.94044
2002-05-15,14.77,14.80,14.66,14.69,15100,5.85671
2002-05-16,14.69,14.73,14.54,14.55,14800,5.80090
2002-05-17,14.68,14.71,14.60,14.70,9500,5.86070
2002-05-20,14.72,14.72,14.54,14.54,11200,5.79691
2002-05-21,14.56,14.68,14.50,14.55,36800,5.80090
2002-05-22,14.65,14.70,14.48,14.60,37200,5.82083
2002-05-23,14.64,14.68,14.46,14.52,34400,5.78894
2002-05-24,14.62,14.67,14.42,14.57,43200,5.80887
2002-05-28,14.58,14.77,14.54,14.76,33800,5.88462
2002-05-29,14.76,14.95,14.76,14.93,18800,5.95240
2002-05-30,14.95,14.95,14.77,14.88,47300,5.9324
2002-05-31,14.87,14.94,14.82,14.90,9900,5.94044
2002-06-03,14.90,14.90,14.85,14.90,8900,5.94044
2002-06-04,14.90,14.90,14.76,14.80,11600,5.90057
2002-06-05,14.83,14.85,14.80,14.85,21500,5.9205
2002-06-06,14.85,14.85,14.72,14.77,16400,5.88861
2002-06-07,14.80,14.85,14.76,14.76,27800,5.88462
2002-06-10,14.77,14.84,14.70,14.82,23800,5.90854
2002-06-11,14.71,14.85,14.71,14.85,24800,5.9205
2002-06-12,14.77,14.80,14.73,14.80,6700,5.9313
2002-06-13,14.84,14.90,14.76,14.86,8500,5.95537
2002-06-14,14.80,14.84,14.75,14.75,32800,5.91129
2002-06-17,14.71,14.77,14.71,14.77,14900,5.91930
2002-06-18,14.75,14.85,14.60,14.70,59900,5.89125
2002-06-19,14.67,14.78,14.60,14.62,26400,5.85919
