Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.968782,9.500073,8.749932,9.500073,990700,0.5369
2000-01-04,9.312538,9.624979,8.875015,9.374991,1663000,0.529
2000-01-05,9.750061,9.874967,8.749932,9.250085,1264900,0.5228
2000-01-06,8.99992,9.125003,8.749932,8.749932,898700,0.4945
2000-01-07,8.99992,8.99992,8.499944,8.749932,663400,0.4945
2000-01-10,8.499944,8.99992,8.499944,8.499944,585600,0.4804
2000-01-11,8.499944,8.593712,8.375039,8.375039,1192400,0.4733
2000-01-12,8.375039,8.437491,8.312586,8.437491,458200,0.4769
2000-01-13,8.312586,8.499944,8.249956,8.375039,205200,0.4733
2000-01-14,8.312586,8.625027,8.249956,8.437491,550200,0.4769
2000-01-18,8.562574,8.687479,8.375039,8.375039,268900,0.4733
2000-01-19,8.437491,8.499944,8.375039,8.499944,369700,0.4804
2000-01-20,8.562574,8.562574,8.249956,8.375039,574900,0.4733
2000-01-21,8.499944,8.812562,8.375039,8.375039,240600,0.4733
2000-01-24,8.375039,8.749932,8.375039,8.375039,766000,0.4733
2000-01-25,8.375039,8.499944,7.999968,8.125051,366200,0.4592
2000-01-26,7.999968,7.999968,7.937516,7.999968,137900,0.4521
2000-01-27,8.031283,8.125051,7.999968,7.999968,277700,0.4521
2000-01-28,7.999968,8.125051,7.999968,8.062421,536000,0.4557
2000-01-31,8.031283,8.249956,7.999968,8.187503,438700,0.4627
2000-02-01,8.187503,8.625027,8.187503,8.375039,182200,0.4733
2000-02-02,8.312586,8.625027,8.249956,8.312586,440500,0.4698
2000-02-03,8.187503,8.249956,8.125051,8.249956,252900,0.4663
2000-02-04,8.249956,8.312586,8.125051,8.249956,348500,0.4663
2000-02-07,8.281271,8.312586,8.249956,8.249956,260000,0.4663
2000-02-08,8.249956,8.249956,8.125051,8.125051,337900,0.4592
2000-02-09,8.312586,8.312586,8.125051,8.312586,426300,0.4698
2000-02-10,8.249956,8.312586,7.999968,7.999968,364400,0.4521
2000-02-11,8.125051,8.249956,7.937516,8.249956,1369300,0.4663
2000-02-14,8.218818,8.249956,7.999968,8.125051,332600,0.4592
2000-02-15,8.156189,8.375039,8.062421,8.375039,277700,0.4733
2000-02-16,8.156189,8.249956,7.999968,8.249956,479400,0.4663
2000-02-17,8.125051,8.187503,7.999968,8.125051,543100,0.4592
2000-02-18,8.343724,8.343724,7.999968,7.999968,1438300,0.4521
2000-02-22,7.999968,8.125051,7.74998,7.937516,482900,0.4486
2000-02-23,7.74998,7.999968,7.74998,7.999968,808500,0.4521
2000-02-24,7.796864,7.812433,7.74998,7.812433,390900,0.4415
2000-02-25,7.74998,7.74998,7.124922,7.499992,797900,0.4239
2000-02-28,7.312457,7.687528,7.187552,7.499992,222900,0.4239
2000-02-29,7.250005,7.499992,7.250005,7.468677,203400,0.4221
2000-03-01,7.375087,7.625075,7.375087,7.625075,233500,0.4309
2000-03-02,7.499992,7.625075,7.250005,7.375087,824400,0.4168
2000-03-03,7.312457,7.375087,7.187552,7.375087,1107500,0.4168
2000-03-06,7.499992,7.687528,7.093784,7.687528,843900,0.4345
2000-03-07,7.375087,7.499992,6.812482,7.062469,702300,0.3991
2000-03-08,7.062469,7.625075,7.000017,7.468677,1188900,0.4221
2000-03-09,7.625075,8.125051,7.499992,7.74998,845600,0.4380
2000-03-10,7.74998,8.062421,7.687528,7.999968,438700,0.4521
2000-03-13,7.781295,7.875063,7.375087,7.468677,187500,0.4221
2000-03-14,7.74998,7.74998,7.343772,7.499992,155600,0.4239
2000-03-15,7.625075,7.74998,6.874934,7.187552,401600,0.4062
2000-03-16,7.124922,7.250005,7.062469,7.218689,321900,0.4080
2000-03-17,7.062469,7.124922,7.062469,7.124922,56600,0.4027
2000-03-20,7.124922,7.499992,7.000017,7.375087,482900,0.4168
2000-03-21,7.499992,7.625075,7.312457,7.499992,479400,0.4239
2000-03-22,7.937516,9.500073,7.906201,9.031234,4859900,0.5104
2000-03-23,9.06255,9.562525,8.812562,9.250085,2611300,0.5228
2000-03-24,9.374991,9.624979,9.187455,9.312538,1263200,0.5263
2000-03-27,9.312538,9.500073,9.125003,9.125003,859800,0.5157
2000-03-28,9.125003,10.000049,9.125003,9.874967,2103500,0.5581
2000-03-29,9.937419,11.062454,9.874967,10.562477,1579800,0.5970
2000-03-30,10.437572,10.874918,10.124954,10.124954,2363600,0.5722
2000-03-31,10.374942,11.249988,10.312489,11.109337,2276900,0.6279
2000-04-03,11.031316,11.875047,10.937547,11.687512,1949600,0.6606
2000-04-04,11.625059,11.749964,11.000001,11.625059,1486100,0.6570
2000-04-05,10.812466,11.749964,10.500025,11.749964,1034900,0.6641
2000-04-06,11.875047,13.250069,11.812417,12.874998,5917900,0.7277
2000-04-07,12.874998,12.937452,11.999952,12.499928,2284000,0.7065
2000-04-10,12.375023,12.62501,11.625059,11.625059,620900,0.6570
2000-04-11,11.999952,11.999952,11.375071,11.9375,838600,0.6747
2000-04-12,11.812417,11.9375,11.687512,11.749964,304300,0.6641
2000-04-13,11.9375,11.9375,11.499976,11.499976,1024300,0.6500
2000-04-14,11.375071,11.812417,10.62493,10.62493,1088000,0.6005
2000-04-17,10.812466,11.000001,10.374942,10.874918,353800,0.6146
2000-04-18,10.750013,12.874998,10.62493,11.499976,1139300,0.6500
2000-04-19,11.999952,12.62501,11.625059,12.24994,1560400,0.692
2000-04-20,12.31257,13.124986,12.125035,13.124986,2282200,0.7418
2000-04-24,13.124986,13.624963,12.749916,13.187439,1401200,0.7453
2000-04-25,13.312522,13.624963,12.562558,12.749916,1528500,0.7206
2000-04-26,13.124986,13.124986,12.749916,13.000081,629800,0.734
2000-04-27,12.499928,13.374975,11.875047,12.874998,808500,0.7277
2000-04-28,12.968767,13.000081,12.499928,12.499928,229900,0.7065
2000-05-01,12.375023,12.874998,12.24994,12.375023,306000,0.6994
2000-05-02,12.62501,12.62501,11.812417,11.812417,605000,0.6676
2000-05-03,11.781279,11.999952,11.56243,11.999952,808500,0.6782
2000-05-04,11.875047,11.999952,11.687512,11.749964,203400,0.6641
2000-05-05,11.687512,12.062583,10.874918,11.625059,1155200,0.6570
2000-05-08,11.625059,11.875047,11.249988,11.625059,548400,0.6570
2000-05-09,11.625059,11.812417,11.499976,11.56243,406900,0.6535
2000-05-10,11.499976,11.749964,11.125083,11.125083,507700,0.6288
2000-05-11,11.56243,11.9375,11.000001,11.9375,224600,0.6747
2000-05-12,11.437524,12.62501,11.437524,12.62501,751900,0.713
2000-05-15,12.437476,12.62501,12.187488,12.62501,1185300,0.713
2000-05-16,12.749916,13.000081,12.375023,12.62501,858000,0.713
2000-05-17,12.749916,13.000081,12.499928,13.000081,665200,0.734
2000-05-18,12.749916,13.062534,12.749916,12.749916,1206500,0.7206
2000-05-19,12.749916,12.874998,12.499928,12.749916,681100,0.7206
2000-05-22,12.499928,12.62501,12.499928,12.562558,118500,0.7100
2000-05-23,12.499928,12.62501,12.375023,12.499928,1102200,0.7065
