Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,32.4375,32.500005,31.750005,31.875,77200,7.09511
2000-01-04,31.624995,31.624995,30.687495,31.562505,78900,7.02555
2000-01-05,31.50,32.187495,31.3125,31.999995,39000,7.1229
2000-01-06,31.875,32.937495,31.875,32.687505,56500,7.27597
2000-01-07,32.562495,33.250005,32.562495,33.250005,53700,7.40118
2000-01-10,33.375,33.375,32.687505,32.687505,33900,7.27597
2000-01-11,33.00,33.00,32.8125,32.937495,27000,7.3316
2000-01-12,32.937495,33.250005,32.875005,33.250005,22800,7.40118
2000-01-13,33.1875,33.874995,33.124995,33.75,14100,7.51247
2000-01-14,33.625005,34.000005,33.1875,33.687495,61600,7.49856
2000-01-18,33.5625,34.875,33.5625,34.750005,53700,7.7350
2000-01-19,34.875,34.999995,34.062495,34.062495,41800,7.58203
2000-01-20,34.000005,34.375005,33.687495,33.75,42100,7.51247
2000-01-21,34.249995,34.812495,34.249995,34.50,30000,7.67942
2000-01-24,34.875,34.937505,33.75,34.000005,51400,7.56812
2000-01-25,34.125,34.187505,33.375,33.375,36900,7.42900
2000-01-26,33.375,33.874995,33.375,33.375,23800,7.42900
2000-01-27,33.375,33.75,33.375,33.375,27000,7.42900
2000-01-28,33.250005,33.250005,33.00,33.062505,30900,7.35944
2000-01-31,32.8125,33.124995,32.500005,33.062505,49000,7.35944
2000-02-01,33.124995,33.1875,32.625,33.124995,40200,7.37335
2000-02-02,33.062505,33.250005,32.875005,32.875005,28900,7.3177
2000-02-03,33.00,33.062505,32.562495,33.00,50700,7.34553
2000-02-04,32.875005,33.00,32.500005,32.625,56100,7.26206
2000-02-07,32.500005,33.00,32.500005,32.8125,20100,7.30379
2000-02-08,32.625,33.062505,32.374995,32.625,48700,7.26206
2000-02-09,32.625,32.937495,31.999995,31.999995,52300,7.1229
2000-02-10,31.999995,32.562495,31.999995,32.4375,17400,7.22032
2000-02-11,32.312505,32.374995,31.750005,31.999995,16600,7.1229
2000-02-14,31.750005,31.999995,31.624995,31.875,16500,7.09511
2000-02-15,31.999995,32.875005,31.999995,32.749995,27100,7.28988
2000-02-16,32.749995,33.437505,32.749995,33.1875,34600,7.43265
2000-02-17,33.250005,33.375,32.875005,33.250005,27100,7.44665
2000-02-18,33.375,33.375,31.999995,31.999995,41100,7.16670
2000-02-22,31.875,32.25,31.875,32.0625,26800,7.18070
2000-02-23,31.937505,32.25,31.937505,31.999995,18100,7.16670
2000-02-24,31.999995,32.0625,31.750005,31.750005,21900,7.11071
2000-02-25,31.750005,32.125005,31.750005,31.999995,19200,7.16670
2000-02-28,31.750005,31.875,31.437495,31.750005,38400,7.11071
2000-02-29,31.50,32.187495,31.437495,32.187495,55600,7.20869
2000-03-01,32.187495,32.687505,31.875,32.374995,76800,7.2506
2000-03-02,32.4375,33.437505,32.4375,33.00,60400,7.39066
2000-03-03,33.00,33.124995,32.625,32.8125,40500,7.34867
2000-03-06,32.687505,32.8125,32.687505,32.687505,40000,7.3206
2000-03-07,32.8125,34.562505,32.8125,34.562505,73800,7.74060
2000-03-08,34.50,34.562505,33.9375,33.9375,77700,7.60062
2000-03-09,33.812505,33.812505,32.374995,33.250005,46900,7.44665
2000-03-10,33.00,33.250005,32.749995,32.749995,45900,7.33467
2000-03-13,32.562495,33.312495,32.562495,32.749995,46600,7.33467
2000-03-14,32.749995,33.1875,32.687505,33.00,20800,7.39066
2000-03-15,32.937495,33.1875,32.937495,33.00,25300,7.39066
2000-03-16,34.249995,34.249995,33.499995,33.499995,41100,7.50264
2000-03-17,33.5625,33.625005,33.250005,33.250005,20800,7.44665
2000-03-20,33.250005,33.625005,33.124995,33.124995,22500,7.4186
2000-03-21,33.00,34.000005,33.00,33.687495,46800,7.54463
2000-03-22,33.75,33.9375,33.499995,33.687495,21000,7.54463
2000-03-23,33.9375,33.9375,33.75,33.75,29800,7.55863
2000-03-24,33.9375,34.000005,33.687495,33.687495,46500,7.54463
2000-03-27,33.874995,33.874995,33.5625,33.625005,42000,7.53064
2000-03-28,33.625005,34.375005,33.625005,33.687495,40900,7.54463
2000-03-29,33.687495,34.999995,33.687495,34.937505,61900,7.82458
2000-03-30,34.875,35.937495,34.875,35.4375,53800,7.93656
2000-03-31,35.562495,36.375,35.500005,36.00,63300,8.06254
2000-04-03,36.00,36.00,35.749995,35.875005,22900,8.03455
2000-04-04,35.937495,36.00,34.875,34.999995,58200,7.83858
2000-04-05,34.999995,34.999995,34.750005,34.812495,27100,7.79659
2000-04-06,34.937505,34.999995,34.750005,34.999995,26200,7.83858
2000-04-07,34.875,35.125005,34.624995,34.624995,12900,7.754
2000-04-10,34.50,34.875,34.249995,34.375005,30100,7.69861
2000-04-11,34.375005,35.187495,34.375005,34.937505,18900,7.82458
2000-04-12,34.875,35.25,34.750005,34.999995,26400,7.83858
2000-04-13,35.25,35.374995,34.562505,34.562505,39900,7.74060
2000-04-14,34.50,34.750005,33.499995,33.499995,50500,7.50264
2000-04-17,33.312495,33.874995,33.250005,33.375,56700,7.47465
2000-04-18,33.312495,33.625005,33.312495,33.499995,49200,7.50264
2000-04-19,33.75,34.249995,33.75,33.874995,26500,7.5866
2000-04-20,33.9375,34.375005,33.874995,34.375005,31500,7.69861
2000-04-24,34.125,34.50,34.125,34.187505,30300,7.65661
2000-04-25,34.249995,34.750005,34.249995,34.624995,39700,7.754
2000-04-26,34.562505,34.750005,34.562505,34.624995,39100,7.754
2000-04-27,34.624995,34.999995,34.624995,34.875,42300,7.81059
2000-04-28,34.937505,34.999995,34.812495,34.812495,30000,7.79659
2000-05-01,34.812495,35.125005,34.812495,35.0625,33400,7.85258
2000-05-02,34.999995,35.8125,34.999995,35.625,37800,7.9785
2000-05-03,35.749995,35.875005,34.999995,35.25,26100,7.89457
2000-05-04,35.312505,35.875005,35.312505,35.562495,26700,7.96456
2000-05-05,35.562495,36.00,35.500005,36.00,36900,8.06254
2000-05-08,35.937495,36.375,35.937495,36.375,51900,8.1465
2000-05-09,36.499995,36.687495,36.437505,36.437505,38100,8.16052
2000-05-10,36.5625,36.9375,36.5625,36.75,45100,8.23051
2000-05-11,36.874995,37.50,36.874995,37.50,88600,8.39848
