Date,Open,High,Low,Close,Volume,Adj Clos
2003-01-16,15.25,15.50,15.00,15.50,23419300,10.44548
2003-01-17,15.35,16.00,15.27,15.85,2224700,10.68135
2003-01-21,15.70,15.83,15.52,15.57,1257700,10.4926
2003-01-22,15.50,15.59,15.30,15.52,1243400,10.45896
2003-01-23,15.58,15.65,15.42,15.65,631900,10.54657
2003-01-24,15.70,15.70,15.51,15.65,619800,10.54657
2003-01-27,15.54,15.61,15.50,15.53,470200,10.46570
2003-01-28,15.52,15.65,15.52,15.57,457900,10.4926
2003-01-29,15.49,15.62,15.45,15.57,582700,10.4926
2003-01-30,15.67,15.72,15.40,15.40,323500,10.37809
2003-01-31,15.38,15.57,15.38,15.46,430900,10.41853
2003-02-03,15.47,15.55,15.47,15.53,291100,10.46570
2003-02-04,15.52,15.56,15.48,15.54,300600,10.47244
2003-02-05,15.51,15.55,15.47,15.49,198600,10.43874
2003-02-06,15.40,15.49,15.40,15.46,367800,10.41853
2003-02-07,15.45,15.48,15.25,15.30,468800,10.31070
2003-02-10,15.28,15.35,14.80,15.14,979800,10.20288
2003-02-11,15.15,15.19,14.97,15.00,1146700,10.10853
2003-02-12,15.00,15.15,15.00,15.15,860300,10.20962
2003-02-13,15.05,15.10,15.02,15.03,241000,10.12875
2003-02-14,15.06,15.17,15.00,15.15,360100,10.20962
2003-02-18,15.20,15.20,15.08,15.14,91400,10.20288
2003-02-19,15.12,15.20,15.09,15.19,157500,10.23657
2003-02-20,15.15,15.35,15.15,15.22,347600,10.25679
2003-02-21,15.15,15.27,15.14,15.27,117200,10.2904
2003-02-24,15.27,15.27,15.20,15.23,167900,10.26353
2003-02-25,15.25,15.25,15.14,15.20,210600,10.24331
2003-02-26,15.20,15.20,15.12,15.17,154600,10.22309
2003-02-27,15.17,15.22,15.14,15.20,167400,10.24331
2003-02-28,15.20,15.26,15.19,15.25,214600,10.27701
2003-03-03,15.27,15.40,15.20,15.35,131700,10.34440
2003-03-04,15.30,15.35,15.18,15.24,142900,10.27027
2003-03-05,15.25,15.33,15.17,15.30,138600,10.31070
2003-03-06,15.25,15.36,15.15,15.36,308900,10.35114
2003-03-07,15.29,15.50,15.26,15.49,179900,10.43874
2003-03-10,15.49,15.49,15.30,15.34,108400,10.33766
2003-03-11,15.35,15.48,15.23,15.32,138100,10.32418
2003-03-12,15.22,15.32,15.16,15.24,103100,10.27027
2003-03-13,15.26,15.34,15.22,15.34,98600,10.33766
2003-03-14,15.24,15.44,15.24,15.34,112100,10.33766
2003-03-17,15.36,15.43,15.16,15.35,112600,10.34440
2003-03-18,15.35,15.42,15.32,15.41,123900,10.38483
2003-03-19,15.41,15.45,15.30,15.39,59500,10.37135
2003-03-20,15.39,15.42,15.30,15.40,85300,10.37809
2003-03-21,15.41,15.64,15.32,15.63,175200,10.53309
2003-03-24,15.64,15.64,15.39,15.55,44600,10.47918
2003-03-25,15.55,15.74,15.53,15.69,178900,10.57352
2003-03-26,15.73,15.79,15.62,15.79,118500,10.64091
2003-03-27,15.17,15.65,15.17,15.53,465900,10.46570
2003-03-28,15.55,15.79,15.54,15.67,135900,10.56005
2003-03-31,15.67,15.84,15.66,15.81,195200,10.65439
2003-04-01,15.81,15.81,15.68,15.80,109900,10.64765
2003-04-02,15.80,15.97,15.77,15.97,192400,10.76222
