Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,26.75,28.25,26.4375,28.125,277600,12.69196
2000-01-04,28.00,28.00,27.125,27.125,271700,12.24069
2000-01-05,25.625,25.875,25.125,25.50,238300,11.50738
2000-01-06,24.875,24.9375,24.5625,24.625,61800,11.1125
2000-01-07,24.75,25.375,24.6875,25.375,133400,11.45097
2000-01-10,25.50,25.6875,25.4375,25.6875,60800,11.59199
2000-01-11,25.6875,25.6875,25.50,25.5625,73600,11.53558
2000-01-12,24.875,24.9375,24.375,24.375,153100,10.99970
2000-01-13,24.50,25.0625,24.50,25.00,136300,11.28174
2000-01-14,25.4375,25.4375,25.00,25.1875,138100,11.36635
2000-01-18,25.4375,25.50,24.625,25.1875,301700,11.36635
2000-01-19,24.25,25.0625,24.1875,24.875,196100,11.22533
2000-01-20,24.625,24.875,24.0625,24.1875,96000,10.91508
2000-01-21,24.3125,24.50,24.125,24.25,119100,10.94329
2000-01-24,24.125,24.3125,23.625,24.25,63000,10.94329
2000-01-25,24.50,24.6875,24.125,24.4375,151500,11.02790
2000-01-26,24.50,24.625,24.4375,24.5625,103200,11.08431
2000-01-27,24.3125,24.3125,24.125,24.1875,109700,10.91508
2000-01-28,24.0625,24.125,23.25,23.375,139800,10.54843
2000-01-31,23.375,23.375,23.00,23.125,119600,10.43561
2000-02-01,23.0625,24.25,23.0625,24.00,106100,10.83047
2000-02-02,23.625,23.9375,23.625,23.75,37000,10.71765
2000-02-03,24.125,24.5625,24.0625,24.4375,79600,11.02790
2000-02-04,24.625,24.625,24.375,24.4375,67400,11.02790
2000-02-07,24.4375,24.4375,24.125,24.125,26600,10.88688
2000-02-08,23.625,24.25,23.625,24.0625,126400,10.8586
2000-02-09,23.875,24.25,23.75,24.1875,148200,10.91508
2000-02-10,24.00,24.00,23.75,23.8125,133900,10.74586
2000-02-11,23.5625,23.75,23.50,23.5625,340000,10.63304
2000-02-14,23.375,24.00,23.25,23.875,221400,10.77406
2000-02-15,23.50,23.50,23.25,23.25,48500,10.49202
2000-02-16,23.25,23.625,22.75,23.00,104400,10.37920
2000-02-17,23.00,23.4375,22.9375,23.25,39300,10.49202
2000-02-18,23.125,23.3125,23.00,23.1875,154600,10.46381
2000-02-22,22.50,22.875,22.50,22.8125,95100,10.29459
2000-02-23,22.625,22.625,22.25,22.3125,292200,10.06895
2000-02-24,22.125,22.25,21.625,21.8125,117900,9.84332
2000-02-25,21.25,21.3125,21.0625,21.3125,119500,9.61768
2000-02-28,21.0625,21.0625,20.50,20.625,81900,9.3074
2000-02-29,21.00,22.125,21.00,21.75,230200,9.81511
2000-03-01,21.75,22.25,21.5625,22.1875,147300,10.01254
2000-03-02,22.375,22.375,22.00,22.1875,194400,10.01254
2000-03-03,23.00,23.375,23.00,23.375,709900,10.54843
2000-03-06,23.25,23.375,22.875,23.125,202600,10.43561
2000-03-07,22.625,22.875,22.50,22.5625,205500,10.18177
2000-03-08,22.25,22.25,21.3125,22.25,61300,10.04075
2000-03-09,22.25,22.3125,21.8125,22.00,77000,9.92793
2000-03-10,22.00,22.00,20.875,21.00,264300,9.47666
2000-03-13,20.9375,21.125,20.75,21.125,173300,9.54443
2000-03-14,21.25,21.50,21.1875,21.1875,79100,9.57267
2000-03-15,21.375,22.00,21.375,22.00,72700,9.9397
2000-03-16,21.875,22.25,21.8125,22.25,110600,10.05272
2000-03-17,21.9375,21.9375,21.625,21.625,106500,9.77034
2000-03-20,21.875,21.875,21.50,21.5625,42000,9.74210
2000-03-21,21.125,21.4375,21.125,21.4375,166600,9.68562
2000-03-22,21.75,21.75,21.3125,21.375,196900,9.6573
2000-03-23,21.50,21.50,21.0625,21.25,144800,9.60091
2000-03-24,21.125,21.375,21.125,21.1875,108700,9.57267
2000-03-27,21.25,21.50,21.25,21.4375,94800,9.68562
