Date,Open,High,Low,Close,Volume,Adj Clos
2008-07-22,24.65,24.95,22.00,24.85,224900,17.16
2008-07-23,24.90,25.02,24.85,24.95,329600,17.236
2008-07-24,24.99,24.99,24.90,24.92,207000,17.215
2008-07-25,24.94,24.99,24.85,24.99,191700,17.263
2008-07-28,24.93,25.05,24.90,24.99,000,17.263
2008-07-29,24.99,25.04,24.95,25.04,000,17.298
2008-07-30,25.00,25.16,24.99,25.11,000,17.346
2008-07-31,25.00,25.18,25.00,25.11,000,17.346
2008-08-01,25.10,25.50,25.07,25.39,000,17.540
2008-08-04,25.33,25.41,25.13,25.32,000,17.491
2008-08-05,25.32,25.43,25.12,25.20,000,17.408
2008-08-06,25.24,25.49,25.16,25.43,000,17.567
2008-08-07,25.30,25.49,25.20,25.31,000,17.484
2008-08-08,25.44,25.69,25.37,25.48,000,17.602
2008-08-11,25.57,25.65,25.375,25.65,000,17.719
2008-08-12,25.58,25.63,25.38,25.38,000,17.533
2008-08-13,25.48,25.54,25.33,25.35,000,17.512
2008-08-14,25.30,25.42,25.16,25.20,000,17.408
2008-08-15,25.25,25.47,25.23,25.46,000,17.588
2008-08-18,25.15,25.49,25.14,25.49,000,17.609
2008-08-19,25.42,25.59,25.29,25.59,000,17.678
2008-08-20,25.37,25.65,25.37,25.60,000,17.685
2008-08-21,25.38,25.70,25.38,25.60,000,17.685
2008-08-22,25.46,25.55,25.41,25.51,000,17.62
2008-08-25,25.52,25.60,25.45,25.59,000,17.678
2008-08-26,25.46,25.59,25.44,25.47,000,17.595
2008-08-27,25.21,25.54,25.19,25.20,000,17.408
2008-08-28,25.47,25.52,25.25,25.45,000,17.581
2008-08-29,25.55,25.55,25.35,25.41,000,17.553
2008-09-02,25.54,25.57,25.06,25.37,000,17.526
2008-09-03,25.45,25.46,25.27,25.30,000,17.477
2008-09-04,25.31,25.51,25.31,25.45,000,17.581
2008-09-05,25.48,25.58,25.38,25.574,000,17.667
2008-09-08,25.53,25.64,25.23,25.56,000,17.657
2008-09-09,25.50,25.50,25.20,25.41,000,17.553
2008-09-10,25.37,25.54,25.10,25.15,000,17.374
2008-09-11,25.10,25.40,25.00,25.05,000,17.305
2008-09-12,25.06,25.20,25.00,25.03,000,17.291
2008-09-15,25.00,25.00,24.03,24.25,000,16.752
2008-09-16,24.00,24.10,23.09,23.56,000,16.275
2008-09-17,22.00,23.00,18.16,20.014,000,13.826
2008-09-18,18.21,24.455,17.75,22.00,000,15.198
2008-09-19,22.52,25.40,22.52,23.40,000,16.165
2008-09-22,23.43,23.705,22.00,22.69,000,15.674
2008-09-23,22.47,22.99,21.00,22.50,000,15.543
2008-09-24,22.51,22.96,22.08,22.89,000,15.81
2008-09-25,22.65,24.74,22.65,23.15,000,15.992
2008-09-26,22.77,23.50,22.33,23.50,000,16.234
2008-09-29,23.14,23.14,20.76,22.25,000,15.370
2008-09-30,22.32,22.70,21.55,22.65,000,15.647
2008-10-01,22.39,22.50,21.80,22.44,000,15.502
2008-10-02,22.28,22.28,19.50,19.50,000,13.471
2008-10-03,19.90,21.23,19.85,20.38,000,14.07
2008-10-06,20.20,20.40,18.62,19.49,000,13.464
2008-10-07,19.91,20.38,18.50,19.00,000,13.125
2008-10-08,18.60,18.60,16.20,17.65,000,12.193
2008-10-09,17.81,17.89,12.86,13.75,000,9.498
2008-10-10,12.61,13.74,11.62,12.695,000,8.7
2008-10-13,14.75,18.49,14.60,18.01,000,12.441
2008-10-14,19.79,21.00,19.24,19.85,000,13.712
2008-10-15,19.92,20.48,19.36,19.75,000,13.643
2008-10-16,20.19,20.67,19.60,20.13,000,13.906
2008-10-17,20.17,20.45,19.71,20.21,000,13.961
2008-10-20,20.42,20.60,20.00,20.56,000,14.203
2008-10-21,20.65,20.88,20.42,20.60,000,14.23
2008-10-22,20.60,20.99,20.50,20.51,000,14.168
2008-10-23,20.51,20.85,20.40,20.44,000,14.120
2008-10-24,20.26,20.49,20.01,20.25,000,13.989
2008-10-27,20.00,20.19,19.82,20.12,000,13.899
2008-10-28,20.15,20.18,19.56,19.72,000,13.623
2008-10-29,20.00,20.08,19.75,19.89,000,13.740
2008-10-30,20.03,20.19,19.90,19.95,000,13.78
2008-10-31,20.01,20.01,19.31,19.35,000,13.367
2008-11-03,19.65,20.00,19.64,20.00,000,13.816
2008-11-04,20.05,20.58,20.05,20.34,000,14.051
2008-11-05,20.35,20.79,20.35,20.57,000,14.210
2008-11-06,20.49,21.21,20.39,20.98,000,14.493
2008-11-07,20.91,21.11,20.67,20.85,000,14.403
2008-11-10,20.85,21.11,20.79,20.80,000,14.369
2008-11-11,20.97,21.00,20.20,20.25,000,13.989
2008-11-12,20.33,20.77,20.20,20.20,000,13.954
2008-11-13,20.25,20.71,19.85,20.20,000,13.954
2008-11-14,20.29,20.70,19.49,19.49,000,13.464
2008-11-17,19.53,19.70,19.25,19.30,000,13.332
2008-11-18,19.30,19.35,18.50,18.50,000,12.780
2008-11-19,18.64,18.64,16.26,16.26,000,11.232
2008-11-20,16.02,16.20,14.65,14.65,000,10.120
2008-11-21,15.25,15.64,13.95,14.50,000,10.01
2008-11-24,15.68,15.68,14.51,15.35,000,10.604
2008-11-25,15.54,16.20,15.51,16.20,000,11.191
2008-11-26,15.78,17.03,15.75,16.61,000,11.474
2008-11-28,17.02,17.52,16.90,17.52,000,12.103
2008-12-01,17.40,17.40,16.66,17.00,000,11.74
2008-12-02,17.28,17.71,16.63,16.63,000,11.488
2008-12-03,16.90,17.68,16.90,17.63,000,12.179
2008-12-04,17.25,18.24,17.25,18.05,000,12.469
2008-12-05,17.55,19.28,17.55,19.20,000,13.263
2008-12-08,19.10,20.30,19.10,19.32,000,13.346
2008-12-09,18.36,19.83,18.36,19.30,000,13.332
2008-12-10,19.40,19.49,19.10,19.31,000,13.339
2008-12-11,19.40,19.57,19.31,19.44,000,13.429
2008-12-12,19.40,19.70,19.17,19.47,000,13.450
2008-12-15,19.67,19.85,19.51,19.85,000,13.712
