Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,6.00,6.125,6.00,6.125,301700,1.49271
2000-01-04,6.1875,6.1875,6.0625,6.125,306500,1.49271
2000-01-05,6.125,6.1875,6.0625,6.1875,264200,1.50794
2000-01-06,6.125,6.1875,6.0625,6.125,157600,1.49271
2000-01-07,6.125,6.25,6.0625,6.1875,280600,1.50794
2000-01-10,6.25,6.25,6.00,6.125,346600,1.49271
2000-01-11,6.0625,6.125,6.00,6.00,324300,1.46225
2000-01-12,6.0625,6.125,6.00,6.0625,208400,1.47748
2000-01-13,6.00,6.125,6.00,6.0625,197700,1.47748
2000-01-14,6.00,6.125,6.00,6.00,134600,1.46225
2000-01-18,6.00,6.00,5.9375,5.9375,297000,1.45991
2000-01-19,5.9375,6.00,5.875,6.00,265400,1.47528
2000-01-20,5.9375,6.00,5.875,5.9375,260300,1.45991
2000-01-21,6.00,6.00,5.9375,5.9375,198200,1.45991
2000-01-24,5.9375,6.00,5.9375,5.9375,113900,1.45991
2000-01-25,6.00,6.00,5.9375,6.00,251800,1.47528
2000-01-26,6.00,6.00,5.9375,5.9375,209000,1.45991
2000-01-27,6.00,6.1875,6.00,6.125,408000,1.5060
2000-01-28,6.125,6.1875,6.0625,6.0625,147200,1.49065
2000-01-31,6.125,6.1875,6.0625,6.0625,136700,1.49065
2000-02-01,6.125,6.25,6.125,6.1875,261100,1.52138
2000-02-02,6.25,6.25,6.125,6.1875,296200,1.52138
2000-02-03,6.1875,6.1875,6.125,6.1875,175200,1.52138
2000-02-04,6.1875,6.25,6.125,6.1875,131400,1.52138
2000-02-07,6.1875,6.25,6.1875,6.1875,258300,1.52138
2000-02-08,6.1875,6.25,6.1875,6.1875,164300,1.52138
2000-02-09,6.1875,6.1875,6.0625,6.0625,480000,1.49065
2000-02-10,6.0625,6.125,6.00,6.0625,245200,1.49065
2000-02-11,6.0625,6.125,6.00,6.00,155100,1.47528
2000-02-14,6.00,6.0625,6.00,6.0625,157900,1.49065
2000-02-15,6.00,6.0625,6.00,6.00,240300,1.47528
2000-02-16,6.00,6.0625,5.9375,6.00,231800,1.47528
2000-02-17,6.00,6.00,5.9375,5.9375,294100,1.47292
2000-02-18,5.9375,6.00,5.875,5.9375,285000,1.47292
2000-02-22,5.9375,6.00,5.875,5.9375,221300,1.47292
2000-02-23,5.875,5.9375,5.875,5.9375,188700,1.47292
2000-02-24,5.9375,5.9375,5.875,5.875,182900,1.45742
2000-02-25,5.9375,6.00,5.875,5.875,246100,1.45742
2000-02-28,6.00,6.00,5.875,5.875,302300,1.45742
2000-02-29,5.9375,5.9375,5.875,5.875,144300,1.45742
2000-03-01,5.875,6.00,5.875,5.9375,188300,1.47292
2000-03-02,6.00,6.00,5.9375,6.00,229100,1.48843
2000-03-03,6.00,6.0625,5.9375,6.0625,183200,1.50393
2000-03-06,6.00,6.0625,5.875,5.9375,277400,1.47292
2000-03-07,5.9375,6.00,5.875,5.9375,119700,1.47292
2000-03-08,5.9375,5.9375,5.875,5.875,154700,1.45742
2000-03-09,5.9375,5.9375,5.875,5.875,145900,1.45742
2000-03-10,5.9375,5.9375,5.875,5.875,242800,1.45742
2000-03-13,5.875,5.875,5.75,5.8125,257000,1.4419
2000-03-14,5.8125,5.875,5.75,5.75,165300,1.42641
2000-03-15,5.75,5.875,5.75,5.875,200300,1.45742
2000-03-16,5.75,5.8125,5.75,5.8125,196600,1.45504
2000-03-17,5.75,5.8125,5.75,5.75,211600,1.439
2000-03-20,5.8125,5.8125,5.75,5.75,168600,1.439
2000-03-21,5.8125,5.875,5.75,5.8125,177900,1.45504
2000-03-22,5.75,5.875,5.75,5.8125,99000,1.45504
2000-03-23,5.875,5.9375,5.8125,5.8125,158700,1.45504
2000-03-24,5.875,5.9375,5.8125,5.8125,198300,1.45504
2000-03-27,5.8125,5.875,5.75,5.8125,150800,1.45504
2000-03-28,5.8125,5.875,5.75,5.75,193300,1.439
2000-03-29,5.8125,5.875,5.8125,5.8125,148100,1.45504
2000-03-30,5.8125,5.875,5.75,5.75,195400,1.439
2000-03-31,5.875,5.875,5.75,5.8125,125800,1.45504
2000-04-03,5.875,5.875,5.8125,5.8125,161900,1.45504
2000-04-04,5.875,5.875,5.8125,5.875,253700,1.47069
2000-04-05,5.8125,5.875,5.8125,5.8125,221300,1.45504
2000-04-06,5.8125,6.00,5.8125,6.00,345400,1.50198
2000-04-07,6.00,6.00,5.9375,6.00,147100,1.50198
2000-04-10,6.00,6.00,5.9375,5.9375,236700,1.48633
2000-04-11,6.00,6.00,5.9375,5.9375,200100,1.48633
2000-04-12,5.9375,6.00,5.9375,6.00,231600,1.50198
2000-04-13,5.9375,6.00,5.9375,5.9375,203300,1.48633
