Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,9.75,9.75,9.375,9.5625,18300,9.26830
2000-01-04,9.375,9.50,9.0625,9.25,18800,8.96541
2000-01-05,9.1875,9.375,9.00,9.1875,17400,8.90484
2000-01-06,9.50,10.50,9.1875,10.50,19300,10.17696
2000-01-07,10.50,10.75,10.375,10.375,22700,10.05580
2000-01-10,10.375,10.875,9.75,9.75,17300,9.45003
2000-01-11,9.50,9.875,9.50,9.50,9600,9.20772
2000-01-12,9.50,9.875,9.375,9.375,8300,9.08657
2000-01-13,9.50,9.6875,9.25,9.25,101200,8.96541
2000-01-14,9.50,10.375,9.50,9.625,23200,9.32888
2000-01-18,10.00,10.00,10.00,10.00,35200,9.69234
2000-01-19,10.25,10.25,9.9375,10.00,51300,9.69234
2000-01-20,10.00,10.25,9.9375,10.125,35100,9.813
2000-01-21,9.9375,10.25,9.9375,10.25,28600,9.93465
2000-01-24,10.625,10.75,9.75,9.75,33100,9.45003
2000-01-25,9.375,9.625,9.00,9.25,41700,8.96541
2000-01-26,9.25,9.8125,9.25,9.375,13400,9.08657
2000-01-27,9.75,9.75,8.875,9.00,42200,8.72311
2000-01-28,8.625,9.25,8.375,9.25,29600,8.96541
2000-01-31,9.48438,9.50,9.00,9.3125,20000,9.02599
2000-02-01,9.625,9.875,9.375,9.46875,44800,9.17743
2000-02-02,9.375,9.625,9.3125,9.625,7600,9.32888
2000-02-03,9.625,9.625,9.46875,9.50,13600,9.20772
2000-02-04,9.50,9.50,9.25,9.25,18900,8.96541
2000-02-07,9.375,9.375,8.8125,8.8125,41300,8.54137
2000-02-08,8.8125,8.9375,8.6875,8.6875,39800,8.42022
2000-02-09,8.6875,8.75,8.375,8.50,114600,8.23849
2000-02-10,8.50,8.75,8.375,8.4375,18500,8.17791
2000-02-11,8.375,8.50,8.375,8.50,6200,8.23849
2000-02-14,8.75,8.75,7.9375,7.9375,31000,7.69329
2000-02-15,7.75,7.875,6.625,7.125,254700,6.90579
2000-02-16,7.125,8.1875,7.125,8.125,109800,7.87503
2000-02-17,8.125,8.25,7.875,8.00,90300,7.75387
2000-02-18,8.125,8.125,7.00,7.50,30600,7.26925
2000-02-22,8.125,8.125,7.0625,7.625,15700,7.39041
2000-02-23,8.00,8.50,8.00,8.00,33800,7.75387
2000-02-24,7.9375,8.125,7.75,7.75,10000,7.51156
2000-02-25,7.875,8.00,7.875,8.00,4100,7.75387
2000-02-28,8.00,8.375,7.875,8.25,55000,7.99618
2000-02-29,8.25,8.375,8.125,8.375,155900,8.11733
2000-03-01,8.50,8.8125,8.50,8.75,53100,8.48080
2000-03-02,8.8125,8.8125,8.625,8.625,54300,8.35964
2000-03-03,8.8125,8.875,8.625,8.625,29700,8.35964
2000-03-06,8.75,8.875,8.625,8.625,37900,8.35964
2000-03-07,8.625,8.6875,8.00,8.5625,18700,8.29907
2000-03-08,8.25,8.8125,8.1875,8.8125,20800,8.54137
2000-03-09,8.25,8.84375,8.125,8.84375,42600,8.57166
2000-03-10,8.625,8.8125,8.25,8.50,62600,8.23849
2000-03-13,8.25,8.50,8.25,8.40625,23300,8.14762
2000-03-14,8.50,8.8125,8.50,8.6875,14600,8.42022
2000-03-15,8.6875,8.6875,8.25,8.50,26700,8.23849
2000-03-16,8.25,9.1875,8.25,8.875,102300,8.60195
2000-03-17,9.03125,9.50,8.73438,9.40625,197500,9.11686
2000-03-20,10.00,10.50,10.00,10.00,65000,9.69234
