Date,Open,High,Low,Close,Volume,Adj Clos
2011-11-16,0.25,0.25,0.25,0.25,400,7.5
2011-11-18,0.25,0.25,0.25,0.25,000,7.5
2011-11-21,0.20,0.20,0.175,0.175,800,5.2
2011-11-22,0.175,0.175,0.175,0.175,000,5.2
2011-11-23,0.18,0.18,0.18,0.18,1000,5.4
2011-11-24,0.18,0.18,0.18,0.18,000,5.4
2011-11-25,0.18,0.18,0.18,0.18,000,5.4
2011-11-28,0.19,0.19,0.18,0.18,1500,5.4
2011-11-29,0.18,0.18,0.18,0.18,000,5.4
2011-11-30,0.175,0.175,0.175,0.175,000,5.2
2011-12-01,0.18,0.18,0.17,0.17,800,5.1
2011-12-02,0.18,0.19,0.18,0.19,700,5.7
2011-12-05,0.19,0.19,0.19,0.19,000,5.7
2011-12-06,0.19,0.19,0.19,0.19,000,5.7
2011-12-07,0.19,0.19,0.19,0.19,000,5.7
2011-12-08,0.18,0.18,0.18,0.18,100,5.4
2011-12-09,0.18,0.18,0.18,0.18,500,5.4
2011-12-12,0.18,0.18,0.18,0.18,000,5.4
2011-12-13,0.15,0.15,0.15,0.15,700,4.5
2011-12-14,0.15,0.15,0.15,0.15,000,4.5
2011-12-15,0.15,0.15,0.15,0.15,000,4.5
2011-12-16,0.15,0.15,0.15,0.15,000,4.5
2011-12-19,0.15,0.15,0.15,0.15,000,4.5
2011-12-20,0.15,0.15,0.15,0.15,000,4.5
2011-12-21,0.15,0.15,0.15,0.15,000,4.5
2011-12-22,0.15,0.15,0.15,0.15,000,4.5
2011-12-23,0.15,0.15,0.15,0.15,000,4.5
2011-12-26,0.15,0.15,0.15,0.15,000,4.5
2011-12-27,0.15,0.15,0.15,0.15,000,4.5
2011-12-28,0.15,0.15,0.15,0.15,000,4.5
2011-12-29,0.17,0.17,0.17,0.17,100,5.1
2011-12-30,0.17,0.17,0.17,0.17,000,5.1
2012-01-02,0.17,0.17,0.17,0.17,000,5.1
2012-01-03,0.17,0.17,0.17,0.17,000,5.1
2012-01-04,0.17,0.17,0.17,0.17,000,5.1
2012-01-05,0.17,0.17,0.17,0.17,000,5.1
2012-01-06,0.17,0.17,0.17,0.17,000,5.1
2012-01-09,0.20,0.20,0.20,0.20,500,6.0
2012-01-10,0.20,0.20,0.20,0.20,000,6.0
2012-01-11,0.20,0.20,0.20,0.20,000,6.0
2012-01-12,0.20,0.20,0.20,0.20,000,6.0
2012-01-13,0.20,0.20,0.20,0.20,000,6.0
2012-01-16,0.20,0.20,0.20,0.20,000,6.0
2012-01-17,0.20,0.20,0.20,0.20,000,6.0
2012-01-18,0.20,0.20,0.20,0.20,000,6.0
2012-01-19,0.20,0.20,0.20,0.20,000,6.0
2012-01-20,0.20,0.20,0.20,0.20,000,6.0
2012-01-23,0.20,0.20,0.20,0.20,000,6.0
2012-01-24,0.20,0.20,0.20,0.20,000,6.0
2012-01-25,0.15,0.15,0.15,0.15,200,4.5
2012-01-26,0.15,0.15,0.15,0.15,000,4.5
2012-01-27,0.15,0.15,0.15,0.15,1100,4.5
2012-01-30,0.17,0.18,0.17,0.18,500,5.4
2012-01-31,0.18,0.18,0.18,0.18,000,5.4
2012-02-01,0.18,0.18,0.18,0.18,000,5.4
2012-02-02,0.16,0.16,0.16,0.16,000,4.8
2012-02-03,0.12,0.16,0.12,0.16,300,4.8
2012-02-06,0.16,0.16,0.16,0.16,000,4.8
2012-02-07,0.16,0.16,0.16,0.16,000,4.8
2012-02-08,0.16,0.16,0.16,0.16,000,4.8
2012-02-09,0.16,0.16,0.16,0.16,000,4.8
2012-02-10,0.16,0.16,0.16,0.16,000,4.8
2012-02-13,0.16,0.16,0.16,0.16,000,4.8
2012-02-14,0.16,0.16,0.16,0.16,000,4.8
2012-02-15,0.16,0.16,0.16,0.16,000,4.8
2012-02-16,0.16,0.16,0.16,0.16,000,4.8
2012-02-17,0.16,0.16,0.16,0.16,000,4.8
2012-02-20,0.16,0.16,0.16,0.16,000,4.8
2012-02-21,0.16,0.16,0.16,0.16,000,4.8
2012-02-22,0.16,0.16,0.16,0.16,000,4.8
2012-02-23,0.10,0.10,0.10,0.10,000,3.0
2012-02-24,0.13,0.13,0.13,0.13,100,3.9
2012-02-27,0.11,0.15,0.11,0.14,700,4.2
2012-02-28,0.14,0.14,0.14,0.14,000,4.2
2012-02-29,0.14,0.14,0.14,0.14,000,4.2
2012-03-01,0.14,0.14,0.14,0.14,000,4.2
2012-03-02,0.14,0.14,0.14,0.14,000,4.2
2012-03-05,0.14,0.14,0.14,0.14,000,4.2
2012-03-06,0.14,0.14,0.14,0.14,000,4.2
2012-03-07,0.14,0.14,0.14,0.14,000,4.2
2012-03-08,0.14,0.14,0.14,0.14,000,4.2
2012-03-09,0.15,0.15,0.15,0.15,100,4.5
2012-03-12,0.15,0.15,0.15,0.15,000,4.5
2012-03-13,0.15,0.15,0.15,0.15,000,4.5
2012-03-14,0.15,0.15,0.15,0.15,000,4.5
2012-03-15,0.15,0.15,0.15,0.15,200,4.5
2012-03-16,0.15,0.15,0.15,0.15,000,4.5
2012-03-19,0.15,0.15,0.15,0.15,000,4.5
2012-03-20,0.15,0.15,0.15,0.15,000,4.5
2012-03-21,0.15,0.15,0.15,0.15,000,4.5
2012-03-22,0.15,0.15,0.15,0.15,000,4.5
2012-03-23,0.15,0.15,0.15,0.15,000,4.5
2012-03-26,0.15,0.15,0.15,0.15,000,4.5
2012-03-27,0.15,0.15,0.15,0.15,000,4.5
2012-03-28,0.15,0.15,0.15,0.15,000,4.5
