Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,24.75,24.875,23.625,24.00,250400,8.38846
2000-01-04,23.375,23.9375,23.125,23.125,453800,8.08263
2000-01-05,23.375,23.75,22.875,23.0625,624000,8.06079
2000-01-06,22.8125,23.1875,22.8125,23.0625,242600,8.06079
2000-01-07,22.875,23.50,22.625,23.3125,799800,8.14817
2000-01-10,23.75,26.125,23.75,25.875,2208000,9.04381
2000-01-11,26.25,28.75,26.25,27.5625,2922400,9.63362
2000-01-12,27.8125,27.8125,27.00,27.4375,538600,9.58993
2000-01-13,27.75,28.5625,27.75,27.9375,303800,9.76469
2000-01-14,28.4375,28.75,28.3125,28.6875,473800,10.02683
2000-01-18,28.8125,29.25,28.75,28.9375,333600,10.11421
2000-01-19,28.8125,30.1875,28.75,29.6875,613400,10.37635
2000-01-20,29.9375,31.6875,29.9375,31.375,805200,10.96617
2000-01-21,31.875,31.875,30.9375,31.875,913000,11.14093
2000-01-24,32.25,32.75,30.125,30.625,767800,10.70403
2000-01-25,30.875,31.125,29.125,29.75,649200,10.39820
2000-01-26,29.50,30.4375,29.4375,30.375,325000,10.61665
2000-01-27,30.50,32.625,30.50,31.50,436200,11.00986
2000-01-28,32.125,32.125,29.75,30.1875,326800,10.55111
2000-01-31,29.9375,30.50,29.4375,30.4375,166200,10.63849
2000-02-01,30.4375,30.9375,30.0625,30.8125,136800,10.76956
2000-02-02,30.75,32.50,30.75,32.375,362400,11.31569
2000-02-03,32.625,33.75,32.625,33.1875,869000,11.59967
2000-02-04,33.4375,34.50,33.0625,33.75,591800,11.7962
2000-02-07,33.00,33.00,30.375,30.50,1166400,10.66034
2000-02-08,31.125,31.375,28.125,29.375,738800,10.26713
2000-02-09,30.50,31.6875,30.4375,31.21876,424800,10.91156
2000-02-10,31.375,31.375,29.875,30.00,372200,10.48558
2000-02-11,29.75,29.9375,28.875,29.375,179200,10.26713
2000-02-14,29.375,30.1875,29.00,29.25,465000,10.22344
2000-02-15,29.125,29.4375,28.125,29.1875,280800,10.20159
2000-02-16,29.3125,29.5625,29.125,29.3125,164200,10.24528
2000-02-17,29.375,29.9375,29.3125,29.50,212600,10.31082
2000-02-18,29.50,30.25,29.50,29.8125,240200,10.42004
2000-02-22,30.1875,31.5625,30.1875,31.25,1229400,10.92248
2000-02-23,31.25,31.50,31.125,31.4375,1762600,10.98801
2000-02-24,31.4375,32.4375,31.1875,32.3125,731400,11.29384
2000-02-25,32.5625,33.50,32.5625,33.125,582400,11.5778
2000-02-28,34.00,34.00,33.00,33.125,942600,11.5778
2000-02-29,33.375,34.125,33.375,34.0625,444600,11.90550
2000-03-01,34.1875,34.3125,33.375,34.00,254800,11.8836
2000-03-02,33.75,34.00,33.1875,33.9375,173000,11.86181
2000-03-03,33.9375,33.9375,33.3125,33.4375,197200,11.68705
2000-03-06,33.5625,33.5625,31.9375,32.8125,293000,11.46860
2000-03-07,33.0625,33.1875,31.5625,31.75,205200,11.09724
2000-03-08,32.00,32.25,31.875,31.875,418000,11.14093
2000-03-09,31.625,31.6875,31.3125,31.4375,139400,10.98801
2000-03-10,31.4375,31.4375,30.75,31.00,173400,10.83510
2000-03-13,30.375,31.4375,30.125,31.4375,478000,10.98801
2000-03-14,31.4375,32.4375,31.4375,32.0625,601000,11.20646
2000-03-15,32.125,32.125,30.875,31.25,222800,10.92248
2000-03-16,31.0625,31.1875,30.125,30.4375,267400,10.63849
2000-03-17,30.5625,30.5625,30.0625,30.3125,143400,10.59480
2000-03-20,30.0625,30.125,29.1875,29.3125,287000,10.24528
2000-03-21,29.4375,29.50,28.375,28.8125,141600,10.07052
2000-03-22,29.00,29.00,27.50,28.00,243600,9.78654
2000-03-23,28.75,31.50,28.75,31.125,1571200,10.87879
2000-03-24,31.125,33.1875,29.875,30.6875,1646400,10.72587
2000-03-27,30.4375,31.1875,28.875,29.1875,201000,10.20159
2000-03-28,28.75,29.8125,27.5625,28.75,256200,10.04868
2000-03-29,29.00,29.9375,28.8125,29.375,451000,10.26713
2000-03-30,29.25,30.25,28.0625,28.375,526600,9.91761
2000-03-31,28.625,30.00,28.5625,29.8125,623800,10.42004
2000-04-03,29.5625,29.875,29.00,29.125,473200,10.17975
2000-04-04,29.25,29.25,26.75,27.9375,436400,9.76469
2000-04-05,27.6875,27.75,27.0625,27.1875,552800,9.50255
2000-04-06,27.625,29.25,27.3125,29.00,661200,10.13606
2000-04-07,29.25,29.50,28.50,28.50,401200,9.96130
2000-04-10,28.4375,28.8125,28.375,28.6875,244200,10.02683
2000-04-11,28.625,29.1875,28.625,29.125,306200,10.17975
2000-04-12,28.8125,29.6875,28.6875,28.75,603800,10.04868
2000-04-13,28.8125,29.125,28.50,28.50,288400,9.96130
2000-04-14,28.125,28.125,26.875,27.1875,683600,9.50255
2000-04-17,26.875,26.9375,26.00,26.25,279800,9.17488
2000-04-18,26.50,26.6875,25.75,26.25,532200,9.17488
