Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,5.687491,5.687491,5.500001,5.500001,16300,0.44672
2000-01-04,5.500001,5.562498,5.375008,5.500001,106200,0.44672
2000-01-05,5.562498,5.624994,5.500001,5.562498,44500,0.45180
2000-01-06,5.562498,5.812484,5.500001,5.812484,16300,0.47210
2000-01-07,5.749988,5.749988,5.437505,5.437505,62700,0.44165
2000-01-10,5.437505,5.437505,5.437505,5.437505,112600,0.44165
2000-01-11,5.437505,5.437505,5.437505,5.437505,25600,0.44165
2000-01-12,5.500001,5.500001,5.500001,5.500001,103500,0.44672
2000-01-13,5.500001,5.749988,5.500001,5.687491,24300,0.46195
2000-01-14,6.06247,6.562519,6.06247,6.437526,194400,0.52287
2000-01-18,6.500022,7.249981,6.500022,7.249981,257100,0.58886
2000-01-19,7.312478,7.937519,7.312478,7.812526,162900,0.63455
2000-01-20,7.75003,8.749974,7.75003,8.749974,182200,0.71070
2000-01-21,8.624981,8.874968,8.499988,8.749974,85200,0.71070
2000-01-24,8.874968,8.874968,8.812471,8.812471,41400,0.71577
2000-01-25,8.687478,8.687478,8.125009,8.125009,105300,0.65993
2000-01-26,8.187505,8.187505,8.187505,8.187505,4200,0.66501
2000-01-27,8.062512,8.125009,8.000016,8.125009,56700,0.65993
2000-01-28,8.000016,8.749974,7.75003,8.749974,179500,0.71070
2000-01-31,8.624981,8.624981,8.624981,8.624981,8100,0.70054
2000-02-01,8.624981,8.624981,8.374995,8.374995,13500,0.68024
2000-02-02,8.312499,8.312499,7.499967,7.499967,77100,0.60917
2000-02-03,7.499967,7.562464,7.124988,7.124988,54900,0.57871
2000-02-04,7.187484,7.187484,7.187484,7.187484,13500,0.5837
2000-02-07,7.249981,7.374974,7.249981,7.374974,58900,0.59901
2000-02-08,7.312478,7.437471,7.312478,7.312478,106200,0.59677
2000-02-09,7.249981,7.374974,7.249981,7.249981,13500,0.59167
2000-02-10,7.312478,7.312478,6.625016,6.750009,166900,0.55087
2000-02-11,6.687512,6.812505,6.625016,6.750009,91300,0.55087
2000-02-14,6.750009,6.750009,6.250036,6.250036,63600,0.51006
2000-02-15,6.250036,6.875002,6.250036,6.750009,77100,0.55087
2000-02-16,6.750009,7.249981,6.750009,7.249981,77800,0.59167
2000-02-17,7.187484,7.625036,7.187484,7.562464,48700,0.61717
2000-02-18,7.687533,7.687533,7.687533,7.687533,9400,0.62738
2000-02-22,7.625036,7.687533,7.625036,7.625036,18100,0.62228
2000-02-23,7.625036,7.687533,7.625036,7.687533,4900,0.62738
2000-02-24,7.687533,7.687533,7.687533,7.687533,1900,0.62738
