Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,28.8125,28.8125,27.5625,27.9375,474400,11.37112
2000-01-04,28.00,28.00,26.3125,26.4375,285400,10.76059
2000-01-05,26.00,26.00,25.375,25.9375,608200,10.55708
2000-01-06,25.9375,25.9375,24.6875,25.9375,962400,10.55708
2000-01-07,26.25,26.4375,25.625,26.4375,696200,10.76059
2000-01-10,26.4375,27.1875,26.4375,26.625,1859000,10.83690
2000-01-11,26.375,26.625,25.875,26.3125,1087400,10.70971
2000-01-12,26.3125,26.3125,25.6875,26.25,325200,10.68427
2000-01-13,26.00,26.3125,26.00,26.1875,634800,10.65883
2000-01-14,26.1875,26.625,25.50,25.6875,1092400,10.45532
2000-01-18,25.4375,25.5625,25.0625,25.375,657400,10.32813
2000-01-19,25.375,26.125,25.00,25.9375,1380800,10.55708
2000-01-20,25.875,25.875,24.9375,25.50,842600,10.37901
2000-01-21,26.00,26.00,25.0625,25.5625,768400,10.4044
2000-01-24,25.375,27.00,25.375,26.875,1606200,10.93866
2000-01-25,27.375,28.25,26.125,28.00,1077600,11.39656
2000-01-26,37.00,40.125,35.0625,38.0625,6552000,15.492
2000-01-27,38.00,41.25,37.875,40.5625,3556400,16.5097
2000-01-28,40.25,40.375,39.4375,40.00,1904400,16.28080
2000-01-31,39.5625,40.375,38.625,38.625,1696800,15.72114
2000-02-01,38.75,40.00,38.00,40.00,2197000,16.28080
2000-02-02,39.9375,39.9375,39.0625,39.25,944800,15.97553
2000-02-03,39.375,41.00,39.375,40.375,2066200,16.43343
2000-02-04,40.625,40.625,39.6875,39.9375,540200,16.25536
2000-02-07,40.00,41.25,39.6875,41.125,899200,16.73869
2000-02-08,42.50,44.00,42.125,43.1875,836000,17.57817
2000-02-09,43.00,47.5625,43.00,45.75,1692600,18.62116
2000-02-10,45.75,46.00,44.375,44.8125,629200,18.23958
2000-02-11,45.0625,45.4375,43.25,44.00,808800,17.90888
2000-02-14,44.00,44.4375,43.25,43.3125,673400,17.62905
2000-02-15,43.25,44.5625,43.25,43.8125,790200,17.83256
2000-02-16,43.6875,44.375,43.125,44.125,468200,17.95975
2000-02-17,44.00,44.3125,43.375,43.625,698600,17.75624
2000-02-18,43.625,43.625,41.875,42.4375,408000,17.27291
2000-02-22,42.50,42.50,39.00,40.50,761600,16.48431
2000-02-23,40.50,41.75,40.25,40.8125,591800,16.61150
2000-02-24,40.6875,41.875,40.625,41.50,1799400,16.89133
2000-02-25,41.50,42.4375,41.50,41.50,820200,16.89133
2000-02-28,40.00,40.50,38.375,40.50,545200,16.48431
2000-02-29,41.00,42.25,40.5625,42.25,964200,17.19659
2000-03-01,42.25,43.8125,42.00,43.75,410200,17.80712
2000-03-02,44.25,44.625,42.25,42.625,416200,17.34922
2000-03-03,42.6875,43.00,40.3125,41.50,788000,16.89133
2000-03-06,41.50,41.50,41.0625,41.375,420400,16.84045
2000-03-07,41.4375,41.4375,40.1875,40.9375,602000,16.66238
2000-03-08,40.25,40.25,38.3125,38.6875,369200,15.74658
2000-03-09,38.6875,39.8125,38.625,39.8125,583400,16.20448
2000-03-10,39.8125,40.375,39.8125,40.0625,535800,16.3062
2000-03-13,39.9375,39.9375,38.125,38.5625,575200,15.6957
2000-03-14,38.5625,39.6875,38.50,39.375,394200,16.02641
2000-03-15,39.375,40.9375,39.00,40.9375,648200,16.66238
2000-03-16,41.00,41.00,40.50,40.6875,1256600,16.56062
2000-03-17,39.50,40.50,39.50,40.375,807000,16.43343
2000-03-20,40.125,40.125,38.875,38.9375,367400,15.84834
2000-03-21,39.00,39.6875,37.625,38.0625,685200,15.492
2000-03-22,38.1875,39.5625,38.00,38.875,427600,15.82290
2000-03-23,38.8125,39.5625,38.25,39.3125,288200,16.00097
2000-03-24,39.1875,39.9375,37.75,38.4375,369400,15.64483
2000-03-27,38.6875,39.625,38.3125,39.5625,503200,16.1027
2000-03-28,39.4375,39.9375,39.3125,39.50,329600,16.07729
2000-03-29,39.50,41.625,39.50,40.8125,2873000,16.61150
2000-03-30,40.8125,44.00,40.8125,43.8125,1216800,17.83256
2000-03-31,45.00,48.00,44.5625,47.421879,2173600,19.30165
2000-04-03,46.00,47.25,46.00,47.1875,1184400,19.20625
2000-04-04,47.25,48.625,45.625,46.625,1987400,18.97730
2000-04-05,46.50,47.5625,46.00,47.375,842200,19.28257
2000-04-06,47.1875,48.8125,47.1875,48.25,879200,19.63871
2000-04-07,48.25,50.9375,48.25,49.50,1170200,20.14749
2000-04-10,49.50,50.625,49.4375,50.125,970600,20.40187
2000-04-11,50.00,50.875,49.5625,50.00,1287800,20.35100
2000-04-12,49.875,50.25,49.50,49.8125,1089600,20.27468
2000-04-13,49.8125,49.8125,48.1875,48.6875,1157200,19.81678
2000-04-14,47.8125,48.375,46.75,46.8125,547400,19.05362
2000-04-17,46.875,49.375,46.25,49.0625,1312600,19.9694
2000-04-18,48.9375,49.6875,48.4375,48.875,877600,19.89310
2000-04-19,55.00,58.6875,53.875,57.3125,4334600,23.32733
2000-04-20,56.50,59.9375,55.125,57.4375,1602800,23.37821
2000-04-24,56.6875,56.6875,55.125,55.25,1716400,22.48785
2000-04-25,56.50,58.875,56.1875,58.375,869200,23.75979
2000-04-26,57.875,59.3125,57.125,57.50,766800,23.40365
2000-04-27,57.25,60.6875,56.75,58.8125,952400,23.93786
2000-04-28,58.6875,61.375,58.6875,61.125,668000,24.87909
2000-05-01,61.875,65.00,61.50,62.875,1351200,25.59138
2000-05-02,63.00,63.75,60.375,60.375,947200,24.57383
2000-05-03,57.00,58.75,55.00,58.0625,1748000,23.63260
2000-05-04,58.625,61.50,58.125,61.00,1263200,24.82822
2000-05-05,60.875,62.00,60.6875,61.5625,724200,25.05717
2000-05-08,61.75,63.4375,61.5625,61.8125,652200,25.15892
2000-05-09,62.00,62.5625,59.9375,61.50,768000,25.03173
2000-05-10,61.375,61.50,59.125,59.9375,322200,24.39576
2000-05-11,59.00,60.875,58.75,60.625,399400,24.67558
2000-05-12,60.625,63.625,60.625,61.9375,642800,25.20980
2000-05-15,61.9375,61.9375,59.75,61.75,334200,25.13348
2000-05-16,62.50,63.1875,61.75,62.875,800200,25.59138
2000-05-17,62.625,62.625,60.6875,60.75,575200,24.72646
2000-05-18,61.75,61.75,59.75,60.0625,407800,24.44664
2000-05-19,60.125,60.125,58.75,59.0625,518400,24.03962
2000-05-22,59.25,59.25,57.125,57.75,379000,23.50540
2000-05-23,57.9375,60.4375,57.6875,60.375,682600,24.57383
2000-05-24,60.125,60.1875,58.0625,58.375,721200,23.75979
2000-05-25,58.625,60.625,58.625,59.4375,550600,24.19225
2000-05-26,59.5625,59.625,58.00,58.125,222000,23.65803
2000-05-30,59.125,60.375,58.75,60.00,886800,24.42120
2000-05-31,60.25,61.5625,59.375,59.375,453600,24.16681
2000-06-01,59.50,61.75,59.50,61.625,600000,25.08260
2000-06-02,63.25,64.00,62.50,63.00,490800,25.64226
2000-06-05,61.50,63.75,61.50,63.6875,966200,25.92208
2000-06-06,64.875,65.00,63.00,63.00,539000,25.64226
2000-06-07,62.4375,62.4375,61.00,61.6875,622600,25.10804
2000-06-08,62.375,62.8125,62.125,62.3125,538800,25.36243
2000-06-09,62.3125,62.5625,61.375,61.4375,286000,25.00629
2000-06-12,60.9375,61.1875,58.75,59.875,385800,24.37032
2000-06-13,30.1875,30.1875,29.00,29.9375,369700,24.37032
2000-06-14,29.75,30.4375,29.5625,30.0625,465000,24.47207
2000-06-15,30.3125,30.3125,29.25,30.00,363700,24.42120
2000-06-16,29.875,31.4375,29.625,30.00,813700,24.42120
2000-06-19,30.00,30.4375,29.8125,29.9375,808800,24.37032
2000-06-20,29.9375,30.125,29.1875,30.00,596500,24.42120
2000-06-21,30.00,30.125,28.6875,30.00,848000,24.42120
2000-06-22,30.0625,30.0625,28.375,28.375,445600,23.09838
2000-06-23,28.9375,29.125,28.00,28.625,606200,23.30189
2000-06-26,28.8125,28.9375,28.375,28.875,829500,23.50540
2000-06-27,28.875,29.8125,28.25,28.6875,730500,23.35277
2000-06-28,28.5625,30.00,28.50,29.625,783200,24.11593
2000-06-29,29.50,30.50,29.25,29.6875,2228400,24.16681
2000-06-30,29.8125,29.8125,28.484381,28.484381,818500,23.18742
2000-07-03,28.625,30.25,28.50,30.125,297900,24.52295
2000-07-05,30.125,30.125,28.75,30.125,747400,24.52295
2000-07-06,30.00,31.375,29.875,30.5625,1320700,24.87909
2000-07-07,30.8125,31.50,30.6875,31.4375,1204000,25.59138
2000-07-10,31.375,31.4375,30.625,31.00,584900,25.23524
2000-07-11,31.00,31.125,30.1875,30.50,341500,24.82822
2000-07-12,30.75,31.625,30.75,31.3125,949100,25.4896
2000-07-13,31.50,31.875,31.25,31.50,546500,25.64226
2000-07-14,31.50,31.6875,31.4375,31.6875,1382400,25.79489
2000-07-17,33.50,34.8125,32.5625,34.75,1481100,28.28789
2000-07-18,34.625,34.6875,33.5625,34.375,536400,27.98262
2000-07-19,34.25,34.375,33.75,34.25,544300,27.88087
2000-07-20,34.3125,34.75,31.9375,34.50,691600,28.08438
2000-07-21,34.75,35.3125,33.50,34.0625,1228200,27.7282
2000-07-24,34.0625,34.25,33.25,34.00,971800,27.67736
2000-07-25,34.00,34.1875,33.625,33.9375,933800,27.62648
2000-07-26,33.50,33.875,32.5625,33.50,489300,27.27034
2000-07-27,33.625,34.3125,33.375,34.1875,810000,27.82999
2000-07-28,34.00,34.00,33.375,33.8125,291100,27.5247
2000-07-31,33.875,34.375,33.6875,34.375,854900,27.98262
2000-08-01,34.1875,34.5625,34.00,34.50,530800,28.08438
2000-08-02,34.125,34.75,33.625,34.1875,1156400,27.82999
