Date,Open,High,Low,Close,Volume,Adj Clos
2006-02-07,14.50,14.70,14.00,14.00,631900,10.22359
2006-02-08,14.00,14.18,14.00,14.00,132200,10.22359
2006-02-09,14.10,14.40,14.05,14.22,21700,10.38425
2006-02-10,14.25,14.30,14.20,14.26,14600,10.41346
2006-02-13,14.25,14.30,14.20,14.27,7000,10.42076
2006-02-14,14.30,14.60,14.25,14.59,31100,10.6544
2006-02-15,14.55,14.55,14.40,14.45,4900,10.55221
2006-02-16,14.50,14.68,14.50,14.55,5300,10.6252
2006-02-17,14.60,14.79,14.45,14.50,7700,10.58872
2006-02-21,14.51,14.62,14.51,14.62,2000,10.67635
2006-02-22,14.60,14.60,14.39,14.39,17000,10.50839
2006-02-23,14.34,14.34,14.10,14.10,7700,10.29662
2006-02-24,14.20,14.20,14.02,14.15,12500,10.33313
2006-02-27,14.13,14.35,14.13,14.35,3900,10.47918
2006-02-28,14.34,14.64,14.25,14.50,8900,10.58872
2006-03-01,14.50,14.58,14.40,14.56,2800,10.63254
2006-03-02,14.56,14.67,14.50,14.50,3800,10.58872
2006-03-03,14.50,14.51,14.40,14.40,3400,10.51570
2006-03-06,14.35,14.49,14.30,14.41,3800,10.52300
2006-03-07,14.30,14.30,14.10,14.11,8400,10.30392
2006-03-08,14.10,14.25,14.02,14.20,10900,10.3696
2006-03-09,14.20,14.32,14.15,14.25,20400,10.40616
2006-03-10,14.15,14.34,14.15,14.33,11500,10.46458
2006-03-13,14.30,14.34,14.15,14.31,16700,10.44997
2006-03-14,14.21,14.45,14.15,14.39,10200,10.50839
2006-03-15,14.30,14.43,14.20,14.25,7900,10.40616
2006-03-16,14.25,14.38,14.05,14.38,15000,10.50109
2006-03-17,14.35,14.44,14.31,14.38,8700,10.50109
2006-03-20,14.45,14.45,14.20,14.40,10300,10.51570
2006-03-21,14.40,14.40,14.15,14.29,6400,10.43537
2006-03-22,14.25,14.32,14.20,14.25,16700,10.40616
2006-03-23,14.00,14.25,14.00,14.25,10400,10.6528
2006-03-24,14.29,14.30,14.24,14.25,18900,10.6528
2006-03-27,14.28,14.28,14.15,14.25,12700,10.6528
2006-03-28,14.24,14.26,14.15,14.26,11700,10.66033
2006-03-29,14.25,14.26,14.05,14.15,18700,10.57810
2006-03-30,14.05,14.05,14.00,14.01,8800,10.47344
2006-03-31,14.01,14.01,13.67,13.78,60300,10.30150
2006-04-03,13.80,14.00,13.44,13.63,25300,10.18936
2006-04-04,13.54,13.73,13.54,13.70,13100,10.24169
2006-04-05,13.70,13.94,13.65,13.82,6900,10.33140
2006-04-06,13.73,13.80,13.67,13.70,36900,10.24169
2006-04-07,13.79,13.84,13.66,13.71,5400,10.24917
2006-04-10,13.71,13.75,13.65,13.75,8800,10.27907
2006-04-11,13.70,13.72,13.61,13.66,4500,10.21179
2006-04-12,13.68,13.79,13.62,13.65,20300,10.20431
2006-04-13,13.62,13.67,13.62,13.67,1300,10.2192
2006-04-17,13.67,14.22,13.67,13.99,22700,10.45849
2006-04-18,13.98,14.23,13.98,14.20,18900,10.61548
2006-04-19,14.19,14.20,14.02,14.18,10800,10.60053
2006-04-20,14.15,14.20,14.05,14.15,10000,10.57810
2006-04-21,14.15,14.17,14.02,14.15,4000,10.57810
2006-04-24,14.19,14.20,13.90,14.00,3600,10.46596
2006-04-25,14.00,14.20,13.95,14.02,7200,10.4809
2006-04-26,14.00,14.04,13.90,13.91,2600,10.39868
2006-04-27,13.91,13.91,13.69,13.70,6400,10.24169
2006-04-28,13.70,13.99,13.64,13.83,6100,10.33888
2006-05-01,13.80,14.00,13.78,13.85,5500,10.35383
2006-05-02,13.85,13.91,13.74,13.85,19800,10.35383
2006-05-03,13.81,13.83,13.70,13.82,8100,10.33140
2006-05-04,13.90,13.98,13.82,13.98,4800,10.45101
2006-05-05,13.98,14.10,13.94,13.94,6400,10.42111
2006-05-08,13.84,14.00,13.80,13.88,3900,10.3762
2006-05-09,13.88,13.99,13.85,13.95,3700,10.42858
2006-05-10,13.95,14.00,13.80,13.85,6400,10.35383
2006-05-11,13.81,13.86,13.72,13.73,6500,10.26412
2006-05-12,13.75,13.83,13.70,13.70,2400,10.24169
2006-05-15,13.65,13.70,13.65,13.70,3100,10.24169
2006-05-16,13.70,13.70,13.65,13.67,1300,10.2192
2006-05-17,13.67,13.71,13.64,13.65,4600,10.20431
2006-05-18,13.67,13.88,13.66,13.80,4500,10.31645
2006-05-19,13.81,13.81,13.55,13.70,5600,10.24169
2006-05-22,13.65,13.66,13.26,13.43,9600,10.03985
2006-05-23,13.50,13.69,13.45,13.64,5900,10.19684
2006-05-24,13.63,13.65,13.21,13.25,9400,9.90529
2006-05-25,13.25,13.38,13.06,13.10,24700,9.79315
