Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.75,7.75,7.00,7.75,100,660.754
2000-01-04,7.25,7.25,7.25,7.25,000,618.125
2000-01-05,7.50,7.875,7.25,7.50,100,639.439
2000-01-06,8.00,8.00,7.50,8.00,300,682.06
2000-01-07,8.375,8.375,8.00,8.375,300,714.04
2000-01-10,8.375,8.50,8.25,8.375,100,714.04
2000-01-11,8.50,8.50,8.125,8.50,200,724.698
2000-01-12,8.625,8.625,8.625,8.625,000,735.355
2000-01-13,8.625,8.75,8.438,8.625,200,735.355
2000-01-14,8.625,8.625,8.50,8.625,000,735.355
2000-01-18,8.75,8.875,8.375,8.75,100,746.01
2000-01-19,8.75,8.75,8.625,8.75,000,746.01
2000-01-20,8.625,8.75,8.25,8.625,000,735.355
2000-01-21,8.00,8.625,8.00,8.00,000,682.06
2000-01-24,7.75,8.00,7.75,7.75,100,660.754
2000-01-25,6.563,7.75,6.313,6.563,500,559.552
2000-01-26,6.875,6.875,6.563,6.875,400,586.153
2000-01-27,6.625,7.031,6.50,6.625,300,564.838
2000-01-28,6.50,6.75,6.50,6.50,400,554.181
2000-01-31,6.313,6.50,6.25,6.313,200,538.237
2000-02-01,6.313,6.313,6.313,6.313,000,538.237
2000-02-02,6.375,6.438,6.125,6.375,000,543.523
2000-02-03,6.125,6.25,6.125,6.125,100,522.209
2000-02-04,6.25,6.625,6.00,6.25,100,532.866
2000-02-07,6.125,6.125,6.125,6.125,000,522.209
2000-02-08,6.00,6.625,6.00,6.00,000,511.551
2000-02-09,6.00,6.00,6.00,6.00,000,511.551
2000-02-10,5.75,5.875,5.75,5.75,000,490.237
2000-02-11,5.688,5.938,5.688,5.688,300,484.951
2000-02-14,5.375,5.50,5.375,5.375,100,458.265
2000-02-15,5.25,5.438,5.25,5.25,000,447.607
2000-02-16,5.375,5.375,5.25,5.375,000,458.265
2000-02-17,5.313,5.313,5.313,5.313,000,452.979
2000-02-18,5.281,5.375,5.281,5.281,000,450.250
2000-02-22,5.375,5.375,5.375,5.375,000,458.265
2000-02-23,5.25,5.313,5.25,5.25,000,447.607
2000-02-24,5.25,5.25,5.25,5.25,000,447.607
2000-02-25,5.375,5.375,5.375,5.375,000,458.265
2000-02-28,4.75,5.125,4.75,4.75,000,404.978
2000-02-29,5.25,5.375,5.00,5.25,000,447.607
2000-03-01,5.00,5.50,4.75,5.00,200,426.293
2000-03-02,4.75,5.00,4.625,4.75,100,404.978
2000-03-03,5.125,5.125,4.563,5.125,000,436.950
2000-03-06,4.625,5.063,4.625,4.625,000,394.321
2000-03-07,5.25,5.25,4.50,5.25,000,447.607
2000-03-08,4.375,5.063,4.375,4.375,000,373.006
2000-03-09,4.219,4.781,4.219,4.219,200,359.706
2000-03-10,4.188,4.50,4.188,4.188,200,357.063
2000-03-13,4.375,4.50,3.031,4.375,500,373.006
2000-03-14,4.50,4.563,4.375,4.50,000,383.663
2000-03-15,4.50,4.656,4.50,4.50,000,383.663
2000-03-16,4.50,4.75,4.50,4.50,000,383.663
2000-03-17,4.875,4.875,4.656,4.875,000,415.635
2000-03-20,4.625,5.063,4.625,4.625,000,394.321
2000-03-21,4.625,5.313,4.625,4.625,000,394.321
2000-03-22,4.875,5.75,4.875,4.875,000,415.635
2000-03-23,4.875,4.875,4.875,4.875,000,415.635
2000-03-24,5.00,5.00,4.875,5.00,000,426.293
2000-03-27,5.625,5.625,5.063,5.625,000,479.579
2000-03-29,5.00,5.50,5.00,5.00,000,426.293
2000-03-30,4.25,4.875,4.125,4.25,000,362.349
2000-03-31,4.25,4.625,4.25,4.25,000,362.349
2000-04-03,5.00,5.00,4.938,5.00,000,426.293
2000-04-05,4.50,4.50,4.50,4.50,000,383.663
2000-04-06,5.00,5.00,4.375,5.00,000,426.293
2000-04-07,4.375,5.00,4.25,4.375,100,373.006
2000-04-10,5.25,5.50,5.00,5.25,000,447.607
2000-04-11,5.375,5.50,5.063,5.375,000,458.265
2000-04-12,4.625,4.875,4.625,4.625,000,394.321
2000-04-13,4.625,5.00,4.625,4.625,200,394.321
2000-04-14,4.563,4.563,4.563,4.563,000,389.035
2000-04-18,4.50,5.00,4.50,4.50,200,383.663
2000-04-19,4.75,4.75,4.50,4.75,100,404.978
2000-04-20,4.875,4.875,4.875,4.875,000,415.635
2000-04-24,4.938,5.50,4.938,4.938,200,421.007
2000-04-25,4.875,5.25,4.25,4.875,300,415.635
2000-04-27,4.875,5.00,4.875,4.875,000,415.635
2000-04-28,5.00,5.00,4.875,5.00,000,426.293
2000-05-01,5.25,5.25,5.00,5.25,000,447.607
2000-05-02,5.00,5.00,5.00,5.00,000,426.293
2000-05-03,5.00,5.125,5.00,5.00,000,426.293
2000-05-04,4.813,5.25,4.75,4.813,000,410.349
2000-05-05,5.00,5.00,4.813,5.00,000,426.293
2000-05-08,4.875,4.875,4.875,4.875,000,415.635
2000-05-10,4.75,4.75,4.75,4.75,000,404.978
2000-05-11,4.50,5.00,4.50,4.50,000,383.663
2000-05-12,4.875,4.875,4.50,4.875,000,415.635
2000-05-15,4.563,4.563,4.50,4.563,000,389.035
2000-05-16,4.656,4.656,4.656,4.656,000,396.964
2000-05-18,4.438,4.438,4.438,4.438,000,378.377
2000-05-19,4.50,4.50,4.438,4.50,000,383.663
2000-05-22,4.75,4.75,4.75,4.75,000,404.978
2000-05-23,5.188,5.188,4.656,5.188,100,442.321
2000-05-24,4.625,4.625,4.625,4.625,000,394.321
2000-05-26,4.875,4.875,4.563,4.875,000,415.635
2000-05-31,4.875,5.00,4.688,4.875,100,415.635
2000-06-01,4.563,4.875,4.563,4.563,000,389.035
2000-06-02,4.563,4.563,4.563,4.563,000,389.035
2000-06-05,4.50,4.688,4.50,4.50,000,383.663
2000-06-06,4.50,4.50,4.50,4.50,000,383.663
2000-06-08,4.50,4.50,4.50,4.50,000,383.663
2000-06-09,4.625,4.813,4.625,4.625,000,394.321
2000-06-12,4.625,4.625,4.625,4.625,000,394.321
2000-06-13,4.813,4.813,4.625,4.813,000,410.349
2000-06-14,4.813,4.813,4.813,4.813,000,410.349
2000-06-15,4.813,4.813,4.813,4.813,000,410.349
2000-06-20,4.813,4.813,4.813,4.813,000,410.349
2000-06-23,4.688,4.688,4.688,4.688,000,399.692
2000-06-26,4.625,4.688,4.563,4.625,000,394.321
2000-06-27,4.563,4.563,4.563,4.563,000,389.035
2000-06-29,4.75,4.75,4.75,4.75,000,404.978
2000-06-30,4.625,4.625,4.563,4.625,000,394.321
2000-07-05,4.625,4.625,4.625,4.625,000,394.321
2000-07-06,4.625,4.625,4.50,4.625,000,394.321
2000-07-07,4.531,4.625,4.50,4.531,300,386.306
2000-07-10,4.25,4.50,4.25,4.25,100,362.349
2000-07-11,4.625,4.625,4.00,4.625,1200,394.321
2000-07-12,5.00,5.00,4.375,5.00,200,426.293
2000-07-13,5.00,5.00,4.938,5.00,000,426.293
2000-07-14,4.875,4.938,4.875,4.875,100,415.635
2000-07-17,4.938,4.938,4.938,4.938,000,421.007
2000-07-18,5.25,5.25,4.938,5.25,100,447.607
2000-07-19,5.188,5.188,4.875,5.188,800,442.321
2000-07-20,5.375,5.375,5.125,5.375,000,458.265
2000-07-21,5.25,5.50,5.25,5.25,000,447.607
2000-07-25,5.625,5.625,5.50,5.625,000,479.579
