Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,52.5625,52.875,50.25,51.3125,665800,41.91558
2000-01-04,49.5625,50.6875,46.50,46.75,2358800,38.18862
2000-01-05,44.375,46.625,43.25,45.0625,1433100,36.81015
2000-01-06,46.50,46.875,44.75,44.875,957100,36.65699
2000-01-07,53.50,60.00,53.25,60.00,4356100,49.01213
2000-01-10,58.50,60.3125,58.00,59.9375,2478400,48.9610
2000-01-11,58.125,59.4375,57.5625,58.0625,1257400,47.42945
2000-01-12,59.9375,61.125,59.375,60.50,735700,49.42056
2000-01-13,63.3125,64.50,61.5625,63.00,1256100,51.46274
2000-01-14,63.9375,63.9375,62.00,62.50,454000,51.05430
2000-01-18,60.1875,61.25,59.625,61.00,630800,49.82900
2000-01-19,59.375,60.8125,59.375,60.8125,306700,49.6758
2000-01-20,62.625,62.8125,60.9375,62.00,568600,50.64587
2000-01-21,60.8125,61.50,60.3125,61.50,441200,50.23743
2000-01-24,62.00,64.50,62.00,62.50,1249200,51.05430
2000-01-25,64.5625,65.50,63.875,64.6875,1192900,52.84120
2000-01-26,64.375,70.00,63.875,69.00,2387600,56.36395
2000-01-27,67.75,69.4375,67.0625,68.5625,1656100,56.00657
2000-01-28,69.00,71.375,68.0625,68.3125,1735600,55.80235
2000-01-31,65.625,65.8125,63.8125,65.1875,609200,53.24964
2000-02-01,65.50,66.625,65.00,66.4375,422500,54.27072
2000-02-02,64.5625,65.6875,63.9375,65.00,856700,53.09647
2000-02-03,65.5625,66.375,64.875,66.25,656200,54.11756
2000-02-04,67.4375,69.875,67.4375,68.875,438300,56.26184
2000-02-07,68.8125,68.875,66.875,68.5625,488700,56.00657
2000-02-08,71.00,73.5625,70.9375,71.875,728900,58.71245
2000-02-09,73.00,73.875,72.00,72.375,771300,59.12088
2000-02-10,70.6875,71.4375,69.375,70.875,419300,57.89558
2000-02-11,71.875,72.125,68.50,69.25,744900,56.56817
2000-02-14,68.25,69.8125,68.00,69.625,447300,56.87449
2000-02-15,67.75,68.00,66.375,67.625,847800,55.24075
2000-02-16,66.8125,68.75,66.8125,68.00,473300,55.54708
2000-02-17,71.125,72.4375,70.75,71.3125,792500,58.25296
2000-02-18,72.00,72.4375,70.25,70.6875,282800,57.7424
2000-02-22,72.00,72.875,71.3125,72.25,508100,59.01877
2000-02-23,73.375,74.375,71.375,73.3125,591800,59.88670
2000-02-24,74.625,75.00,71.00,72.8125,793400,59.47826
2000-02-25,71.00,72.50,70.125,70.5625,429900,57.64031
2000-02-28,69.625,71.3125,69.109383,71.00,335100,57.99769
2000-02-29,69.5625,71.3125,68.625,71.3125,377000,58.25296
2000-03-01,71.1875,72.00,70.8125,71.50,321200,58.40612
2000-03-02,71.75,73.25,71.50,72.375,420700,59.12088
2000-03-03,73.875,75.375,73.625,74.9375,715000,61.21411
2000-03-06,81.50,82.3125,80.6875,81.5625,753500,66.6258
2000-03-07,83.25,83.75,81.625,81.9375,475400,66.93219
2000-03-08,81.9375,81.9375,78.9375,81.25,331100,66.37059
2000-03-09,84.875,84.9375,81.625,83.50,511600,68.20855
2000-03-10,85.4375,85.9375,83.375,83.9375,615500,68.56593
2000-03-13,78.875,81.00,77.875,79.9375,423600,65.29845
2000-03-14,80.0625,80.50,77.0625,77.4375,671100,63.25628
2000-03-15,75.25,75.4375,71.50,72.4375,1408900,59.17194
2000-03-16,74.00,74.5625,69.125,71.8125,1639500,58.66139
2000-03-17,70.6875,73.875,70.6875,73.00,614800,59.6314
2000-03-20,77.50,78.6875,75.625,76.3125,764000,62.33730
2000-03-21,75.00,75.9375,73.50,75.25,633200,61.46938
2000-03-22,75.25,76.6875,74.00,76.6875,733800,62.64363
2000-03-23,73.625,74.25,72.00,72.8125,574000,59.47826
2000-03-24,72.4375,74.9375,72.25,74.4375,520700,60.80567
2000-03-27,74.875,76.5625,74.50,75.50,469800,61.67360
2000-03-28,75.3125,76.00,72.0625,72.125,1061200,58.9166
2000-03-29,68.75,69.625,56.00,59.00,6785100,48.19526
2000-03-30,60.9375,62.3125,57.25,58.00,4030400,47.37839
2000-03-31,61.25,61.50,57.25,59.75,2882200,48.80791
2000-04-03,58.625,58.625,52.875,54.50,1535200,44.51935
2000-04-04,55.8125,55.8125,49.00,53.125,2754300,43.3961
2000-04-05,52.3125,57.75,52.25,55.375,1497500,45.23411
2000-04-06,59.0625,59.4375,58.00,59.1875,638100,48.34842
2000-04-07,59.3125,59.9375,57.375,58.5625,1197000,47.83788
2000-04-10,56.50,56.6875,53.8125,54.0625,927500,44.16197
2000-04-11,52.00,54.00,51.875,53.875,982800,44.00881
2000-04-12,54.375,54.875,50.00,50.00,1249400,40.84344
2000-04-13,51.25,51.4375,49.125,49.75,1384600,40.63922
2000-04-14,47.25,49.0625,45.125,45.9375,1189600,37.52491
2000-04-17,48.1875,51.25,48.125,50.50,1917800,41.2518
2000-04-18,51.125,51.1875,47.8125,49.8125,1452600,40.69028
2000-04-19,52.50,52.9375,48.125,48.375,2668400,39.51603
2000-04-20,47.50,48.00,43.125,44.4375,4138900,36.29961
2000-04-24,42.00,42.8125,40.75,42.8125,2245400,34.972
2000-04-25,46.875,48.75,45.4375,48.75,2925000,39.82235
2000-04-26,49.00,49.3125,48.00,48.375,1128600,39.51603
2000-04-27,46.75,48.375,46.75,48.00,895500,39.20970
2000-04-28,48.9375,49.25,48.4375,49.125,791000,40.12868
2000-05-01,49.375,51.50,49.375,51.00,555100,41.66031
2000-05-02,51.4375,51.8125,49.9375,50.00,1121900,40.84344
2000-05-03,49.5625,49.5625,46.50,47.4375,743000,38.84889
2000-05-04,48.375,48.50,46.625,48.0625,731100,39.36073
2000-05-05,48.25,50.25,48.25,50.1875,646200,41.10100
2000-05-08,49.50,49.75,47.4375,48.50,499200,39.71902
2000-05-09,48.50,48.50,46.4375,46.75,592800,38.28586
2000-05-10,45.6875,45.6875,43.00,43.9375,1082400,35.98257
2000-05-11,44.5625,45.3125,43.375,45.3125,895700,37.10862
2000-05-12,46.50,46.875,45.6875,46.125,850600,37.77402
2000-05-15,45.6875,45.9375,44.875,45.625,1151100,37.36454
2000-05-16,46.125,47.1875,45.875,47.1875,860300,38.64415
2000-05-17,45.50,46.25,44.625,45.375,571900,37.1598
2000-05-18,45.25,45.25,43.50,43.75,408600,35.82901
2000-05-19,41.375,41.8125,40.8125,41.5625,691000,34.03756
2000-05-22,40.875,41.625,39.4375,41.4375,905300,33.93519
2000-05-23,41.4375,42.5625,40.875,40.9375,616500,33.52572
2000-05-24,41.50,42.8125,40.4375,42.5625,944600,34.85651
2000-05-25,43.4375,44.375,40.875,41.625,1645900,34.08875
2000-05-26,42.00,42.6875,41.3125,42.0625,546300,34.44704
2000-05-30,42.5625,44.125,42.5625,44.00,510000,36.03375
2000-05-31,43.5625,44.6875,42.75,42.875,515500,35.11243
2000-06-01,44.00,46.50,43.8125,46.1875,636900,37.82520
2000-06-02,50.25,51.00,48.375,48.50,800800,39.71902
2000-06-05,48.125,49.375,47.875,49.375,521900,40.43560
2000-06-06,49.50,49.50,47.375,47.5625,1012400,38.95126
2000-06-07,47.9375,49.1875,47.8125,49.125,755300,40.23086
2000-06-08,50.125,50.375,48.50,48.6875,292800,39.87257
2000-06-09,49.25,49.75,47.5625,48.00,1463100,39.30955
2000-06-12,47.8125,47.8125,46.625,46.75,423800,38.28586
2000-06-13,46.625,46.875,45.8125,46.75,849200,38.28586
2000-06-14,49.125,50.1875,48.75,48.8125,1025200,39.97494
2000-06-15,50.6875,50.75,49.625,50.4375,662500,41.30573
2000-06-16,50.5625,50.5625,49.0625,49.25,416900,40.33323
2000-06-19,50.00,51.9375,49.4375,51.6875,697600,42.32942
2000-06-20,52.6875,53.5625,52.25,53.50,633000,43.81377
2000-06-21,51.3125,51.75,50.1875,51.75,882100,42.3806
2000-06-22,51.625,51.6875,49.125,49.125,838900,40.23086
2000-06-23,49.5625,50.00,48.25,50.00,689700,40.94744
2000-06-26,50.4375,51.25,49.125,49.625,884800,40.64034
2000-06-27,49.875,51.00,49.5625,50.375,604000,41.25455
2000-06-28,49.1875,50.25,49.1875,49.75,630000,40.74271
2000-06-29,46.375,47.6875,45.75,47.25,715700,38.6953
2000-06-30,46.00,47.00,45.6875,46.625,609700,38.18349
2000-07-03,46.1875,47.25,45.625,46.875,210200,38.38823
2000-07-05,47.9375,48.6875,46.0625,46.3125,1671800,37.92757
2000-07-06,45.75,46.50,45.3125,46.25,519500,37.87639
2000-07-07,46.25,47.625,46.0625,46.6875,497200,38.23468
2000-07-10,46.625,47.4375,46.375,47.00,760200,38.49060
2000-07-11,46.6875,46.9375,45.8125,46.0625,1135800,37.72283
2000-07-12,48.8125,49.4375,47.9375,48.75,739800,39.92376
2000-07-13,51.25,52.125,50.8125,51.375,783700,42.07350
2000-07-14,51.9375,52.50,51.1875,52.3125,266200,42.84126
2000-07-17,54.25,55.125,53.3125,54.6875,955800,44.78627
2000-07-18,52.625,52.625,51.9375,52.125,396300,42.68771
2000-07-19,50.00,51.25,49.75,49.75,709900,40.74271
2000-07-20,54.75,59.50,54.75,58.75,3129700,48.11325
2000-07-21,58.00,59.625,57.0625,59.125,1030900,48.42035
2000-07-24,59.50,60.5625,57.3125,57.6875,924000,47.2431
2000-07-25,58.25,58.3125,56.75,57.50,179300,47.08956
2000-07-26,56.875,57.3125,55.6875,56.5625,377400,46.32180
2000-07-27,57.125,57.375,54.625,54.875,230100,44.93982
2000-07-28,54.375,55.0625,52.75,53.50,506300,43.81377
2000-07-31,55.875,56.00,55.00,55.75,309300,45.65640
2000-08-01,56.625,57.3125,56.25,56.5625,454800,46.32180
2000-08-02,56.3125,56.5625,55.75,55.8125,164700,45.7075
2000-08-03,52.50,54.375,52.00,54.25,435500,44.42798
2000-08-04,55.1875,55.50,54.00,54.125,666100,44.32561
2000-08-07,55.125,55.8125,54.75,55.8125,313700,45.7075
2000-08-08,55.25,56.6875,55.1875,56.625,334600,46.37298
2000-08-09,57.4375,57.5625,56.75,57.5625,352400,47.14075
2000-08-10,57.4375,58.75,57.125,58.125,305400,47.6014
2000-08-11,60.00,62.00,59.625,62.00,887900,50.77483
2000-08-14,61.3125,63.50,60.4375,63.375,535200,51.90089
2000-08-15,61.375,61.75,60.6875,61.125,533100,50.05825
2000-08-16,61.3125,62.4375,61.3125,62.375,336500,51.08194
2000-08-17,60.8125,62.8125,60.8125,62.625,719600,51.2866
2000-08-18,61.8125,61.8125,60.6875,61.625,446000,50.46773
2000-08-21,59.9375,60.3125,59.125,60.00,358900,49.13693
2000-08-22,60.00,60.25,59.1875,59.25,449600,48.52272
2000-08-23,58.25,59.25,57.625,59.125,475000,48.42035
2000-08-24,59.625,60.625,59.4375,60.50,480200,49.54641
2000-08-25,61.9375,62.8125,61.875,62.8125,281600,51.44023
2000-08-28,61.50,62.50,61.375,62.25,278300,50.97957
2000-08-29,61.00,61.50,60.8125,61.0625,161800,50.00707
2000-08-30,61.25,61.375,60.25,61.00,259600,49.95588
