Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,38.500005,39.00,36.874995,37.000005,8738700,20.13696
2000-01-04,37.000005,37.375005,35.187495,36.499995,8725300,19.8648
2000-01-05,36.437505,36.874995,34.50,36.75,6704100,20.00090
2000-01-06,36.375,38.125005,36.312495,36.75,7567600,20.00090
2000-01-07,38.187495,38.875005,37.624995,38.875005,4294600,21.15742
2000-01-10,39.812505,39.9375,38.749995,39.00,5781300,21.22544
2000-01-11,39.499995,39.874995,38.937495,39.124995,4009900,21.29347
2000-01-12,39.00,39.00,37.562505,37.624995,4154400,20.47711
2000-01-13,34.000005,40.999995,33.874995,40.50,23542200,22.04181
2000-01-14,41.937495,43.249995,40.6875,40.999995,14040000,22.3139
2000-01-18,40.562505,40.624995,38.8125,39.00,6587700,21.22544
2000-01-19,39.9375,40.999995,39.312495,40.000005,7321600,21.76969
2000-01-20,40.062495,40.249995,39.062505,39.250005,4695000,21.36151
2000-01-21,39.250005,39.250005,37.062495,38.500005,7269300,20.9533
2000-01-24,37.875,37.999995,36.5625,37.999995,3403200,20.68120
2000-01-25,36.9375,37.624995,36.250005,36.812505,3938200,20.03492
2000-01-26,36.687495,38.374995,35.875005,38.125005,5633100,20.74923
2000-01-27,38.0625,38.4375,36.375,37.3125,4308100,20.30703
2000-01-28,37.062495,37.999995,35.0625,35.187495,3853600,19.15052
2000-01-31,35.25,36.124995,34.999995,35.187495,4708500,19.15052
2000-02-01,36.437505,37.000005,34.812495,35.625,4331100,19.38863
2000-02-02,35.500005,36.250005,33.687495,35.749995,8118400,19.45665
2000-02-03,36.00,36.124995,34.50,35.625,4783500,19.38863
2000-02-04,35.687505,38.125005,34.812495,37.937505,11454300,20.64719
2000-02-07,38.4375,40.750005,37.624995,40.50,6966400,22.04181
2000-02-08,40.000005,40.000005,39.00,39.499995,6967900,21.50499
2000-02-09,39.250005,39.312495,37.562505,37.750005,3766800,20.55224
2000-02-10,38.625,38.875005,37.999995,38.500005,4553200,20.96057
2000-02-11,38.875005,39.874995,38.500005,39.00,5229000,21.23278
2000-02-14,39.9375,39.9375,37.624995,38.187495,3972700,20.79043
2000-02-15,37.6875,38.4375,37.062495,38.4375,3462900,20.92654
2000-02-16,38.500005,39.250005,37.999995,37.999995,3236200,20.68835
2000-02-17,38.500005,39.75,38.4375,39.437505,5676300,21.47097
2000-02-18,39.437505,39.437505,37.999995,38.25,3728700,20.82446
2000-02-22,38.25,38.500005,36.062505,37.50,4560100,20.41613
2000-02-23,37.6875,40.062495,37.062495,39.5625,6580800,21.53902
2000-02-24,39.375,39.375,37.6875,37.937505,6333600,20.6543
2000-02-25,38.312505,38.312505,36.5625,37.875,3816700,20.620
2000-02-28,38.500005,38.687505,37.3125,37.3125,7325400,20.31405
2000-02-29,40.000005,42.1875,39.00,42.00,15117400,22.86607
2000-03-01,43.125,46.50,42.312495,46.50,14020000,25.31601
2000-03-02,46.375005,46.437495,43.6875,45.124995,7160700,24.56741
2000-03-03,45.499995,48.00,45.250005,48.00,7782600,26.13265
2000-03-06,48.00,48.499992,47.0625,47.687505,6249100,25.96252
2000-03-07,47.562495,47.937495,45.75,46.3125,4925500,25.21393
2000-03-08,46.375005,46.375005,43.437495,45.00,3877300,24.49936
2000-03-09,44.500005,46.999995,43.812495,45.499995,3449100,24.77157
2000-03-10,47.937495,54.1875,47.125005,52.999992,16069600,28.85480
2000-03-13,49.562508,54.499992,48.00,50.875008,7624900,27.69789
2000-03-14,50.374992,51.00,48.00,48.625008,6545400,26.47293
2000-03-15,48.00,49.750008,47.125005,48.499992,3802300,26.40486
2000-03-16,48.499992,50.25,48.124992,49.999992,8170300,27.22151
2000-03-17,51.250008,55.999992,51.00,55.249992,12249900,30.07977
2000-03-20,55.875,57.437508,53.8125,54.00,7982200,29.3992
2000-03-21,54.124992,54.437508,52.375008,54.437508,6396300,29.63743
