Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,176.00,191.00,165.00,189.625,627200,379.2
2000-01-04,179.00,183.50,165.75,166.00,739600,332.0
2000-01-05,163.00,171.9375,150.125,164.25,646500,328.5
2000-01-06,165.1875,168.0625,153.0625,153.5625,413300,307.12
2000-01-07,153.5625,165.5625,153.5625,165.375,405800,330.7
2000-01-10,165.4375,168.1875,157.25,161.50,452400,323.0
2000-01-11,159.00,160.00,147.00,147.00,389800,294.0
2000-01-12,148.6875,150.00,137.375,137.375,381400,274.7
2000-01-13,142.00,152.875,139.0625,152.00,316500,304.0
2000-01-14,156.3125,157.50,143.375,145.875,233500,291.7
2000-01-18,145.75,156.9375,145.0625,152.875,212500,305.7
2000-01-19,154.1875,160.9375,153.625,158.8125,213700,317.62
2000-01-20,162.4375,165.6875,159.6875,161.8125,222700,323.62
2000-01-21,166.375,167.00,164.00,164.8125,168400,329.62
2000-01-24,167.625,170.00,148.3125,151.875,252000,303.7
2000-01-25,154.00,156.50,150.0625,154.75,277500,309.5
2000-01-26,154.00,154.9375,147.00,147.6875,159400,295.37
2000-01-27,148.00,154.875,146.00,149.50,230300,299.0
2000-01-28,146.50,148.9375,140.00,141.00,164700,282.0
2000-01-31,142.00,143.00,131.125,143.00,337200,286.0
2000-02-01,142.00,143.75,136.0625,139.625,213700,279.2
2000-02-02,140.625,142.50,138.125,138.1875,196800,276.37
2000-02-03,141.125,153.625,140.1875,152.6875,250300,305.37
2000-02-04,153.00,155.9375,148.50,148.50,200800,297.0
2000-02-07,151.00,153.125,147.50,148.0625,120000,296.12
2000-02-08,152.0625,158.75,151.6875,156.375,187200,312.7
2000-02-09,157.00,160.00,148.0625,148.3125,200400,296.62
2000-02-10,148.75,157.375,148.50,157.1875,212400,314.37
2000-02-11,155.625,156.9375,150.0625,152.00,140000,304.0
2000-02-14,152.00,155.50,150.125,155.50,147400,311.0
2000-02-15,155.50,156.00,149.0625,153.125,138200,306.2
2000-02-16,153.125,155.4375,152.50,155.375,103300,310.7
2000-02-17,155.75,156.50,152.0625,153.1875,115100,306.37
2000-02-18,154.9375,154.9375,149.25,149.875,113700,299.7
2000-02-22,148.00,149.625,142.125,146.25,161900,292.5
2000-02-23,146.50,156.875,145.3125,156.25,340400,312.5
2000-02-24,156.00,157.50,150.0625,155.4375,218000,310.87
2000-02-25,151.50,154.00,147.50,149.00,143700,298.0
2000-02-28,145.50,147.50,141.75,144.50,154800,289.0
2000-02-29,149.00,175.375,149.00,175.375,821200,350.7
2000-03-01,175.00,176.00,167.375,170.00,1124600,340.0
