Date,Open,High,Low,Close,Volume,Adj Clos
2004-10-21,17.00,17.129999,17.00,17.00,6982800,9.64307
2004-10-22,17.00,17.040001,16.700001,16.76,1611800,9.50693
2004-10-25,16.75,16.780001,16.75,16.75,259300,9.50126
2004-10-26,16.700001,16.75,16.700001,16.700001,241300,9.47290
2004-10-27,16.700001,16.950001,16.700001,16.870001,237900,9.56933
2004-10-28,16.85,16.950001,16.85,16.85,242100,9.55798
2004-10-29,16.85,16.870001,16.85,16.85,122500,9.55798
2004-11-01,16.85,17.00,16.85,16.969999,365500,9.62605
2004-11-02,16.92,17.10,16.90,17.08,700800,9.68845
2004-11-03,17.200001,17.25,17.01,17.110001,613800,9.70547
2004-11-04,17.10,17.280001,17.08,17.26,383300,9.79055
2004-11-05,17.16,17.190001,16.90,16.92,387200,9.59769
2004-11-08,16.91,17.07,16.90,17.059999,311100,9.67710
2004-11-09,17.059999,17.15,17.049999,17.10,198300,9.69979
2004-11-10,17.07,17.35,17.049999,17.190001,306200,9.7508
2004-11-11,17.16,17.35,17.129999,17.309999,156400,9.81891
2004-11-12,17.299999,17.450001,17.219999,17.450001,439600,9.89833
2004-11-15,17.50,17.879999,17.42,17.68,490100,10.02879
2004-11-16,17.65,17.700001,17.50,17.51,181700,9.93236
2004-11-17,17.50,17.620001,17.33,17.40,402900,9.8699
2004-11-18,17.450001,17.50,17.299999,17.35,79900,9.84160
2004-11-19,17.25,17.299999,16.950001,17.200001,423000,9.75652
2004-11-22,17.02,17.43,17.01,17.370001,265700,9.85295
2004-11-23,17.40,17.530001,17.25,17.32,144900,9.8245
2004-11-24,17.35,17.75,17.35,17.65,221000,10.01177
2004-11-26,17.700001,17.73,17.51,17.65,35200,10.01177
2004-11-29,17.65,17.790001,17.60,17.66,265900,10.01745
2004-11-30,18.00,18.35,17.969999,18.27,1539000,10.36346
2004-12-01,18.379999,18.48,18.110001,18.299999,528700,10.38048
2004-12-02,18.450001,18.48,18.26,18.48,342700,10.48258
2004-12-03,18.450001,18.82,18.32,18.75,481800,10.63574
2004-12-06,18.75,19.50,18.75,19.379999,390600,10.99310
2004-12-07,19.50,19.799999,19.049999,19.40,571600,11.00444
2004-12-08,19.299999,19.65,19.299999,19.65,131900,11.14625
2004-12-09,19.60,19.879999,19.50,19.860001,199600,11.2653
2004-12-10,19.75,19.98,19.65,19.889999,124700,11.28239
2004-12-13,19.959999,20.00,19.67,19.889999,127700,11.28239
2004-12-14,19.74,20.040001,19.73,19.98,170500,11.33344
2004-12-15,19.92,20.15,19.84,20.00,264500,11.34479
2004-12-16,19.92,20.00,19.700001,19.889999,146900,11.28239
2004-12-17,19.889999,20.700001,19.889999,20.389999,1010700,11.56601
2004-12-20,20.40,20.48,20.01,20.299999,304000,11.51496
2004-12-21,20.139999,20.23,20.049999,20.15,243200,11.42987
2004-12-22,20.110001,20.309999,20.049999,20.299999,281100,11.51496
2004-12-23,20.299999,20.440001,20.280001,20.35,287000,11.54332
2004-12-27,20.450001,20.450001,20.10,20.299999,94400,11.51496
2004-12-28,20.290001,20.950001,20.15,20.809999,204200,11.80425
2004-12-29,20.50,20.52,20.10,20.190001,73200,11.61159
2004-12-30,20.15,20.48,20.07,20.35,122500,11.70361
2004-12-31,20.35,20.84,20.35,20.780001,256700,11.95091
2005-01-03,20.60,21.35,20.549999,20.969999,370600,12.06018
2005-01-04,20.969999,21.25,20.60,20.76,260400,11.93940
2005-01-05,20.620001,20.68,20.25,20.68,345100,11.893
2005-01-06,20.73,21.43,20.700001,21.43,450700,12.32473
2005-01-07,21.450001,21.450001,21.00,21.17,142600,12.17520
2005-01-10,21.10,21.360001,21.00,21.120001,59200,12.14645
2005-01-11,21.120001,21.15,20.85,21.10,106900,12.13494
2005-01-12,21.15,21.299999,20.120001,20.309999,518900,11.68060
2005-01-13,20.25,20.32,20.08,20.200001,211700,11.61734
2005-01-14,20.25,20.40,20.23,20.40,83100,11.73236
2005-01-18,20.35,21.15,20.200001,21.08,119500,12.12344
2005-01-19,21.07,21.32,20.85,21.200001,98400,12.1924
2005-01-20,21.120001,21.200001,20.799999,21.040001,76500,12.10044
2005-01-21,21.059999,21.299999,20.700001,21.299999,91100,12.24997
2005-01-24,21.379999,21.48,21.15,21.15,75800,12.16370
2005-01-25,21.049999,21.200001,20.299999,20.469999,196500,11.77262
2005-01-26,20.50,20.780001,20.450001,20.65,62900,11.87614
