Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,7.125,7.25,6.75,7.00,7200,6.39877
2000-01-04,7.00,7.00,6.875,6.9375,6900,6.34164
2000-01-05,7.125,7.125,6.875,7.0625,2700,6.45590
2000-01-06,6.875,7.125,6.875,6.9375,1300,6.34164
2000-01-07,6.9375,7.00,6.9375,7.00,2200,6.39877
2000-01-10,7.00,7.125,7.00,7.0625,1900,6.45590
2000-01-11,7.00,7.00,7.00,7.00,1000,6.39877
2000-01-12,7.00,7.00,7.00,7.00,000,6.39877
2000-01-13,6.875,7.00,6.875,7.00,20900,6.39877
2000-01-14,7.0625,7.0625,7.00,7.0625,2200,6.45590
2000-01-18,7.0625,7.25,7.0625,7.0625,3000,6.45590
2000-01-19,7.00,7.125,7.00,7.0625,1400,6.45590
2000-01-20,7.00,7.125,7.00,7.00,700,6.39877
2000-01-21,6.50,6.50,6.00,6.375,54300,5.82745
2000-01-24,6.3125,6.375,6.25,6.25,12400,5.71319
2000-01-25,6.3125,6.3125,6.125,6.3125,3500,5.77032
2000-01-26,6.25,6.25,6.00,6.00,9000,5.48466
2000-01-27,6.00,6.1875,6.00,6.1875,12600,5.65606
2000-01-28,6.25,6.25,6.00,6.25,11100,5.71319
2000-01-31,6.125,6.75,6.00,6.75,7300,6.17024
2000-02-01,6.875,6.875,6.6875,6.75,15000,6.17024
2000-02-02,6.75,6.75,6.375,6.375,8800,5.82745
2000-02-03,6.25,6.375,6.25,6.375,6800,5.82745
2000-02-04,6.50,6.50,6.25,6.375,1500,5.87352
2000-02-07,6.375,6.375,6.375,6.375,000,5.87352
2000-02-08,6.25,6.3125,6.25,6.3125,3500,5.8159
2000-02-09,6.375,6.375,6.1875,6.375,2300,5.87352
2000-02-10,6.25,6.25,6.125,6.1875,1200,5.70077
2000-02-11,6.1875,6.1875,6.125,6.125,1400,5.6431
2000-02-14,6.25,6.25,6.1875,6.1875,500,5.70077
2000-02-15,6.25,6.375,6.25,6.375,4300,5.87352
2000-02-16,6.50,7.00,6.4375,6.875,15200,6.33419
2000-02-17,6.875,6.875,6.75,6.875,1500,6.33419
2000-02-18,6.625,6.875,6.625,6.8125,1200,6.27660
2000-02-22,6.8125,6.8125,6.6875,6.8125,1400,6.27660
2000-02-23,6.625,6.75,6.50,6.50,1300,5.98869
2000-02-24,6.75,7.00,6.625,6.75,19000,6.21902
2000-02-25,6.6875,6.6875,6.6875,6.6875,200,6.16144
2000-02-28,6.5625,6.6875,6.50,6.6875,2200,6.16144
2000-02-29,6.625,6.625,6.625,6.625,1600,6.10385
2000-03-01,6.5625,6.6875,6.5625,6.6875,3200,6.16144
2000-03-02,6.625,6.625,6.625,6.625,1000,6.10385
2000-03-03,6.75,6.75,6.50,6.50,5200,5.98869
2000-03-06,6.50,6.625,6.375,6.5625,43600,6.04627
2000-03-07,6.375,6.375,6.3125,6.3125,11100,5.8159
2000-03-08,6.25,6.25,6.25,6.25,1900,5.75835
2000-03-09,6.25,6.25,6.25,6.25,000,5.75835
2000-03-10,6.3125,6.50,6.25,6.25,22400,5.75835
2000-03-13,6.1875,6.1875,6.0625,6.125,21700,5.6431
2000-03-14,6.125,6.125,6.125,6.125,000,5.6431
2000-03-15,6.125,6.1875,6.125,6.1875,2800,5.70077
2000-03-16,6.25,6.3125,6.125,6.125,1700,5.6431
2000-03-17,6.0625,6.125,6.00,6.00,25100,5.52802
2000-03-20,6.00,6.125,6.00,6.00,7000,5.52802
2000-03-21,6.125,6.125,6.00,6.00,1500,5.52802
2000-03-22,5.9375,6.00,5.8125,5.8125,8800,5.35527
2000-03-23,5.75,5.75,5.75,5.75,2500,5.29768
2000-03-24,6.00,6.00,5.875,6.00,2200,5.52802
2000-03-27,5.8125,6.00,5.8125,5.8125,4300,5.35527
2000-03-28,5.875,6.00,5.875,5.875,8800,5.41285
2000-03-29,5.75,5.75,5.6875,5.6875,6800,5.24010
2000-03-30,5.625,5.75,5.625,5.75,3200,5.29768
2000-03-31,5.625,5.875,5.625,5.875,27800,5.41285
2000-04-03,6.00,6.00,6.00,6.00,1400,5.52802
2000-04-04,5.75,6.00,5.625,5.75,2300,5.29768
2000-04-05,5.8125,5.875,5.6875,5.875,2000,5.41285
2000-04-06,5.9375,5.9375,5.875,5.875,200,5.41285
2000-04-07,5.875,5.9375,5.875,5.875,3800,5.41285
2000-04-10,5.9375,5.9375,5.75,5.875,14400,5.41285
2000-04-11,6.00,6.25,6.00,6.00,56300,5.52802
2000-04-12,6.25,6.375,6.25,6.25,20800,5.75835
2000-04-13,6.25,6.375,6.25,6.375,3600,5.87352
2000-04-14,6.3125,6.50,6.25,6.50,2600,5.98869
2000-04-17,6.50,6.75,6.25,6.50,7300,5.98869
2000-04-18,6.125,6.375,6.125,6.375,400,5.87352
2000-04-19,6.125,6.25,6.0625,6.25,9500,5.75835
2000-04-20,6.00,6.125,6.00,6.00,12400,5.52802
2000-04-24,6.00,6.125,6.00,6.125,3000,5.6431
2000-04-25,6.125,7.25,6.125,6.9375,22500,6.39177
2000-04-26,6.6875,7.125,6.6875,7.00,8500,6.44935
2000-04-27,7.00,7.00,7.00,7.00,000,6.44935
2000-04-28,7.00,7.00,7.00,7.00,1500,6.44935
2000-05-01,6.875,6.9375,6.75,6.9375,1300,6.39177
2000-05-02,6.50,6.50,6.375,6.375,3500,5.87352
2000-05-03,6.50,6.625,6.50,6.50,2300,5.98869
2000-05-04,6.625,6.75,6.50,6.75,5000,6.21902
2000-05-05,6.75,6.875,6.625,6.875,2700,6.33419
2000-05-08,6.75,6.875,6.5625,6.875,3900,6.33419
2000-05-09,6.5625,6.625,6.375,6.4375,4200,5.93110
2000-05-10,6.50,6.50,6.1875,6.25,8200,5.75835
2000-05-11,6.375,6.375,6.375,6.375,200,5.87352
2000-05-12,6.25,6.375,6.25,6.375,500,5.91995
2000-05-15,6.3125,6.3125,6.125,6.25,11500,5.80387
2000-05-16,6.375,6.375,6.3125,6.3125,1100,5.86191
2000-05-17,6.1875,6.3125,6.1875,6.25,1300,5.80387
2000-05-18,6.1875,6.1875,6.1875,6.1875,1900,5.74583
2000-05-19,6.1875,6.1875,6.1875,6.1875,1500,5.74583
2000-05-22,6.1875,6.3125,6.1875,6.3125,1800,5.86191
2000-05-23,6.3125,6.3125,6.3125,6.3125,000,5.86191
2000-05-24,6.1875,6.50,6.125,6.125,6200,5.687
2000-05-25,6.125,6.125,6.125,6.125,2300,5.687
2000-05-26,6.125,6.125,6.125,6.125,1100,5.687
2000-05-30,6.1875,6.1875,6.1875,6.1875,2000,5.74583
2000-05-31,6.25,6.25,6.125,6.125,900,5.687
2000-06-01,6.25,6.25,6.25,6.25,1800,5.80387
2000-06-02,6.50,6.625,6.375,6.375,4300,5.91995
2000-06-05,6.50,6.50,6.25,6.25,8500,5.80387
2000-06-06,6.25,6.375,6.125,6.375,6500,5.91995
2000-06-07,6.625,6.6875,6.5625,6.6875,8400,6.21014
2000-06-08,6.50,6.50,6.375,6.50,2800,6.03603
2000-06-09,6.50,6.50,6.50,6.50,000,6.03603
