Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,10.125,10.25,9.875,10.125,101500,3.03837
2000-01-04,10.00,10.00,9.8125,10.00,86400,3.00086
2000-01-05,9.875,9.875,9.625,9.875,22100,2.96335
2000-01-06,9.9375,9.9375,9.8125,9.875,13200,2.96335
2000-01-07,9.8125,9.8125,9.6875,9.8125,51800,2.94459
2000-01-10,9.8125,9.8125,9.5625,9.75,58600,2.92584
2000-01-11,9.625,9.875,9.625,9.875,59000,2.96335
2000-01-12,9.75,9.75,9.5625,9.6875,56600,2.90708
2000-01-13,9.625,9.75,9.50,9.625,53300,2.8883
2000-01-14,9.75,9.8125,9.6875,9.8125,28000,2.94459
2000-01-18,9.75,9.8125,9.625,9.8125,128100,2.94459
2000-01-19,9.75,9.9375,9.6875,9.9375,67300,2.98210
2000-01-20,10.00,10.0625,9.8125,10.0625,59200,3.01961
2000-01-21,10.0625,10.0625,10.00,10.0625,191600,3.01961
2000-01-24,10.0625,10.0625,9.8125,10.0625,151200,3.01961
2000-01-25,9.9375,10.125,9.875,10.125,25000,3.03837
2000-01-26,10.00,10.0625,10.00,10.0625,62700,3.01961
2000-01-27,9.875,10.00,9.875,10.00,25900,3.02794
2000-01-28,9.9375,10.00,9.75,10.00,23700,3.02794
2000-01-31,9.8125,10.00,9.75,10.00,23000,3.02794
2000-02-01,9.875,10.00,9.875,10.00,11300,3.02794
2000-02-02,10.00,10.00,9.875,10.00,20700,3.02794
2000-02-03,9.9375,10.00,9.8125,10.00,30400,3.02794
2000-02-04,9.8125,10.125,9.8125,10.0625,21900,3.0468
2000-02-07,9.9375,10.00,9.9375,9.9375,5100,3.0090
2000-02-08,9.875,10.00,9.8125,10.00,697700,3.02794
2000-02-09,9.9375,10.00,9.9375,10.00,31200,3.02794
2000-02-10,9.9375,9.9375,9.9375,9.9375,19000,3.0090
2000-02-11,9.9375,9.9375,9.875,9.9375,15200,3.0090
2000-02-14,9.9375,9.9375,9.8125,9.875,32300,2.99009
2000-02-15,9.9375,9.9375,9.8125,9.9375,47000,3.0090
2000-02-16,9.875,9.9375,9.6875,9.9375,51300,3.0090
2000-02-17,9.9375,9.9375,9.8125,9.9375,34400,3.0090
2000-02-18,9.9375,9.9375,9.875,9.9375,15900,3.0090
2000-02-22,9.875,9.875,9.6875,9.8125,80600,2.97117
2000-02-23,9.75,9.75,9.3125,9.625,88600,2.91439
2000-02-24,9.50,9.625,9.375,9.625,57600,2.91439
2000-02-25,9.4375,9.6875,9.4375,9.6875,44800,2.95264
2000-02-28,9.5625,9.75,9.50,9.75,54800,2.97169
2000-02-29,9.75,9.75,9.625,9.75,34000,2.97169
2000-03-01,9.6875,9.6875,9.625,9.6875,32300,2.95264
2000-03-02,9.6875,9.8125,9.6875,9.8125,58500,2.99074
2000-03-03,9.75,9.8125,9.6875,9.8125,36900,2.99074
2000-03-06,9.75,9.8125,9.625,9.75,24800,2.97169
2000-03-07,9.75,9.8125,9.75,9.8125,30000,2.99074
2000-03-08,9.875,9.875,9.75,9.8125,22900,2.99074
2000-03-09,9.8125,9.8125,9.6875,9.8125,48600,2.99074
2000-03-10,9.75,9.8125,9.6875,9.8125,19100,2.99074
2000-03-13,9.75,9.75,9.5625,9.625,108500,2.93359
