Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,55.625,55.6875,53.625,54.9375,7239800,21.77126
2000-01-04,53.9375,55.5625,53.75,54.1875,7963000,21.47404
2000-01-05,54.0625,55.00,53.50,54.0625,4826200,21.42451
2000-01-06,54.375,58.0625,54.0625,57.75,8005000,22.88583
2000-01-07,58.4375,60.0625,58.125,58.8125,7368600,23.30689
2000-01-10,58.75,59.5625,57.875,59.375,5301600,23.52981
2000-01-11,59.5625,60.875,58.4375,60.5625,5525600,24.00040
2000-01-12,60.0625,61.0625,59.0625,59.1875,4767600,23.45550
2000-01-13,59.375,61.50,59.375,60.875,4431000,24.12424
2000-01-14,61.1875,62.375,60.25,61.50,4340400,24.37193
2000-01-18,62.00,66.75,61.75,66.125,10215200,26.20477
2000-01-19,66.00,66.50,65.0625,65.875,6894200,26.10570
2000-01-20,64.8125,65.25,63.25,64.5625,5076800,25.58557
2000-01-21,64.9375,67.625,64.875,66.00,8978600,26.15524
2000-01-24,66.25,66.9375,64.00,64.3125,5464400,25.48650
2000-01-25,63.3125,64.75,62.50,63.50,6135600,25.16451
2000-01-26,64.25,65.00,61.5625,62.875,6799600,24.91683
2000-01-27,62.625,64.50,61.3125,62.50,8198000,24.76822
2000-01-28,62.125,63.25,59.75,60.00,6604200,23.77749
2000-01-31,60.375,61.5625,59.75,61.0625,4803200,24.19855
2000-02-01,61.9375,64.0625,61.75,63.9375,3888400,25.33789
2000-02-02,64.50,65.125,61.25,61.50,6333000,24.37193
2000-02-03,62.00,62.25,60.75,61.3125,4744400,24.29762
2000-02-04,60.75,61.3125,58.75,59.50,6238600,23.57934
2000-02-07,59.125,61.50,59.125,60.6875,4456000,24.04994
2000-02-08,61.125,61.6875,58.75,59.50,3218600,23.57934
2000-02-09,59.50,60.3125,56.9375,57.0625,5931400,22.61338
2000-02-10,58.00,59.625,57.50,59.0625,7112800,23.4059
2000-02-11,59.50,60.1875,58.3125,58.4375,5045000,23.15828
2000-02-14,58.4375,60.50,57.50,60.50,4750600,23.97563
2000-02-15,61.50,65.25,61.3125,65.00,10922200,25.75895
2000-02-16,65.8125,66.375,65.0625,66.00,11507000,26.15524
2000-02-17,65.50,67.6875,64.75,66.875,10306800,26.50199
2000-02-18,67.1875,67.75,65.875,66.50,5774400,26.35338
2000-02-22,65.875,66.75,64.25,65.3125,5059000,25.95617
2000-02-23,64.50,65.125,63.75,64.50,4034800,25.63327
2000-02-24,64.50,68.6875,64.375,68.4375,12022800,27.19809
2000-02-25,68.25,69.25,66.875,67.00,7579800,26.6268
2000-02-28,66.625,70.1875,66.5625,69.25,7540600,27.52099
2000-02-29,70.50,73.875,70.3125,73.859383,9574600,29.35283
2000-03-01,75.8125,82.125,75.00,77.0625,15547800,30.62579
2000-03-02,81.00,84.375,80.625,81.625,19973800,32.43900
2000-03-03,80.875,80.9375,76.50,78.625,12784000,31.2467
2000-03-06,77.75,79.1875,77.1875,77.375,7330800,30.74999
2000-03-07,78.00,84.375,78.00,82.1875,10148000,32.66255
2000-03-08,77.00,78.875,76.0625,77.0625,9460400,30.62579
2000-03-09,76.00,77.3125,74.3125,76.625,7907000,30.4519
2000-03-10,76.25,80.75,76.125,76.6875,6666000,30.47676
2000-03-13,76.00,80.4375,75.5625,77.8125,6680200,30.9238
2000-03-14,76.875,77.6875,74.5625,76.25,6117400,30.30289
2000-03-15,75.375,76.1875,73.375,73.875,5643800,29.35903
2000-03-16,73.625,75.9375,72.1875,75.50,8374600,30.00483
2000-03-17,74.75,76.50,74.1875,74.3125,6825400,29.53290
2000-03-20,74.375,74.375,69.4375,70.25,7996400,27.91840
2000-03-21,70.5625,74.1875,70.5625,72.00,6822000,28.61388
2000-03-22,73.25,78.625,73.00,76.625,8403800,30.4519
2000-03-23,77.50,79.375,75.8125,77.3125,6109800,30.72515
2000-03-24,79.50,80.8125,77.4375,78.1875,6014600,31.07289
2000-03-27,77.25,81.3125,75.8125,79.625,7670200,31.64417
2000-03-28,78.25,80.4375,76.3125,76.875,6372400,30.55128
2000-03-29,75.6875,81.9375,75.5625,81.125,8049400,32.24029
2000-03-30,82.75,83.875,77.75,77.75,6718600,30.89902
