Date,Open,High,Low,Close,Volume,Adj Clos
2011-11-15,14.98,14.98,14.77,14.89,21400,14.75694
2011-11-16,14.78,14.78,14.56,14.60,31300,14.4695
2011-11-17,14.69,14.70,14.26,14.33,8800,14.20195
2011-11-18,14.62,14.62,14.33,14.40,3600,14.27132
2011-11-21,14.10,14.11,13.54,13.65,8300,13.52802
2011-11-22,13.70,13.70,13.32,13.47,36200,13.34963
2011-11-23,13.20,13.20,12.86,12.90,12800,12.7847
2011-11-25,12.94,12.95,12.70,12.70,6300,12.58651
2011-11-28,13.00,13.08,12.80,12.81,5300,12.69553
2011-11-29,12.76,12.96,12.75,12.94,2800,12.82437
2011-11-30,13.14,13.35,13.14,13.35,42900,13.2307
2011-12-01,13.47,13.49,13.37,13.49,16100,13.36945
2011-12-02,13.86,13.95,13.79,13.84,6800,13.71633
2011-12-05,14.09,14.09,13.88,13.88,3800,13.75597
2011-12-06,13.65,13.73,13.65,13.73,5700,13.60731
2011-12-07,13.77,13.79,13.50,13.79,9100,13.66677
2011-12-08,13.55,13.55,13.45,13.45,2500,13.32981
2011-12-09,13.74,13.74,13.47,13.63,5000,13.50820
2011-12-12,13.48,13.48,13.19,13.39,7700,13.27035
2011-12-13,13.59,13.59,13.38,13.38,4000,13.26044
2011-12-14,13.06,13.06,12.90,12.90,1800,12.7847
2011-12-15,13.06,13.06,13.06,13.06,200,12.94330
2011-12-16,12.87,12.95,12.87,12.95,600,12.83428
2011-12-19,12.90,12.90,12.80,12.80,2100,12.68562
2011-12-20,13.12,13.21,13.01,13.20,1600,13.08204
2011-12-21,13.22,13.22,12.83,12.88,1900,12.76490
2011-12-22,12.87,13.10,12.87,13.10,3900,12.98294
2011-12-23,13.14,13.20,13.11,13.11,1200,12.99285
2011-12-27,13.12,13.12,13.12,13.12,1000,13.00276
2011-12-28,13.01,13.01,13.01,13.01,3000,12.89374
2011-12-29,12.90,13.00,12.87,12.95,1900,12.83428
2011-12-30,13.08,13.23,13.08,13.10,300,12.98294
