Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,48.50,48.625,48.125,48.1875,3900,7.94366
2000-01-04,48.4375,49.00,48.125,48.1875,8000,7.94366
2000-01-05,48.125,48.125,47.625,47.625,3600,7.8509
2000-01-06,47.625,48.3125,47.50,48.00,5300,7.91275
2000-01-07,48.375,48.50,48.00,48.375,4100,7.97457
2000-01-10,48.625,48.625,48.00,48.50,2200,7.99518
2000-01-11,48.75,48.75,47.625,47.625,4900,7.8509
2000-01-12,47.50,48.50,47.50,48.125,7500,7.93336
2000-01-13,48.375,48.75,48.25,48.25,3200,7.95397
2000-01-14,48.50,48.9375,48.50,48.50,2100,7.99518
2000-01-18,48.50,50.00,48.50,49.9375,4400,8.23215
2000-01-19,49.6875,49.75,49.00,49.00,3600,8.07760
2000-01-20,49.25,49.50,49.00,49.4375,3100,8.14972
2000-01-21,49.3125,49.3125,49.00,49.00,3600,8.07760
2000-01-24,49.25,49.375,49.00,49.3125,2500,8.12912
2000-01-25,49.0625,50.25,48.9375,50.25,2600,8.28366
2000-01-26,50.00,50.4375,49.75,50.00,6100,8.24245
2000-01-27,49.875,50.50,49.75,49.75,3400,8.20124
2000-01-28,50.25,50.25,49.4375,49.875,4500,8.2218
2000-01-31,49.9375,49.9375,49.6875,49.6875,2900,8.19094
2000-02-01,49.75,49.9375,49.3125,49.75,1700,8.20124
2000-02-02,49.75,49.75,49.50,49.50,1900,8.16003
2000-02-03,49.50,49.9375,49.0625,49.875,3000,8.2218
2000-02-04,49.875,50.125,49.875,49.875,5000,8.2218
2000-02-07,49.9375,49.9375,49.50,49.75,2800,8.20124
2000-02-08,49.50,49.50,49.25,49.50,3600,8.16003
2000-02-09,49.75,50.00,49.0625,49.5625,17400,8.17033
2000-02-10,49.8125,49.8125,49.75,49.75,4800,8.20124
2000-02-11,49.50,49.75,49.125,49.3125,8700,8.12912
2000-02-14,49.50,49.50,49.3125,49.4375,5100,8.14972
2000-02-15,49.6875,50.125,49.3125,50.125,4800,8.26306
2000-02-16,50.00,50.0625,49.50,49.50,2100,8.16003
2000-02-17,49.875,49.875,49.25,49.50,5400,8.16003
2000-02-18,49.25,49.25,49.00,49.00,2000,8.07760
2000-02-22,49.25,49.8125,49.0625,49.8125,7900,8.21154
2000-02-23,48.6875,48.6875,47.875,48.0625,7300,8.10197
2000-02-24,48.1875,48.3125,47.4375,48.3125,3900,8.14411
2000-02-25,48.25,48.4375,48.25,48.3125,1700,8.14411
2000-02-28,48.25,48.25,47.0625,47.50,4400,8.00715
2000-02-29,47.75,49.00,47.50,48.625,5900,8.19679
2000-03-01,48.375,48.75,48.0625,48.0625,5700,8.10197
2000-03-02,48.00,48.25,47.875,48.25,2800,8.13358
2000-03-03,48.125,48.5625,47.6875,47.6875,2500,8.03876
2000-03-06,47.75,48.25,47.5625,48.00,4800,8.0914
2000-03-07,47.75,48.3125,47.125,47.125,7400,7.9439
2000-03-08,47.3125,47.375,46.5625,47.0625,6400,7.93340
2000-03-09,46.8125,47.1875,46.75,46.8125,4800,7.89126
2000-03-10,47.3125,47.75,47.3125,47.50,3400,8.00715
2000-03-13,47.25,47.625,46.75,47.3125,9400,7.97554
2000-03-14,47.75,47.8125,47.25,47.25,12700,7.96501
2000-03-15,47.625,48.25,47.3125,48.25,5700,8.13358
2000-03-16,49.00,49.25,49.00,49.00,11400,8.26001
2000-03-17,48.75,50.50,48.75,50.50,17000,8.51286
2000-03-20,50.00,50.125,49.5625,49.8125,4200,8.39697
2000-03-21,49.125,49.50,49.125,49.50,11700,8.34429
2000-03-22,49.375,50.50,49.375,50.50,2100,8.51286
2000-03-23,50.50,50.50,50.00,50.50,10100,8.51286
2000-03-24,50.625,50.6875,50.00,50.00,2900,8.42858
2000-03-27,49.75,50.1875,49.25,49.3125,3200,8.3126
2000-03-28,49.0625,49.75,48.625,49.1875,4700,8.29161
2000-03-29,49.25,50.1875,49.25,49.50,4500,8.34429
2000-03-30,49.25,49.50,49.00,49.00,2400,8.26001
2000-03-31,49.0625,50.625,49.0625,50.00,6200,8.42858
2000-04-03,49.75,50.125,49.625,49.875,3100,8.40751
2000-04-04,49.6875,49.6875,48.375,49.00,15000,8.26001
2000-04-05,48.50,49.00,48.25,49.00,5900,8.26001
2000-04-06,48.75,49.375,48.75,49.375,2300,8.32322
2000-04-07,49.125,50.00,49.125,49.625,5200,8.36536
2000-04-10,49.375,50.00,49.375,50.00,2800,8.42858
2000-04-11,49.75,49.75,49.00,49.50,2900,8.34429
2000-04-12,49.25,50.50,48.25,48.50,14200,8.17572
2000-04-13,48.4375,49.50,48.375,49.25,6700,8.30215
2000-04-14,48.75,48.75,47.625,47.625,9300,8.02822
2000-04-17,47.50,48.50,47.50,48.00,6500,8.0914
2000-04-18,47.8125,48.50,47.8125,48.375,7500,8.15465
2000-04-19,48.375,48.4375,48.00,48.3125,5100,8.14411
2000-04-20,48.5625,48.5625,48.1875,48.25,2600,8.13358
2000-04-24,48.00,48.50,48.00,48.3125,2700,8.14411
