Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.50,11.5625,11.50,11.50,39300,4.41755
2000-01-04,11.5625,11.625,11.50,11.625,30800,4.46557
2000-01-05,11.5625,11.59375,11.4375,11.50,100700,4.41755
2000-01-06,11.50,11.5625,11.4375,11.50,30600,4.41755
2000-01-07,11.5625,11.6875,11.50,11.6875,48300,4.48958
2000-01-10,11.6875,11.75,11.5625,11.6875,41600,4.48958
2000-01-11,11.625,11.75,11.625,11.625,71600,4.46557
2000-01-12,11.6875,11.6875,11.50,11.50,35100,4.41755
2000-01-13,11.5625,11.625,11.50,11.5625,75200,4.44156
2000-01-14,11.50,11.6875,11.50,11.625,40300,4.46557
2000-01-18,11.5625,11.5625,11.4375,11.4375,31300,4.39354
2000-01-19,11.4375,11.50,11.3125,11.4375,64900,4.39354
2000-01-20,11.375,11.4375,11.375,11.4375,22100,4.39354
2000-01-21,11.375,11.50,11.3125,11.50,57300,4.44241
2000-01-24,11.4375,11.50,11.375,11.375,36700,4.39412
2000-01-25,11.375,11.5625,11.375,11.50,50900,4.44241
2000-01-26,11.5625,11.6875,11.50,11.6875,68100,4.51484
2000-01-27,11.6875,11.75,11.625,11.625,68900,4.49070
2000-01-28,11.5625,11.625,11.5625,11.625,109400,4.49070
2000-01-31,11.625,11.6875,11.625,11.6875,36000,4.51484
2000-02-01,11.75,11.75,11.6875,11.75,30400,4.5389
2000-02-02,11.75,11.875,11.625,11.875,111100,4.58727
2000-02-03,11.875,12.00,11.8125,11.9375,47900,4.61142
2000-02-04,11.9375,12.0625,11.9375,11.9375,36500,4.61142
2000-02-07,11.9375,12.00,11.8125,11.875,76900,4.58727
2000-02-08,11.875,11.9375,11.875,11.9375,19600,4.61142
2000-02-09,11.9375,12.00,11.9375,12.00,47000,4.63556
2000-02-10,11.9375,12.0625,11.9375,12.00,13600,4.63556
2000-02-11,11.9375,12.0625,11.9375,12.0625,36000,4.65970
2000-02-14,12.0625,12.0625,11.9375,12.0625,34500,4.65970
2000-02-15,12.00,12.0625,11.9375,11.9375,26500,4.61142
2000-02-16,12.00,12.00,11.875,11.875,14900,4.58727
2000-02-17,11.8125,11.8125,11.75,11.75,52800,4.56358
2000-02-18,11.75,11.875,11.75,11.8125,15000,4.5878
2000-02-22,11.875,11.875,11.8125,11.875,22000,4.61213
2000-02-23,11.875,11.875,11.8125,11.875,34900,4.61213
2000-02-24,11.8125,11.875,11.8125,11.875,17200,4.61213
2000-02-25,11.8125,11.9375,11.8125,11.875,21300,4.61213
2000-02-28,11.875,11.9375,11.875,11.875,69400,4.61213
2000-02-29,11.9375,11.9375,11.875,11.875,5500,4.61213
2000-03-01,11.9375,11.9375,11.875,11.875,23800,4.61213
2000-03-02,11.875,11.9375,11.875,11.9375,13200,4.63640
2000-03-03,11.9375,11.9375,11.875,11.875,15800,4.61213
2000-03-06,11.875,11.9375,11.8125,11.875,25800,4.61213
2000-03-07,11.8125,11.875,11.8125,11.8125,31300,4.5878
2000-03-08,11.875,11.875,11.8125,11.8125,23000,4.5878
2000-03-09,11.875,11.875,11.8125,11.8125,14900,4.5878
2000-03-10,11.8125,11.875,11.8125,11.8125,28100,4.5878
2000-03-13,11.875,11.875,11.8125,11.8125,20500,4.5878
2000-03-14,11.875,11.875,11.8125,11.8125,31800,4.5878
2000-03-15,11.8125,11.875,11.8125,11.8125,18100,4.5878
2000-03-16,11.75,11.875,11.75,11.8125,8000,4.61285
2000-03-17,11.75,11.8125,11.75,11.8125,6000,4.61285
2000-03-20,11.75,11.875,11.75,11.8125,7800,4.61285
2000-03-21,11.875,11.9375,11.8125,11.875,52300,4.63725
2000-03-22,11.8125,11.875,11.8125,11.8125,19400,4.61285
2000-03-23,11.875,11.9375,11.875,11.9375,28500,4.66166
2000-03-24,11.875,11.875,11.75,11.875,33200,4.63725
2000-03-27,11.8125,11.875,11.8125,11.875,13100,4.63725
2000-03-28,11.9375,11.9375,11.875,11.9375,34500,4.66166
2000-03-29,11.9375,12.00,11.875,11.9375,59000,4.66166
2000-03-30,11.9375,12.00,11.875,11.9375,30500,4.66166
2000-03-31,12.00,12.00,11.9375,12.00,22800,4.68607
