Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,17.4375,17.625,17.1875,17.4375,40300,4.62992
2000-01-04,17.50,17.50,17.25,17.4375,33000,4.62992
2000-01-05,17.4375,17.625,17.3125,17.50,40800,4.64652
2000-01-06,17.50,18.00,17.50,18.00,49800,4.77928
2000-01-07,18.625,19.0625,18.625,18.9375,100700,5.02820
2000-01-10,19.00,19.25,18.625,19.0625,72700,5.06139
2000-01-11,19.1875,19.1875,18.75,18.875,18800,5.01160
2000-01-12,18.9375,19.125,18.75,18.75,36100,4.97841
2000-01-13,18.625,19.00,18.50,18.9375,55300,5.02820
2000-01-14,19.00,19.125,18.875,18.9375,22300,5.02820
2000-01-18,18.875,18.9375,18.6875,18.75,55200,4.97841
2000-01-19,18.9375,19.1875,18.8125,19.0625,41400,5.06139
2000-01-20,19.00,19.125,18.75,19.0625,44000,5.06139
2000-01-21,19.125,19.25,18.875,19.25,41700,5.11117
2000-01-24,19.25,19.75,19.25,19.5625,80200,5.19414
2000-01-25,19.625,19.625,19.25,19.375,38300,5.14436
2000-01-26,18.75,18.75,18.3125,18.50,50600,5.04215
2000-01-27,18.75,18.9375,18.375,18.625,29000,5.07622
2000-01-28,18.625,19.25,18.625,18.875,37700,5.14436
2000-01-31,18.8125,18.875,18.25,18.375,49100,5.00809
2000-02-01,18.50,18.75,18.25,18.4375,48800,5.02512
2000-02-02,18.4375,18.6875,17.8125,18.50,85300,5.04215
2000-02-03,19.00,19.25,18.8125,19.1875,153400,5.22953
2000-02-04,19.0625,19.75,19.0625,19.625,114700,5.34877
2000-02-07,19.875,19.9375,19.5625,19.875,80900,5.41691
2000-02-08,19.875,19.875,19.625,19.6875,59600,5.36581
2000-02-09,19.8125,19.875,19.625,19.8125,74400,5.3998
2000-02-10,19.6875,19.75,19.50,19.50,34600,5.31470
2000-02-11,19.375,19.625,19.25,19.375,46900,5.2806
2000-02-14,19.4375,19.75,19.1875,19.25,64200,5.24657
2000-02-15,19.25,19.50,19.1875,19.25,35700,5.24657
2000-02-16,19.50,19.875,19.375,19.5625,60700,5.33174
2000-02-17,19.5625,19.875,19.4375,19.6875,46100,5.36581
2000-02-18,19.6875,19.75,19.4375,19.5625,30200,5.33174
2000-02-22,19.375,19.75,19.25,19.4375,51200,5.29767
2000-02-23,19.25,19.875,19.25,19.8125,57000,5.3998
2000-02-24,19.75,19.875,19.375,19.6875,54400,5.36581
2000-02-25,19.6875,19.6875,19.25,19.625,27600,5.34877
2000-02-28,19.50,19.875,19.375,19.875,35100,5.41691
2000-02-29,19.8125,20.00,19.8125,19.875,70500,5.41691
2000-03-01,19.875,19.9375,19.6875,19.75,38200,5.38284
2000-03-02,19.625,19.75,19.5625,19.75,25700,5.38284
