Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.26,14.938,14.064,14.25,895800,7.12
2000-01-04,14.00,14.064,13.25,13.688,494000,6.84
2000-01-05,13.64,14.50,13.626,14.314,458600,7.15
2000-01-06,14.18,14.438,13.876,14.00,778800,7.0
2000-01-07,13.94,14.25,13.876,13.938,368000,6.96
2000-01-10,14.26,14.314,13.876,14.00,453200,7.0
2000-01-11,14.02,14.314,13.876,13.938,291400,6.96
2000-01-12,13.98,14.00,13.564,13.564,281200,6.78
2000-01-13,13.64,13.75,13.00,13.75,543000,6.87
2000-01-14,13.76,14.00,13.25,13.938,240000,6.96
2000-01-18,13.82,14.25,13.376,14.188,519400,7.09
2000-01-19,14.18,14.376,14.126,14.188,130200,7.09
2000-01-20,14.38,15.25,14.126,15.126,537800,7.56
2000-01-21,15.26,15.314,14.626,14.814,449800,7.40
2000-01-24,14.94,15.00,14.00,14.314,399200,7.15
2000-01-25,14.26,14.50,14.00,14.25,109400,7.12
2000-01-26,14.26,14.376,14.126,14.314,126600,7.15
2000-01-27,14.26,14.344,13.814,14.00,222200,7.0
2000-01-28,14.14,14.50,13.50,13.75,247000,6.87
2000-01-31,13.76,14.00,13.064,13.25,394200,6.62
2000-02-01,13.376,13.376,13.00,13.126,193800,6.56
2000-02-02,13.00,13.438,13.00,13.376,226400,6.68
2000-02-03,13.188,13.814,13.188,13.688,136000,6.84
2000-02-04,13.64,14.00,13.50,13.938,177600,6.96
2000-02-07,13.88,14.376,13.876,14.25,173600,7.12
2000-02-08,14.28,14.376,14.00,14.00,102400,7.0
2000-02-09,14.06,14.25,13.75,13.814,125800,6.90
2000-02-10,13.76,13.938,13.376,13.814,263600,6.90
2000-02-11,13.50,13.876,13.50,13.75,152600,6.87
2000-02-14,13.50,13.75,13.25,13.564,179000,6.78
2000-02-15,13.38,13.75,13.25,13.626,129400,6.81
2000-02-16,13.16,13.75,13.126,13.688,155800,6.84
2000-02-17,13.68,14.314,13.626,14.25,507000,7.12
2000-02-18,14.00,14.25,14.00,14.00,456600,7.0
2000-02-22,13.98,14.00,13.25,13.376,169400,6.68
2000-02-23,13.38,13.50,12.50,12.626,288800,6.31
2000-02-24,12.94,13.00,12.25,12.376,488800,6.18
2000-02-25,12.38,12.626,12.126,12.438,161200,6.21
2000-02-28,12.32,12.75,12.25,12.564,314600,6.28
2000-02-29,12.38,13.876,12.376,12.626,413800,6.31
2000-03-01,12.60,12.75,12.314,12.376,215400,6.18
2000-03-02,12.32,12.75,12.25,12.376,236600,6.18
2000-03-03,12.50,12.50,12.00,12.25,469200,6.12
2000-03-06,12.064,12.376,12.064,12.25,344400,6.12
2000-03-07,12.38,12.626,12.25,12.626,393600,6.31
2000-03-08,12.52,14.126,12.438,13.50,2449800,6.7
2000-03-09,14.14,15.75,14.00,15.50,2291200,7.7
2000-03-10,15.56,15.75,15.25,15.564,1619000,7.78
2000-03-13,15.50,15.626,14.50,14.564,1389200,7.28
2000-03-14,14.48,14.626,14.376,14.50,539600,7.2
2000-03-15,14.44,14.50,14.314,14.344,152800,7.17
2000-03-16,14.32,14.376,14.126,14.314,401600,7.15
2000-03-17,14.14,14.25,13.188,13.626,599600,6.81
2000-03-20,13.50,13.688,13.314,13.50,202400,6.7
2000-03-21,13.47,13.47,13.00,13.064,118400,6.53
2000-03-22,13.00,13.50,12.50,12.688,507600,6.34
2000-03-23,12.64,13.626,12.626,12.876,455400,6.43
2000-03-24,13.00,13.126,12.188,12.564,1361800,6.28
2000-03-27,12.56,12.626,12.00,12.438,1855400,6.21
2000-03-28,12.48,12.50,12.126,12.314,1062400,6.15
2000-03-29,12.38,12.75,12.25,12.376,1562200,6.18
2000-03-30,12.44,12.688,12.126,12.564,2081400,6.28
2000-03-31,12.76,13.376,12.564,13.25,1435000,6.62
2000-04-03,13.18,14.50,13.00,13.564,945400,6.78
2000-04-04,13.88,13.938,13.25,13.438,358200,6.71
2000-04-05,13.44,13.75,13.25,13.626,422000,6.81
2000-04-06,13.76,14.188,13.626,13.938,810400,6.96
2000-04-07,14.00,14.25,14.00,14.00,635600,7.0
2000-04-10,14.14,14.25,13.938,13.938,508200,6.96
2000-04-11,13.88,14.00,13.626,13.876,157600,6.93
2000-04-12,13.90,14.00,13.75,14.00,245200,7.0
2000-04-13,13.94,14.00,13.876,13.876,402600,6.93
2000-04-14,13.82,14.064,13.376,13.438,639000,6.71
2000-04-17,13.26,13.376,13.00,13.126,299600,6.56
