Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,159.999985,160.937485,153.00,155.187515,1856400,33.932
2000-01-04,150.00,151.749985,144.624985,145.50,1470600,31.81446
2000-01-05,140.750015,140.937515,130.50,137.375015,4674000,30.03788
2000-01-06,133.749985,135.00,122.000015,126.312515,4291500,27.61900
2000-01-07,125.25,132.00,125.25,131.124985,2491200,28.67128
2000-01-10,138.75,144.00,137.750015,143.625,1276800,31.40448
2000-01-11,141.375,144.875015,138.624985,139.749985,1582500,30.5571
2000-01-12,143.499985,145.437515,140.750015,143.000015,1187400,31.26782
2000-01-13,146.25,146.625,144.375,146.4375,1756800,32.01945
2000-01-14,151.50,155.000015,151.125,153.875015,1702500,33.64571
2000-01-18,154.625015,158.499985,154.437515,155.124985,949800,33.91902
2000-01-19,153.375,155.499985,152.000015,154.812515,1080000,33.85070
2000-01-20,165.00,169.812515,163.562485,167.687485,2167200,36.66589
2000-01-21,171.999985,171.999985,166.437515,167.499985,1510500,36.62489
2000-01-24,173.000015,174.00,162.999985,165.75,1718700,36.24225
2000-01-25,167.625,171.500015,161.124985,170.937515,2193000,37.37653
2000-01-26,171.1875,171.1875,161.000015,162.00,1592700,35.42229
2000-01-27,164.562515,168.062485,161.750015,165.00,1930800,36.0782
2000-01-28,168.00,171.00,162.812485,163.875,2268000,35.83227
2000-01-31,164.124985,168.375,158.25,168.375,1808100,36.81622
2000-02-01,168.500015,178.374985,165.999985,175.250015,2572800,38.31948
2000-02-02,175.062515,177.875015,172.062515,176.562515,2444400,38.60647
2000-02-03,183.875015,196.50,183.1875,193.125,2716200,42.22796
2000-02-04,202.50,212.25,200.499985,206.312485,3096300,45.11148
2000-02-07,208.50,210.249985,201.249985,204.875015,1663500,44.79717
2000-02-08,219.00,221.625,215.000015,216.999985,3805500,47.44837
2000-02-09,218.499985,219.999985,209.124985,209.187515,2617800,45.74013
2000-02-10,212.499985,218.25,210.500015,215.124985,1564200,47.03839
2000-02-11,212.124985,212.750015,202.125,206.000015,913800,45.04316
2000-02-14,206.000015,210.00,204.500015,207.999985,876000,45.4804
2000-02-15,204.00,208.937485,198.500015,208.437515,1330800,45.57613
2000-02-16,195.00,196.937485,186.999985,192.999985,3159000,42.20062
2000-02-17,197.000015,197.25,182.124985,185.625,3728100,40.58804
2000-02-18,192.875015,192.9375,186.062485,186.125015,1771500,40.69737
2000-02-22,197.124985,202.749985,194.499985,200.000015,2703600,43.73122
2000-02-23,201.00,205.250015,198.00,204.062485,1313700,44.61951
2000-02-24,202.50,204.00,197.499985,203.562515,1116900,44.5101
2000-02-25,202.50,204.00,200.000015,200.562515,712200,43.85422
2000-02-28,197.000015,204.875015,193.50,204.875015,1297800,44.79717
2000-02-29,203.000015,203.375015,195.375,200.000015,2098500,43.73122
2000-03-01,201.00,201.812485,194.000015,197.750015,2440200,43.23925
2000-03-02,203.000015,204.9375,199.625015,200.25,1496100,43.78588
2000-03-03,211.749985,212.937515,208.3125,212.937515,1504500,46.56009
2000-03-06,212.937515,214.50,208.125,209.000015,1332600,45.69913
2000-03-07,208.749985,208.812515,196.749985,197.25,1298400,43.1299
2000-03-08,211.875,211.875,204.500015,208.625015,2363700,45.61713
2000-03-09,209.000015,218.874985,207.00,218.499985,1692600,47.77635
2000-03-10,212.499985,216.00,207.75,208.875,1424700,45.67179
2000-03-13,201.500015,209.000015,200.625,204.999985,881700,44.82450
2000-03-14,208.50,210.00,192.00,192.249985,1508400,42.03663
2000-03-15,192.00,192.00,178.50,179.750015,2456100,39.30344
2000-03-16,183.999985,186.00,173.499985,185.000015,2963100,40.45138
2000-03-17,172.125,183.249985,172.125,182.000015,2325000,39.79541
2000-03-20,193.749985,197.25,189.249985,191.187515,1693200,41.80432
2000-03-21,192.624985,204.00,186.00,201.500015,2397900,44.05921
2000-03-22,192.999985,198.999985,189.249985,197.874985,2413200,43.26657
2000-03-23,193.937485,195.249985,186.375,190.50,2365800,41.65399
2000-03-24,195.00,201.375,194.499985,198.500015,1305000,43.40324
2000-03-27,201.500015,203.625,200.124985,200.874985,617100,43.92254
2000-03-28,207.00,207.500015,198.999985,199.50,1736100,43.62189
2000-03-29,200.000015,201.75,185.499985,186.00,1660200,40.67003
2000-03-30,180.999985,182.874985,171.00,175.250015,2099100,38.31948
2000-03-31,183.125015,191.562515,176.124985,187.187485,1566600,40.9296
2000-04-03,178.125,179.000015,165.1875,167.25,2105700,36.57023
2000-04-04,171.875015,171.875015,140.625,164.000015,4124700,35.85960
2000-04-05,164.000015,180.999985,155.000015,175.50,4568100,38.3741
2000-04-06,180.999985,186.75,180.00,185.499985,1544100,40.56070
