Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,22.11269,22.81945,21.80904,22.11269,197500,8.3194
2000-01-04,21.00082,22.11269,20.69826,21.00082,330000,7.9011
2000-01-05,20.3957,20.90154,19.78949,20.3957,512900,7.6735
2000-01-06,20.64871,20.90154,20.19369,20.64871,250700,7.768
2000-01-07,21.35529,21.80904,20.85072,21.35529,265800,8.0345
2000-01-10,21.96023,22.16351,21.60703,21.96023,169100,8.2621
2000-01-11,21.70867,22.31488,21.50775,21.70867,262600,8.1674
2000-01-12,21.80904,22.01105,21.40611,21.80904,194300,8.2052
2000-01-13,23.37357,23.42439,21.80904,23.37357,372000,8.7938
2000-01-14,24.53644,24.83882,23.12183,24.53644,450000,9.2313
2000-01-18,23.82859,25.04101,23.52603,23.82859,182900,8.9650
2000-01-19,23.62767,24.4348,23.42439,23.62767,205300,8.8894
2000-01-20,22.21324,23.72804,21.96023,22.21324,345100,8.3573
2000-01-21,21.50775,22.26406,21.2041,21.50775,384200,8.0918
2000-01-24,20.24578,21.50775,20.19369,20.24578,398300,7.617
2000-01-25,20.54707,21.10246,20.19369,20.54707,301500,7.7304
2000-01-26,20.69826,21.00082,20.54707,20.69826,223100,7.7873
2000-01-27,22.21324,22.71781,21.75949,22.21324,401500,8.3573
2000-01-28,20.75035,21.90941,20.59789,20.75035,161500,7.8069
2000-01-31,21.00082,21.25365,20.75035,21.00082,142600,7.9011
2000-02-01,21.30447,21.30447,20.69826,21.30447,95000,8.0154
2000-02-02,22.81945,23.32402,21.15328,22.81945,374300,8.585
2000-02-03,23.37357,23.52603,22.51562,23.37357,266700,8.7938
2000-02-04,24.18179,24.23261,23.22238,24.18179,310000,9.0979
2000-02-07,24.73718,24.73718,23.72804,24.73718,198600,9.3069
2000-02-08,25.79841,25.84796,24.53644,25.79841,490700,9.7061
2000-02-09,26.00042,26.20134,25.44394,26.00042,389800,9.7821
2000-02-10,25.64595,26.00042,24.788,25.64595,132500,9.6488
2000-02-11,25.69677,25.9496,25.49476,25.69677,108500,9.6679
2000-02-14,27.86878,27.9196,25.54431,27.86878,327100,10.4851
2000-02-15,28.77628,28.87665,26.95874,28.77628,390700,10.8265
2000-02-16,29.1803,30.03952,28.27044,29.1803,361900,10.9785
2000-02-17,33.1056,33.31977,29.58323,33.06803,703300,12.4412
2000-02-18,31.04866,33.11885,30.69528,31.04866,533600,11.6814
2000-02-22,29.28194,30.69528,28.17116,29.28194,743000,11.0167
2000-02-23,31.40186,32.10862,29.53368,31.40186,451400,11.8143
2000-02-24,32.31063,32.66401,30.29108,32.31063,426600,12.1562
2000-02-25,32.00698,32.51264,31.09821,32.00698,204000,12.0420
2000-02-28,32.00698,32.31063,31.40186,32.00698,194100,12.0420
2000-02-29,37.05014,37.15668,32.91557,37.05631,711800,13.9417
2000-03-01,37.2075,39.07459,35.74334,37.2075,620800,13.9986
2000-03-02,34.63256,37.71207,34.33018,34.63256,339200,13.0298
2000-03-03,33.21813,35.43969,33.21813,33.21813,261300,12.4977
2000-03-06,35.08758,35.13713,33.21813,35.08758,285800,13.2010
2000-03-07,34.53219,35.6417,33.42141,34.53219,224900,12.992
2000-03-08,35.13713,35.2885,34.33018,35.13713,231400,13.219
2000-03-09,35.69252,35.89471,32.8152,35.69252,223500,13.4286
2000-03-10,36.85303,37.45924,34.63256,36.85303,374700,13.8652
2000-03-13,35.49178,36.0459,34.43055,35.49178,241700,13.4059
2000-03-14,34.53219,35.74334,33.31977,34.53219,258600,13.0434
