Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,20.50,20.50,19.375,19.6875,84400,12.88810
2000-01-04,19.6875,19.6875,19.00,19.0625,102700,12.47895
2000-01-05,19.00,20.25,19.00,19.9375,115400,13.05176
2000-01-06,19.9375,20.00,19.375,19.4375,94900,12.72444
2000-01-07,19.4375,19.75,19.125,19.375,119100,12.68352
2000-01-10,19.50,19.75,19.00,19.0625,125600,12.47895
2000-01-11,19.0625,19.1875,18.8125,19.00,209700,12.43804
2000-01-12,19.00,19.0625,18.875,18.875,120400,12.35621
2000-01-13,19.125,19.4375,19.00,19.3125,104500,12.64261
2000-01-14,19.25,19.25,18.50,18.50,251200,12.11072
2000-01-18,18.50,18.5625,18.1875,18.50,92000,12.11072
2000-01-19,18.3125,18.4375,18.00,18.3125,166300,11.98798
2000-01-20,18.3125,18.75,18.1875,18.75,144000,12.27438
2000-01-21,18.625,18.75,17.125,17.9375,393100,11.74249
2000-01-24,17.9375,18.25,17.4375,17.5625,256300,11.49700
2000-01-25,17.5625,18.50,17.50,18.125,255400,11.86523
2000-01-26,18.375,18.375,17.3125,17.50,170900,11.45609
2000-01-27,17.625,17.8125,17.3125,17.4375,90900,11.41517
2000-01-28,17.50,18.25,17.125,17.3125,224000,11.33334
2000-01-31,17.5625,19.00,17.5625,18.375,344100,12.02889
2000-02-01,18.375,18.375,17.5625,18.0625,132100,11.82432
2000-02-02,18.00,18.125,17.75,17.875,234200,11.70157
2000-02-03,18.125,18.625,18.0625,18.4375,147700,12.0698
2000-02-04,18.1875,18.75,18.1875,18.50,101800,12.19872
2000-02-07,18.375,18.375,17.875,18.125,58000,11.9514
2000-02-08,18.125,18.4375,18.00,18.0625,52300,11.91023
2000-02-09,18.125,18.3125,18.00,18.00,158800,11.86902
2000-02-10,18.00,19.9375,18.00,19.0625,394900,12.56962
2000-02-11,18.9375,19.3125,18.4375,18.5625,360400,12.23993
2000-02-14,18.6875,19.00,18.50,18.8125,100500,12.40478
2000-02-15,18.9375,19.75,18.875,19.375,192000,12.77568
2000-02-16,19.375,19.4375,18.875,19.0625,65600,12.56962
2000-02-17,19.3125,19.5625,19.125,19.5625,181900,12.89932
2000-02-18,19.625,19.625,19.0625,19.3125,99900,12.73447
2000-02-22,19.4375,19.4375,19.00,19.375,104900,12.77568
2000-02-23,19.375,19.375,18.625,18.6875,169000,12.32235
2000-02-24,18.4375,18.50,18.25,18.50,142700,12.19872
2000-02-25,18.50,18.8125,18.4375,18.8125,140000,12.40478
2000-02-28,18.8125,18.8125,17.9375,18.125,157000,11.9514
2000-02-29,18.25,18.4375,18.00,18.0625,91200,11.91023
2000-03-01,18.0625,19.00,18.0625,19.00,199600,12.52841
2000-03-02,18.875,19.00,18.1875,18.4375,87800,12.15750
2000-03-03,18.625,18.6875,17.875,17.875,223100,11.78660
2000-03-06,18.50,18.50,17.9375,17.9375,103800,11.82781
2000-03-07,17.9375,18.1875,17.9375,18.0625,127700,11.91023
2000-03-08,18.0625,18.125,17.9375,18.00,108800,11.86902
2000-03-09,18.125,18.125,17.75,17.75,74600,11.70417
2000-03-10,17.75,17.8125,17.125,17.125,227800,11.29205
2000-03-13,17.00,17.8125,17.00,17.25,114600,11.37448
2000-03-14,17.25,17.5625,17.1875,17.25,89000,11.37448
2000-03-15,17.125,18.0625,17.0625,18.0625,282100,11.91023
2000-03-16,18.0625,19.50,18.0625,19.1875,142600,12.65205
2000-03-17,18.4375,19.00,18.4375,18.5625,176000,12.23993
2000-03-20,18.3125,18.9375,18.3125,18.5625,94100,12.23993
2000-03-21,18.625,18.9375,18.50,18.9375,98800,12.48720
2000-03-22,19.00,19.25,18.5625,19.00,260700,12.52841
2000-03-23,19.00,19.25,19.00,19.0625,245400,12.56962
2000-03-24,18.9375,19.00,18.4375,18.50,360000,12.19872
2000-03-27,18.3125,18.9375,18.3125,18.875,111600,12.44599
2000-03-28,18.875,19.25,18.8125,19.00,168800,12.52841
2000-03-29,19.0625,19.25,19.0625,19.125,98200,12.6108
2000-03-30,19.1875,20.125,19.1875,20.00,219800,13.18780
2000-03-31,20.00,21.375,19.75,21.375,279500,14.09446
2000-04-03,21.25,21.25,20.25,20.4375,122300,13.4762
2000-04-04,20.5625,20.875,19.50,20.3125,161800,13.39386
2000-04-05,20.4375,20.5625,19.75,20.3125,86800,13.39386
2000-04-06,20.25,20.375,19.4375,19.4375,133000,12.816
2000-04-07,19.50,19.50,18.875,19.00,221900,12.52841
2000-04-10,19.0625,19.0625,18.875,18.9375,117700,12.48720
2000-04-11,18.9375,19.25,18.625,19.125,375700,12.6108
2000-04-12,19.125,19.50,19.00,19.1875,129700,12.65205
2000-04-13,19.25,19.8125,19.25,19.625,67500,12.94053
2000-04-14,19.4375,19.50,18.5625,18.8125,146100,12.40478
2000-04-17,18.9375,19.3125,18.125,19.1875,115700,12.65205
2000-04-18,19.375,19.6875,18.75,19.5625,169200,12.89932
2000-04-19,19.8125,19.8125,18.6875,18.8125,328400,12.40478
2000-04-20,17.125,17.8125,17.125,17.6875,325400,11.66296
2000-04-24,17.50,17.50,17.125,17.25,236200,11.37448
2000-04-25,17.4375,17.9375,17.00,17.4375,224700,11.49811
2000-04-26,17.0625,17.4375,16.8125,17.25,420200,11.37448
2000-04-27,16.50,17.0625,16.50,16.875,238800,11.12721
2000-04-28,16.8125,16.9375,16.4375,16.4375,224700,10.83872
2000-05-01,16.1875,16.5625,16.00,16.375,390900,10.79751
2000-05-02,16.1875,16.75,16.1875,16.4375,106900,10.83872
2000-05-03,16.6875,17.125,16.375,16.625,155500,10.96236
2000-05-04,16.625,17.1875,16.625,16.8125,163300,11.17540
2000-05-05,16.75,16.875,16.0625,16.1875,168500,10.75996
2000-05-08,16.3125,17.00,16.3125,16.50,324300,10.96768
2000-05-09,16.625,16.8125,16.00,16.125,535000,10.71841
2000-05-10,16.125,16.375,16.00,16.0625,144600,10.67687
2000-05-11,16.1875,16.50,16.0625,16.25,189200,10.80150
2000-05-12,16.25,16.375,16.00,16.3125,165100,10.8430
2000-05-15,16.1875,16.50,16.125,16.375,74400,10.88459
2000-05-16,16.4375,16.6875,16.0625,16.5625,204900,11.00922
2000-05-17,16.4375,16.4375,16.1875,16.25,80800,10.80150
2000-05-18,16.1875,16.625,16.125,16.375,211200,10.88459
2000-05-19,16.3125,16.75,16.0625,16.3125,243100,10.8430
2000-05-22,16.50,16.625,16.1875,16.4375,278300,10.92613
2000-05-23,16.4375,17.0625,16.1875,16.25,165000,10.80150
2000-05-24,16.1875,17.0625,16.125,16.875,297300,11.21694
2000-05-25,16.9375,17.75,16.875,17.50,341700,11.6323
2000-05-26,17.6875,18.125,17.625,17.9375,190600,11.923
2000-05-30,18.00,18.4375,17.375,18.125,306000,12.04783
2000-05-31,18.00,18.00,17.25,17.25,268200,11.46621
2000-06-01,17.6875,18.00,17.50,17.9375,124200,11.923
2000-06-02,18.00,18.00,17.625,17.6875,138100,11.75702
2000-06-05,17.625,17.9375,17.3125,17.3125,185300,11.50775
2000-06-06,17.25,17.4375,17.00,17.375,154300,11.54930
2000-06-07,17.375,18.00,17.375,17.6875,427200,11.75702
2000-06-08,17.6875,17.75,17.3125,17.625,60800,11.71547
2000-06-09,17.6875,17.6875,17.1875,17.4375,151100,11.59084
2000-06-12,17.25,17.5625,17.1875,17.50,141200,11.6323
2000-06-13,17.4375,18.125,17.3125,18.0625,256700,12.00628
2000-06-14,18.125,18.3125,17.1875,17.4375,97900,11.59084
2000-06-15,17.4375,17.625,17.25,17.4375,400800,11.59084
2000-06-16,17.4375,17.75,17.1875,17.375,362400,11.54930
2000-06-19,17.375,17.50,17.25,17.50,143900,11.6323
2000-06-20,17.375,17.50,17.1875,17.375,326800,11.54930
2000-06-21,17.3125,17.4375,17.00,17.00,323800,11.30003
2000-06-22,17.1875,18.4375,17.00,18.25,448000,12.13092
2000-06-23,18.125,20.25,18.00,19.0625,532700,12.67099
2000-06-26,19.0625,20.50,19.0625,20.0625,396800,13.33570
2000-06-27,20.00,20.1875,19.50,19.5625,265800,13.00335
2000-06-28,19.4375,19.4375,19.125,19.25,279500,12.79562
2000-06-29,19.125,19.6875,19.125,19.5625,99200,13.00335
2000-06-30,19.4375,19.4375,18.3125,18.50,370800,12.29709
2000-07-03,18.75,19.00,18.75,19.00,49500,12.62945
2000-07-05,19.1875,19.875,19.00,19.625,226000,13.04489
2000-07-06,19.375,20.00,18.875,19.50,348500,12.96180
2000-07-07,19.50,19.875,19.375,19.4375,416400,12.92026
2000-07-10,19.3125,19.9375,19.3125,19.50,145200,12.96180
2000-07-11,19.625,19.625,19.25,19.375,97200,12.87871
2000-07-12,19.375,19.6875,19.3125,19.625,159500,13.04489
2000-07-13,19.4375,19.65625,19.4375,19.5625,73500,13.00335
2000-07-14,19.50,19.625,19.3125,19.3125,323200,12.83717
2000-07-17,19.3125,19.50,19.25,19.50,157900,12.96180
2000-07-18,19.3125,19.9375,19.3125,19.8125,119100,13.16952
2000-07-19,19.625,20.1875,19.625,20.00,123100,13.2941
2000-07-20,19.875,19.875,19.6875,19.75,100500,13.12798
2000-07-21,19.625,19.875,19.25,19.3125,103900,12.83717
2000-07-24,19.3125,19.3125,19.0625,19.125,179700,12.71254
2000-07-25,19.0625,19.75,19.0625,19.375,133900,12.87871
2000-07-26,19.1875,19.1875,18.625,19.1875,465500,12.75408
2000-07-27,19.1875,19.6875,19.125,19.375,276200,12.87871
2000-07-28,19.375,19.625,19.0625,19.5625,169000,13.00335
2000-07-31,19.375,19.6875,19.0625,19.50,236800,12.96180
2000-08-01,19.25,19.375,19.0625,19.375,232700,12.87871
2000-08-02,19.1875,19.625,19.0625,19.4375,147700,12.92026
2000-08-03,19.375,19.875,19.125,19.6875,197900,13.17659
2000-08-04,19.5625,19.6875,19.25,19.3125,196600,12.92561
2000-08-07,19.25,19.375,19.15625,19.3125,153100,12.92561
2000-08-08,19.25,19.3125,19.125,19.125,175100,12.80012
2000-08-09,19.1875,21.00,19.0625,20.6875,598400,13.84588
2000-08-10,20.75,21.1875,20.50,20.50,784600,13.72039
2000-08-11,20.5625,21.00,20.125,21.00,259900,14.05503
2000-08-14,20.875,21.00,20.625,20.875,129700,13.97137
2000-08-15,20.75,21.50,20.6875,21.0625,147200,14.09686
2000-08-16,20.875,21.125,20.625,20.75,60900,13.88771
2000-08-17,20.9375,20.9375,20.375,20.4375,91900,13.67856
2000-08-18,20.625,20.75,20.25,20.375,57700,13.63673
2000-08-21,20.25,20.4375,20.00,20.0625,219300,13.42758
2000-08-22,20.1875,20.625,20.1875,20.5625,212100,13.76222
2000-08-23,20.5625,20.5625,20.0625,20.5625,129800,13.76222
2000-08-24,20.5625,20.5625,19.75,20.00,192100,13.38575
2000-08-25,20.00,20.3125,19.875,20.3125,142200,13.59490
2000-08-28,20.3125,20.375,20.1875,20.25,115500,13.55307
2000-08-29,20.0625,20.9375,20.0625,20.3125,251200,13.59490
2000-08-30,20.4375,20.6875,20.375,20.4375,114500,13.67856
2000-08-31,20.25,20.6875,20.25,20.50,136800,13.72039
2000-09-01,20.625,20.625,20.3125,20.4375,105600,13.67856
2000-09-05,20.4375,20.9375,20.4375,20.875,200900,13.97137
2000-09-06,20.875,21.25,20.4375,21.25,274400,14.22236
2000-09-07,21.125,21.6875,21.0625,21.6875,98300,14.51517
2000-09-08,21.5625,21.75,21.375,21.50,237300,14.38968
2000-09-11,21.25,21.375,21.00,21.125,151800,14.138
2000-09-12,21.25,21.375,21.0625,21.0625,101000,14.09686
2000-09-13,21.125,21.125,20.875,20.9375,185200,14.01320
2000-09-14,20.8125,20.9375,20.50,20.6875,115100,13.84588
2000-09-15,20.5625,20.9375,20.5625,20.8125,202100,13.92954
2000-09-18,20.8125,20.8125,20.25,20.3125,62300,13.59490
2000-09-19,20.3125,20.8125,19.8125,20.8125,129900,13.92954
2000-09-20,20.8125,20.8125,20.625,20.625,43700,13.80405
2000-09-21,20.375,21.00,20.375,20.8125,113600,13.92954
2000-09-22,20.625,20.9375,20.625,20.8125,112600,13.92954
2000-09-25,20.875,20.875,19.1875,19.9375,381700,13.34392
2000-09-26,20.00,20.375,19.875,20.00,257000,13.38575
2000-09-27,20.125,20.75,19.9375,20.625,110300,13.80405
2000-09-28,20.50,20.6875,20.25,20.4375,531800,13.67856
2000-09-29,20.50,20.5625,20.375,20.375,97300,13.63673
2000-10-02,20.375,20.375,19.9375,19.9375,100300,13.34392
2000-10-03,20.00,20.25,19.75,19.875,132700,13.3020
2000-10-04,20.00,20.25,19.875,20.1875,140000,13.51124
2000-10-05,20.125,20.6875,20.0625,20.5625,428800,13.76222
2000-10-06,20.625,20.625,19.9375,20.00,197100,13.38575
2000-10-09,20.00,20.0625,19.9375,20.00,66600,13.38575
2000-10-10,20.0625,20.1875,19.875,19.9375,107000,13.34392
2000-10-11,20.00,20.0625,19.875,19.875,247800,13.3020
2000-10-12,19.875,19.875,19.6875,19.6875,61600,13.17659
2000-10-13,19.6875,19.75,19.00,19.5625,216700,13.09293
2000-10-16,19.6875,19.75,19.625,19.625,72800,13.13476
2000-10-17,19.5625,19.6875,19.125,19.25,220600,12.88378
2000-10-18,19.0625,19.375,19.0625,19.375,84200,12.96744
2000-10-19,19.50,19.50,19.125,19.4375,69800,13.00927
2000-10-20,19.50,19.75,19.4375,19.75,87400,13.21842
2000-10-23,19.75,19.75,19.50,19.50,57900,13.05110
2000-10-24,19.50,19.50,19.1875,19.25,95400,12.88378
2000-10-25,19.25,19.375,19.1875,19.25,197700,12.88378
2000-10-26,19.0625,19.3125,19.00,19.25,169500,12.88378
2000-10-27,19.3125,19.3125,19.125,19.1875,128300,12.84195
2000-10-30,19.25,19.9375,19.1875,19.625,249900,13.13476
2000-10-31,19.75,19.875,19.375,19.75,154800,13.21842
2000-11-01,19.9375,20.50,19.6875,20.25,143300,13.55307
2000-11-02,20.0625,21.125,20.0625,21.0625,187000,14.09686
2000-11-03,21.0625,21.125,21.00,21.00,104600,14.05503
2000-11-06,21.00,21.375,21.00,21.125,71400,14.22881
2000-11-07,21.125,22.0625,21.125,22.00,148000,14.81817
2000-11-08,21.9375,22.09375,21.6875,21.75,132000,14.64978
2000-11-09,21.9375,21.9375,20.9375,21.3125,81300,14.35510
2000-11-10,21.50,21.5625,21.0625,21.1875,43000,14.27091
2000-11-13,21.3125,21.3125,20.75,21.0625,73800,14.18671
2000-11-14,21.25,21.9375,21.125,21.9375,77700,14.77607
2000-11-15,22.00,22.1875,21.8125,22.125,68800,14.90236
2000-11-16,22.1875,22.50,21.9375,22.00,53500,14.81817
2000-11-17,22.25,22.875,22.125,22.875,108200,15.40753
2000-11-20,22.625,23.00,22.5625,22.8125,156800,15.36543
2000-11-21,22.9375,23.1875,22.375,23.0625,189400,15.53382
2000-11-22,23.00,23.0625,22.3125,22.4375,124300,15.11285
2000-11-24,22.5625,22.75,22.50,22.75,45500,15.3233
2000-11-27,22.75,22.9375,22.75,22.9375,56900,15.44963
2000-11-28,23.0625,23.1875,22.75,22.75,239300,15.3233
2000-11-29,22.875,22.875,22.3125,22.4375,96200,15.11285
2000-11-30,22.4375,22.5625,22.3125,22.50,144600,15.15495
2000-12-01,22.375,22.625,22.25,22.4375,203700,15.11285
