Date,Open,High,Low,Close,Volume,Adj Clos
2007-02-22,15.25,15.32,15.20,15.24,17800,5.76591
2007-02-23,15.30,15.40,14.70,14.90,48500,5.6372
2007-02-26,14.98,14.98,14.57,14.57,23800,5.51242
2007-02-27,14.57,14.85,14.25,14.50,23200,5.48594
2007-02-28,14.50,14.90,14.25,14.75,12300,5.58052
2007-03-01,14.63,14.63,14.32,14.32,6600,5.41784
2007-03-02,14.74,14.74,14.42,14.43,3400,5.4594
2007-03-05,14.75,14.75,14.47,14.47,10700,5.47459
2007-03-06,14.80,14.80,14.29,14.31,3400,5.41405
2007-03-07,14.35,14.40,14.30,14.30,7400,5.41027
2007-03-08,14.40,14.50,14.08,14.08,12200,5.32704
2007-03-09,14.49,14.50,14.08,14.08,4100,5.32704
2007-03-12,14.10,14.70,13.98,14.70,16700,5.56161
2007-03-13,14.69,14.69,14.05,14.05,13500,5.31569
2007-03-14,14.08,14.47,14.05,14.34,8200,5.42540
2007-03-15,14.19,14.20,13.75,14.13,15300,5.34595
2007-03-16,14.14,14.15,13.83,13.95,4000,5.27785
2007-03-19,14.24,14.25,14.00,14.15,2600,5.35352
2007-03-20,14.10,14.20,14.04,14.07,4800,5.32325
2007-03-21,14.02,14.05,13.87,14.05,7400,5.31569
2007-03-22,13.98,14.05,13.87,13.87,8800,5.24758
2007-03-23,13.91,14.00,13.80,14.00,19000,5.29677
2007-03-26,14.00,14.00,13.75,13.78,4900,5.21353
2007-03-27,13.76,14.00,13.45,13.45,17400,5.08868
2007-03-28,13.60,14.00,13.60,13.90,15500,5.25893
2007-03-29,13.98,13.98,13.57,13.60,23100,5.14543
2007-03-30,13.90,13.99,13.65,13.65,3400,5.16435
2007-04-02,13.98,14.25,13.58,14.02,8500,5.3043
2007-04-03,13.78,14.24,13.78,14.10,17600,5.33460
2007-04-04,14.21,14.35,14.17,14.19,5800,5.36865
2007-04-05,14.28,14.50,14.03,14.03,6800,5.30812
2007-04-09,14.26,14.40,14.22,14.22,700,5.38000
2007-04-10,14.44,14.52,14.25,14.52,17500,5.49351
2007-04-11,14.63,15.00,13.88,14.75,11800,5.58052
2007-04-12,14.70,14.70,13.88,14.29,10800,5.40649
2007-04-13,14.16,14.50,14.16,14.37,3600,5.4367
2007-04-16,14.26,14.73,13.89,14.50,5200,5.48594
2007-04-17,14.50,14.92,14.50,14.90,13200,5.6372
2007-04-18,14.53,14.92,14.27,14.59,15500,5.51999
2007-04-19,14.91,14.92,14.29,14.51,3900,5.48972
2007-04-20,14.81,14.91,14.78,14.78,3600,5.59187
2007-04-23,14.74,14.74,14.59,14.68,2500,5.55404
2007-04-24,14.69,14.77,14.46,14.66,5100,5.54647
2007-04-25,14.80,14.91,14.21,14.50,7400,5.48594
2007-04-26,14.54,14.55,14.40,14.40,2700,5.4481
2007-04-27,14.22,14.25,13.71,14.01,32800,5.30055
2007-04-30,14.01,14.48,14.01,14.11,4400,5.33839
2007-05-01,14.08,14.49,13.77,14.19,5200,5.36865
2007-05-02,14.44,14.50,13.75,14.45,8200,5.46702
2007-05-03,14.50,14.50,14.00,14.38,11500,5.44054
2007-05-04,14.45,14.60,14.35,14.35,13400,5.42919
2007-05-07,14.49,14.60,14.31,14.60,6700,5.52377
2007-05-08,14.40,14.75,14.40,14.55,27500,5.50486
2007-05-09,14.75,14.79,14.70,14.70,9800,5.56161
2007-05-10,14.75,14.80,14.71,14.71,11700,5.56539
2007-05-11,14.89,15.00,14.77,14.85,34400,5.61836
2007-05-14,15.50,15.50,14.95,14.95,17300,5.65619
2007-05-15,15.00,15.00,14.78,14.90,16800,5.6372
2007-05-16,14.90,15.00,14.77,15.00,21000,5.67511
2007-05-17,15.00,15.75,14.90,14.90,4700,5.6372
2007-05-18,15.00,15.00,14.75,14.75,4000,5.58052
2007-05-21,14.75,14.75,14.58,14.60,21000,5.52377
2007-05-22,14.60,14.64,14.41,14.41,13100,5.45189
2007-05-23,14.49,14.67,14.43,14.48,12200,5.47837
2007-05-24,14.70,14.84,14.50,14.52,59600,5.49351
2007-05-25,14.84,14.99,14.50,14.60,9800,5.52377
2007-05-29,14.89,14.90,14.71,14.71,5800,5.62316
2007-05-30,14.80,14.88,14.67,14.67,3200,5.60787
2007-05-31,14.61,14.85,14.60,14.70,4900,5.61934
2007-06-01,14.55,14.90,14.51,14.55,22300,5.56200
2007-06-04,14.93,14.95,14.05,14.65,42400,5.60023
2007-06-05,14.85,14.90,14.75,14.75,3900,5.63845
2007-06-06,14.99,15.00,14.51,14.68,28600,5.611
2007-06-07,14.74,14.80,14.60,14.77,7900,5.64610
2007-06-08,14.69,14.78,14.59,14.59,8100,5.57729
2007-06-11,14.69,14.71,14.43,14.43,11500,5.51613
2007-06-12,15.79,15.79,14.11,14.60,18000,5.58111
2007-06-13,14.60,14.61,14.51,14.61,7700,5.58494
2007-06-14,14.70,15.00,14.65,14.73,30200,5.63081
2007-06-15,14.89,14.97,14.71,14.97,51400,5.72255
2007-06-18,15.00,15.10,14.63,14.90,22500,5.69579
2007-06-19,14.75,14.90,14.74,14.85,11600,5.67668
2007-06-20,14.75,14.88,14.63,14.85,13000,5.67668
2007-06-21,14.85,14.85,14.65,14.67,9300,5.60787
2007-06-22,14.70,14.74,14.50,14.50,13900,5.54289
2007-06-25,14.70,14.70,14.20,14.40,18600,5.50466
2007-06-26,14.37,14.63,14.00,14.20,40400,5.42821
2007-06-27,14.40,14.40,13.82,14.11,39200,5.39380
2007-06-28,14.39,14.39,13.84,13.99,48100,5.34793
2007-06-29,14.00,14.38,13.99,14.17,15300,5.41674
2007-07-02,14.20,14.65,14.10,14.45,20900,5.52377
2007-07-03,14.50,14.60,14.50,14.59,1600,5.57729
2007-07-05,14.60,14.73,14.60,14.70,6000,5.61934
2007-07-06,14.89,14.89,14.63,14.85,7100,5.67668
2007-07-09,14.82,14.99,14.25,14.44,11500,5.51995
2007-07-10,14.38,14.60,14.18,14.37,11300,5.49319
2007-07-11,14.21,14.64,14.10,14.32,17300,5.47408
2007-07-12,14.34,14.50,14.10,14.36,13900,5.48937
2007-07-13,14.34,14.50,14.22,14.23,6600,5.43967
2007-07-16,14.35,14.50,14.07,14.39,11200,5.50084
2007-07-17,14.49,14.65,14.22,14.38,4000,5.49701
2007-07-18,14.31,14.32,13.91,14.10,10000,5.38998
