Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,10.6875,11.00,10.6875,10.875,100100,4.89880
2000-01-04,10.75,11.0625,10.625,10.9375,42100,4.92695
2000-01-05,10.875,11.25,10.875,11.1875,31800,5.03957
2000-01-06,11.125,11.125,10.875,11.00,49300,4.95511
2000-01-07,11.00,11.5625,11.00,11.50,48600,5.18034
2000-01-10,11.5625,12.0625,11.5625,11.8125,188800,5.32111
2000-01-11,11.875,11.9375,11.8125,11.875,44400,5.3492
2000-01-12,11.875,11.875,11.75,11.75,43000,5.29296
2000-01-13,11.8125,11.9375,11.6875,11.75,64700,5.29296
2000-01-14,11.875,12.00,11.75,11.9375,38100,5.37742
2000-01-18,11.9375,12.25,11.9375,12.25,48200,5.51819
2000-01-19,12.3125,12.4375,12.25,12.375,116600,5.57450
2000-01-20,12.50,12.625,12.50,12.625,73700,5.68711
2000-01-21,12.5625,12.625,12.50,12.5625,51100,5.65896
2000-01-24,12.50,12.625,11.875,11.875,111000,5.3492
2000-01-25,11.875,11.875,11.6875,11.75,39600,5.29296
2000-01-26,11.75,11.875,11.75,11.8125,54300,5.32111
2000-01-27,11.8125,11.9375,11.75,11.75,173200,5.29296
2000-01-28,11.875,11.875,11.75,11.8125,14100,5.32111
2000-01-31,11.75,11.75,11.1875,11.1875,88500,5.03957
2000-02-01,11.1875,11.25,11.125,11.1875,155500,5.03957
2000-02-02,11.25,11.50,11.1875,11.1875,57200,5.03957
2000-02-03,11.1875,11.375,11.1875,11.3125,100400,5.09588
2000-02-04,11.1875,11.25,11.125,11.25,84300,5.06772
2000-02-07,11.125,11.1875,11.0625,11.0625,18400,4.98326
2000-02-08,11.125,11.1875,11.00,11.125,61500,5.01142
2000-02-09,11.25,11.6875,11.25,11.6875,39000,5.26480
2000-02-10,11.5625,12.1875,11.5625,11.8125,53100,5.32111
2000-02-11,11.6875,11.6875,11.375,11.4375,60100,5.15219
2000-02-14,11.375,11.50,11.3125,11.375,162100,5.12403
2000-02-15,11.375,11.375,11.0625,11.1875,220500,5.03957
2000-02-16,11.125,11.1875,11.0625,11.0625,13000,4.98326
2000-02-17,11.0625,11.125,10.9375,11.00,515900,4.95511
2000-02-18,11.0625,11.0625,10.6875,10.6875,34400,4.81434
2000-02-22,10.6875,10.75,10.5625,10.75,135600,4.84249
2000-02-23,10.6875,10.6875,10.625,10.6875,198800,4.81434
2000-02-24,10.8125,10.875,10.625,10.6875,19500,4.81434
2000-02-25,10.75,10.9375,10.625,10.625,25300,4.78618
2000-02-28,10.625,10.6875,10.375,10.4375,213600,4.70172
2000-02-29,10.3125,10.625,10.3125,10.375,80100,4.67357
2000-03-01,10.375,10.375,10.0625,10.125,180300,4.56095
2000-03-02,10.00,10.00,9.75,9.75,237700,4.39203
2000-03-03,10.00,10.4375,10.00,10.375,1676300,4.67357
2000-03-06,10.25,10.625,10.25,10.625,37400,4.78618
2000-03-07,10.625,10.9375,10.1875,10.1875,145900,4.5891
2000-03-08,10.3125,10.6875,10.3125,10.50,180000,4.72988
2000-03-09,10.625,10.875,10.5625,10.8125,165700,4.87065
2000-03-10,10.6875,11.00,10.6875,10.8125,155400,4.87065
2000-03-13,10.75,11.00,10.75,10.9375,42500,4.92695
2000-03-14,10.875,11.0625,10.875,10.9375,79500,4.92695
2000-03-15,11.00,11.125,11.00,11.0625,119300,4.98326
2000-03-16,11.1875,11.50,11.125,11.50,151100,5.18034
2000-03-17,11.375,11.50,11.3125,11.4375,23900,5.15219
2000-03-20,11.1875,11.3125,11.1875,11.3125,106900,5.09588
2000-03-21,11.1875,11.4375,11.00,11.4375,114000,5.15219
2000-03-22,11.4375,11.50,11.4375,11.50,92600,5.18034
2000-03-23,11.4375,11.50,11.125,11.125,62200,5.01142
2000-03-24,11.125,11.3125,11.125,11.1875,64300,5.03957
2000-03-27,11.25,11.25,11.1875,11.1875,80400,5.03957
2000-03-28,11.1875,11.1875,10.875,10.9375,223000,4.92695
2000-03-29,10.6875,11.00,10.6875,10.875,82100,5.01105
2000-03-30,10.9375,11.0625,10.9375,11.00,53200,5.06865
2000-03-31,11.0625,11.375,11.00,11.125,236400,5.12624
2000-04-03,11.00,11.25,11.00,11.25,75700,5.18384
2000-04-04,11.0625,11.3125,11.00,11.3125,89200,5.21264
2000-04-05,11.375,11.50,11.0625,11.125,23500,5.12624
2000-04-06,11.375,11.50,11.1875,11.50,105800,5.29904
2000-04-07,11.4375,11.6875,11.375,11.6875,112700,5.38544
2000-04-10,11.75,12.0625,11.625,11.625,98600,5.35664
2000-04-11,11.625,11.875,11.625,11.875,72900,5.47183
2000-04-12,11.9375,12.00,11.875,11.9375,93200,5.50063
2000-04-13,12.00,12.00,11.75,11.875,71400,5.47183
2000-04-14,11.875,12.00,11.75,12.00,83000,5.52943
2000-04-17,12.00,12.00,11.75,11.8125,28800,5.4430
2000-04-18,11.75,11.875,11.625,11.8125,52600,5.4430
2000-04-19,11.75,11.8125,11.6875,11.6875,36700,5.38544
2000-04-20,11.75,12.00,11.6875,12.00,39100,5.52943
2000-04-24,11.875,12.00,11.8125,11.875,27600,5.47183
2000-04-25,12.00,12.00,11.875,12.00,25300,5.52943
2000-04-26,12.00,12.00,11.8125,11.8125,51400,5.4430
2000-04-27,11.875,12.00,11.8125,11.9375,21800,5.50063
2000-04-28,11.8125,11.9375,11.8125,11.9375,73700,5.50063
2000-05-01,12.00,12.00,11.875,12.00,186500,5.52943
2000-05-02,12.00,12.1875,12.00,12.1875,241800,5.61583
2000-05-03,12.125,12.125,11.875,12.00,124500,5.52943
2000-05-04,11.875,11.9375,11.75,11.8125,89500,5.4430
2000-05-05,11.875,11.875,11.6875,11.6875,56600,5.38544
2000-05-08,11.6875,11.6875,11.25,11.4375,73300,5.27024
2000-05-09,11.375,11.4375,11.00,11.3125,96900,5.21264
2000-05-10,11.375,11.375,11.125,11.25,65000,5.18384
2000-05-11,11.25,11.4375,11.25,11.375,41100,5.24144
2000-05-12,11.375,11.4375,11.25,11.3125,28800,5.21264
2000-05-15,11.25,11.6875,11.25,11.6875,20200,5.38544
2000-05-16,11.75,11.75,11.375,11.50,47400,5.29904
2000-05-17,11.375,11.375,11.1875,11.3125,73700,5.21264
2000-05-18,11.1875,11.3125,11.0625,11.125,53600,5.12624
2000-05-19,11.0625,11.1875,10.9375,11.00,93900,5.06865
2000-05-22,10.9375,10.9375,10.625,10.75,32000,4.95345
2000-05-23,10.75,10.875,10.6875,10.6875,36200,4.92465
2000-05-24,10.6875,10.6875,10.375,10.375,45100,4.78065
2000-05-25,10.50,10.50,10.1875,10.25,604800,4.72306
2000-05-26,10.375,11.0625,10.375,11.00,164600,5.06865
2000-05-30,10.9375,11.0625,10.75,10.875,302200,5.01105
2000-05-31,10.875,11.00,10.75,10.875,91700,5.01105
2000-06-01,10.875,11.125,10.75,11.00,230100,5.06865
2000-06-02,10.9375,11.0625,10.9375,11.0625,8700,5.0974
2000-06-05,11.00,11.00,10.75,10.75,54900,4.95345
2000-06-06,10.875,10.9375,10.75,10.875,32800,5.01105
2000-06-07,10.8125,10.875,10.75,10.875,47200,5.01105
2000-06-08,10.8125,10.875,10.75,10.8125,124800,4.98225
2000-06-09,10.875,10.9375,10.8125,10.875,192800,5.01105
2000-06-12,10.9375,11.00,10.875,10.875,34700,5.01105
2000-06-13,10.9375,10.9375,10.6875,10.9375,73200,5.03985
2000-06-14,10.9375,11.00,10.8125,10.875,147200,5.01105
2000-06-15,10.8125,10.875,10.75,10.875,91900,5.01105
2000-06-16,10.8125,10.875,10.6875,10.75,72500,4.95345
2000-06-19,10.8125,10.8125,10.5625,10.75,27500,4.95345
2000-06-20,10.75,10.875,10.6875,10.75,72400,4.95345
