Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,35.6875,35.6875,32.50,32.625,420700,23.30772
2000-01-04,32.625,33.625,32.00,32.5625,336700,23.26307
2000-01-05,32.00,33.25,31.25,31.9375,586000,22.81656
2000-01-06,32.50,33.875,32.125,33.125,525300,23.66493
2000-01-07,32.75,34.75,32.75,34.6875,708500,24.78120
2000-01-10,33.875,33.9375,31.5625,32.875,1145400,23.48632
2000-01-11,33.375,34.1875,32.50,33.75,696900,24.1114
2000-01-12,33.875,33.9375,32.3125,32.375,514600,23.12912
2000-01-13,32.625,33.875,32.625,33.625,411900,24.02213
2000-01-14,33.75,34.75,33.125,33.5625,796100,23.97748
2000-01-18,34.50,35.9375,34.375,35.8125,601900,25.58491
2000-01-19,35.6875,36.1875,34.625,35.50,668800,25.36166
2000-01-20,35.50,35.50,31.9375,32.4375,1269800,23.17377
2000-01-21,31.875,32.00,30.25,31.8125,2100000,22.72726
2000-01-24,32.375,32.375,30.00,30.3125,848400,21.65564
2000-01-25,30.375,31.8125,29.50,31.3125,759500,22.37005
2000-01-26,32.1875,32.4375,30.0625,30.1875,593200,21.56634
2000-01-27,29.9375,31.5625,28.375,28.6875,601200,20.59706
2000-01-28,28.625,30.00,28.125,28.5625,467500,20.50732
2000-01-31,27.875,29.375,27.8125,28.4375,532900,20.41757
2000-02-01,29.00,29.875,28.9375,29.3125,354500,21.04580
2000-02-02,29.3125,29.8125,28.00,28.50,891600,20.46244
2000-02-03,29.1875,29.1875,28.50,28.8125,641600,20.68681
2000-02-04,28.75,29.0625,26.8125,27.00,1071700,19.38547
2000-02-07,27.00,27.625,26.8125,27.1875,800900,19.52009
2000-02-08,26.8125,27.1875,26.375,26.6875,610500,19.16110
2000-02-09,26.75,27.3125,25.5625,25.6875,545900,18.44312
2000-02-10,25.8125,26.8125,25.75,26.50,621100,19.02648
2000-02-11,26.875,27.125,25.875,26.125,1346600,18.75724
2000-02-14,26.625,26.75,25.1875,26.75,1415500,19.20598
2000-02-15,27.25,28.375,27.25,27.9375,930800,20.05858
2000-02-16,28.875,28.875,27.375,28.1875,1073300,20.23807
2000-02-17,27.75,28.1875,26.6875,27.6875,1120600,19.87908
2000-02-18,27.6875,27.875,26.25,26.50,544400,19.02648
2000-02-22,25.75,26.6875,25.5625,26.4375,707300,18.98161
2000-02-23,26.375,26.625,25.625,25.6875,555400,18.44312
2000-02-24,25.625,27.6875,25.625,27.00,1067700,19.38547
2000-02-25,26.625,26.9375,25.875,26.00,463900,18.66749
2000-02-28,25.875,26.6875,25.6875,26.1875,559900,18.80211
2000-02-29,26.625,28.4375,26.375,28.3125,689700,20.32782
2000-03-01,28.3125,30.625,28.3125,30.625,1492600,21.98815
2000-03-02,30.375,33.00,30.125,31.125,1524600,22.34714
2000-03-03,31.1875,31.1875,29.0625,29.6875,607100,21.3150
2000-03-06,30.25,30.625,29.3125,29.375,884100,21.09068
2000-03-07,30.00,31.00,29.75,31.00,1368600,22.25739
2000-03-08,29.50,29.875,28.6875,29.1875,910200,20.95605
2000-03-09,29.1875,29.4375,27.4375,28.875,614900,20.7316
2000-03-10,28.75,30.1875,27.75,28.1875,667200,20.23807
2000-03-13,28.125,29.8125,27.50,28.00,792900,20.10345
2000-03-14,27.875,29.1875,27.625,28.5625,1048200,20.50732
2000-03-15,28.125,28.6875,27.5625,27.625,660300,19.83421
2000-03-16,27.125,29.4375,27.125,29.3125,772000,21.04580
2000-03-17,29.4375,29.4375,28.3125,28.4375,572900,20.41757
2000-03-20,28.50,28.50,26.625,27.3125,860700,19.60984
2000-03-21,27.9375,29.25,27.9375,28.8125,867100,20.68681
2000-03-22,29.3125,30.6875,29.25,30.25,740700,21.71891
2000-03-23,30.50,30.625,28.8125,29.0625,567800,20.86631
2000-03-24,29.625,31.00,29.625,31.00,768800,22.25739
2000-03-27,30.25,31.875,29.625,30.75,824000,22.07790
2000-03-28,30.50,31.375,29.25,29.625,747200,21.27017
2000-03-29,29.625,32.50,29.00,32.25,1391200,23.15487
2000-03-30,32.25,34.50,31.1875,33.25,1571000,23.87285
2000-03-31,32.3125,32.9375,31.3125,31.8125,805300,22.84075
2000-04-03,31.875,33.50,31.875,32.5625,738300,23.37924
2000-04-04,32.625,33.00,29.25,30.50,800000,21.89840
2000-04-05,31.00,31.125,29.4375,29.5625,654100,21.22530
2000-04-06,29.875,30.9375,29.00,30.3125,817100,21.76378
2000-04-07,30.375,30.9375,29.5625,29.75,892600,21.35992
2000-04-10,29.5625,29.5625,28.3125,28.4375,583400,20.41757
2000-04-11,28.6875,30.375,28.0625,30.00,1106100,21.53941
2000-04-12,30.50,30.625,29.125,29.6875,1168700,21.3150
2000-04-13,29.625,30.4375,28.625,28.8125,1157500,20.68681
2000-04-14,28.875,30.9375,27.75,28.375,1160700,20.372
2000-04-17,27.375,28.375,26.50,27.4375,762000,19.69959
2000-04-18,28.00,29.25,27.5625,29.0625,880800,20.86631
2000-04-19,28.875,29.625,27.6875,28.5625,747400,20.50732
2000-04-20,29.0625,29.9375,28.50,29.50,608900,21.18042
2000-04-24,29.00,29.75,28.00,28.50,589200,20.46244
2000-04-25,28.75,29.25,27.5625,28.1875,584000,20.23807
2000-04-26,28.00,29.125,27.375,28.4375,697100,20.41757
2000-04-27,28.50,30.375,28.0625,29.625,1118900,21.27017
2000-04-28,29.625,30.1875,29.0625,29.75,577200,21.35992
2000-05-01,29.8125,30.625,28.6875,30.4375,956900,21.85353
2000-05-02,30.50,32.875,30.50,32.125,2441700,23.06512
2000-05-03,32.3125,32.375,30.125,30.4375,1687500,21.85353
2000-05-04,31.125,33.00,30.625,32.3125,2190600,23.19974
2000-05-05,32.75,34.00,31.9375,32.9375,1218200,23.64848
2000-05-08,33.125,34.6875,32.875,34.4375,1566000,24.72545
2000-05-09,34.50,36.00,34.0625,34.25,1446300,24.59083
2000-05-10,33.75,34.1875,32.6875,33.625,994000,24.14209
2000-05-11,33.4375,34.9375,33.4375,34.50,919900,24.77033
2000-05-12,35.50,36.00,34.8125,35.25,1518500,25.30881
2000-05-15,35.00,37.25,34.8125,37.00,1394600,26.56528
2000-05-16,38.00,38.00,35.6875,35.875,1433600,25.75755
2000-05-17,35.875,37.125,35.00,36.6875,963000,26.34091
2000-05-18,36.625,36.625,35.0625,35.4375,819700,25.44343
2000-05-19,35.6875,36.1875,34.75,34.9375,750800,25.08444
2000-05-22,35.00,35.375,34.50,35.0625,1063200,25.17419
2000-05-23,34.875,36.8125,34.4375,36.50,966600,26.20629
2000-05-24,36.5625,37.8125,36.50,36.75,1359000,26.38578
2000-05-25,37.00,37.25,36.0625,36.5625,1665200,26.25116
2000-05-26,36.5625,37.00,35.50,35.75,449900,25.66780
2000-05-30,35.75,37.3125,35.50,35.6875,577100,25.62293
2000-05-31,36.4375,39.1875,36.25,38.875,1332900,27.91149
2000-06-01,39.4375,39.875,37.9375,38.5625,1342000,27.68712
2000-06-02,38.375,38.6875,37.0625,37.0625,1344900,26.61015
2000-06-05,37.5625,38.4375,35.5625,35.75,980500,25.66780
2000-06-06,36.00,38.00,36.00,37.6875,905600,27.05889
2000-06-07,37.75,38.1875,36.5625,36.875,1012100,26.47553
2000-06-08,36.625,37.625,36.5625,37.5625,639300,26.96914
2000-06-09,37.625,37.9375,37.125,37.5625,573500,26.96914
2000-06-12,39.00,39.375,38.625,39.25,882500,28.18073
2000-06-13,39.375,40.125,38.25,38.5625,745400,27.68712
2000-06-14,38.5625,39.875,38.125,38.625,1019400,27.73200
2000-06-15,38.0625,38.9375,36.75,37.8125,778900,27.25448
2000-06-16,38.00,39.50,38.00,39.50,1067700,28.47080
2000-06-19,39.25,39.25,37.25,38.25,609200,27.56982
2000-06-20,38.125,38.6875,36.0625,37.8125,924000,27.25448
2000-06-21,38.00,39.375,37.375,38.8125,891200,27.97526
2000-06-22,39.125,39.6875,37.625,38.00,677400,27.38963
2000-06-23,38.25,39.125,37.1875,37.8125,605500,27.25448
2000-06-26,37.8125,38.3125,36.375,36.9375,551400,26.62380
2000-06-27,36.75,38.25,36.00,37.9375,595800,27.34458
2000-06-28,37.875,37.875,35.5625,35.8125,843800,25.81292
2000-06-29,36.125,37.75,36.125,37.1875,838700,26.80399
2000-06-30,37.375,38.0625,36.00,36.00,891600,25.94807
2000-07-03,36.25,37.00,36.25,36.3125,168300,26.17331
2000-07-05,36.1875,36.1875,33.375,33.9375,947100,24.46146
2000-07-06,34.25,35.3125,33.4375,33.75,1077100,24.32631
2000-07-07,34.00,34.25,32.75,33.5625,1055200,24.19117
2000-07-10,33.625,34.25,32.9375,33.3125,787600,24.01097
2000-07-11,34.125,35.6875,34.125,35.25,1511500,25.40748
2000-07-12,35.25,35.9375,34.50,35.125,1031100,25.3173
2000-07-13,34.625,35.25,34.00,35.0625,619200,25.27234
2000-07-14,34.9375,35.5625,34.6875,35.375,437500,25.49758
2000-07-17,35.375,35.375,34.50,34.9375,479200,25.18224
2000-07-18,35.00,36.00,35.00,35.5625,812800,25.63273
2000-07-19,36.00,36.4375,35.1875,35.4375,662500,25.54263
2000-07-20,35.50,36.375,35.0625,35.1875,798600,25.36243
2000-07-21,34.50,34.9375,33.875,34.00,433300,24.50651
2000-07-24,34.00,34.125,30.50,31.25,1796000,22.52436
2000-07-25,32.375,32.50,30.5625,30.5625,1329200,22.02883
2000-07-26,31.00,31.375,30.125,31.00,1095700,22.34417
2000-07-27,31.4375,32.5625,31.0625,32.4375,969700,23.38029
2000-07-28,32.375,33.50,31.875,32.3125,580800,23.29019
2000-07-31,32.1875,32.6875,31.375,32.125,695200,23.1550
