Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,9.50,9.5625,9.3125,9.5625,116000,2.05429
2000-01-04,9.4375,9.50,9.375,9.4375,97000,2.02744
2000-01-05,9.50,9.625,9.375,9.5625,129800,2.05429
2000-01-06,9.625,9.625,9.4375,9.50,106100,2.04087
2000-01-07,9.50,9.5625,9.4375,9.50,76800,2.04087
2000-01-10,9.4375,9.625,9.4375,9.5625,114100,2.05429
2000-01-11,9.4375,9.625,9.4375,9.4375,117800,2.02744
2000-01-12,9.5625,9.5625,9.375,9.4375,117800,2.02744
2000-01-13,9.50,9.625,9.4375,9.5625,141400,2.05429
2000-01-14,9.5625,9.6875,9.50,9.5625,194400,2.05429
2000-01-18,9.5625,9.625,9.4375,9.5625,219500,2.05429
2000-01-19,9.5625,9.625,9.50,9.5625,187700,2.05429
2000-01-20,9.5625,9.625,9.4375,9.50,163900,2.04087
2000-01-21,9.5625,9.5625,9.4375,9.4375,96500,2.02744
2000-01-24,9.4375,9.5625,9.4375,9.4375,153900,2.02744
2000-01-25,9.4375,9.5625,9.4375,9.4375,64800,2.02744
2000-01-26,9.4375,9.625,9.4375,9.50,96000,2.04087
2000-01-27,9.625,9.625,9.4375,9.5625,66600,2.05429
2000-01-28,9.50,9.5625,9.4375,9.50,65700,2.04087
2000-01-31,9.5625,9.5625,9.50,9.5625,89500,2.05429
2000-02-01,9.5625,9.625,9.50,9.5625,103100,2.05429
2000-02-02,9.625,9.625,9.50,9.5625,66400,2.05429
2000-02-03,9.5625,9.75,9.5625,9.6875,90900,2.08115
2000-02-04,9.6875,9.75,9.625,9.75,104800,2.09457
2000-02-07,9.625,9.75,9.625,9.75,104400,2.09457
2000-02-08,9.75,9.875,9.75,9.8125,67100,2.10800
2000-02-09,9.8125,9.8125,9.75,9.75,92600,2.09457
2000-02-10,9.75,9.875,9.75,9.875,64100,2.12143
2000-02-11,9.8125,9.875,9.6875,9.8125,187500,2.10800
2000-02-14,9.8125,9.8125,9.75,9.75,100700,2.09457
2000-02-15,9.8125,9.8125,9.75,9.8125,70100,2.10800
2000-02-16,9.75,9.875,9.6875,9.6875,103600,2.08115
2000-02-17,9.6875,9.8125,9.6875,9.75,65300,2.09457
2000-02-18,9.75,9.8125,9.6875,9.75,101300,2.09457
2000-02-22,9.75,9.75,9.625,9.6875,54400,2.08115
2000-02-23,9.75,9.75,9.625,9.75,92200,2.09457
2000-02-24,9.6875,9.8125,9.6875,9.6875,66800,2.08115
2000-02-25,9.6875,9.75,9.625,9.625,132300,2.06772
2000-02-28,9.625,9.6875,9.625,9.625,127500,2.06772
2000-02-29,9.625,9.6875,9.625,9.625,128900,2.06772
2000-03-01,9.6875,9.75,9.625,9.75,53000,2.09457
2000-03-02,9.6875,9.75,9.625,9.75,103700,2.09457
2000-03-03,9.75,9.75,9.6875,9.6875,52900,2.08115
2000-03-06,9.6875,9.8125,9.6875,9.6875,96200,2.08115
2000-03-07,9.6875,9.8125,9.6875,9.75,118400,2.09457
2000-03-08,9.6875,9.875,9.6875,9.6875,94700,2.08115
2000-03-09,9.75,9.875,9.6875,9.75,102200,2.09457
2000-03-10,9.75,9.8125,9.6875,9.6875,114800,2.08115
2000-03-13,9.6875,9.75,9.6875,9.75,118200,2.09457
2000-03-14,9.6875,9.75,9.6875,9.6875,50600,2.08115
2000-03-15,9.75,9.75,9.6875,9.6875,110900,2.08115
2000-03-16,9.6875,9.8125,9.6875,9.75,109600,2.09457
2000-03-17,9.75,9.8125,9.6875,9.8125,76400,2.10800
2000-03-20,9.8125,9.8125,9.75,9.75,71900,2.09457
2000-03-21,9.75,9.875,9.75,9.8125,106700,2.10800
2000-03-22,9.875,9.9375,9.75,9.75,81800,2.09457
2000-03-23,9.75,9.9375,9.75,9.875,89900,2.12143
2000-03-24,9.8125,9.9375,9.8125,9.875,80100,2.12143
2000-03-27,9.9375,9.9375,9.8125,9.9375,107600,2.13485
2000-03-28,9.8125,9.9375,9.8125,9.9375,144800,2.13485
2000-03-29,9.75,9.75,9.625,9.6875,82100,2.14816
2000-03-30,9.625,9.6875,9.5625,9.5625,60100,2.12044
2000-03-31,9.5625,9.6875,9.50,9.50,75600,2.10658
2000-04-03,9.50,9.625,9.50,9.5625,77100,2.12044
2000-04-04,9.50,9.6875,9.50,9.625,161600,2.13430
2000-04-05,9.5625,9.625,9.50,9.625,99600,2.13430
2000-04-06,9.5625,9.6875,9.5625,9.5625,51700,2.12044
2000-04-07,9.5625,9.6875,9.5625,9.625,104100,2.13430
2000-04-10,9.625,9.625,9.50,9.5625,89400,2.12044
2000-04-11,9.625,9.625,9.5625,9.5625,73400,2.12044
2000-04-12,9.5625,9.6875,9.5625,9.5625,69600,2.12044
2000-04-13,9.5625,9.625,9.50,9.625,73500,2.13430
2000-04-14,9.625,9.625,9.4375,9.4375,141600,2.09272
2000-04-17,9.4375,9.5625,9.375,9.4375,191000,2.09272
2000-04-18,9.50,9.625,9.50,9.5625,198500,2.12044
2000-04-19,9.50,9.625,9.50,9.5625,207000,2.12044
