Date,Open,High,Low,Close,Volume,Adj Clos
2003-10-09,25.219999,25.549999,25.08,25.10,35200,15.09984
2003-10-10,25.450001,25.459999,25.02,25.209999,21800,15.16602
2003-10-13,25.01,25.049999,24.77,24.77,15800,14.90132
2003-10-14,24.98,25.50,24.98,25.120001,15900,15.11187
2003-10-15,25.92,26.030001,25.74,25.860001,37500,15.55705
2003-10-16,26.27,26.52,26.01,26.389999,47800,15.87589
2003-10-17,26.360001,26.360001,25.85,26.15,30100,15.73151
2003-10-20,26.049999,26.440001,26.049999,26.35,18500,15.85183
2003-10-21,26.40,26.48,26.120001,26.32,73600,15.83378
2003-10-22,26.00,26.049999,25.75,25.959999,16700,15.61721
2003-10-23,25.73,25.959999,25.50,25.65,30300,15.4307
2003-10-24,26.280001,26.60,26.120001,26.190001,15100,15.75557
2003-10-27,26.360001,26.58,26.200001,26.389999,18900,15.87589
2003-10-28,26.10,26.440001,25.959999,26.17,15900,15.74354
2003-10-29,26.25,26.35,25.85,26.00,22800,15.64127
2003-10-30,26.27,26.370001,25.959999,25.959999,25800,15.61721
2003-10-31,25.959999,26.139999,25.860001,25.90,26900,15.58111
2003-11-03,26.360001,26.98,26.299999,26.90,32700,16.18270
2003-11-04,27.030001,27.42,26.75,27.200001,20700,16.36318
2003-11-05,27.09,27.440001,27.059999,27.40,16500,16.48349
2003-11-06,27.360001,27.90,27.17,27.299999,53300,16.42333
2003-11-07,27.549999,27.93,27.549999,27.75,19300,16.69405
2003-11-10,27.68,27.98,27.68,27.799999,17300,16.72413
2003-11-11,27.10,27.200001,26.700001,27.190001,27300,16.35716
2003-11-12,26.98,27.43,26.940001,27.16,25900,16.33911
2003-11-13,27.370001,27.700001,27.370001,27.690001,13300,16.65795
2003-11-14,27.60,27.90,27.50,27.549999,12600,16.57373
2003-11-17,27.440001,27.440001,27.00,27.02,19000,16.25489
2003-11-18,27.200001,27.73,27.18,27.58,21700,16.59178
2003-11-19,27.85,27.98,27.700001,27.85,17700,16.75421
2003-11-20,27.75,27.959999,27.610001,27.82,9900,16.73616
2003-11-21,27.799999,28.00,27.57,28.00,19600,16.84445
2003-11-24,28.120001,28.24,27.889999,28.24,31000,16.98883
2003-11-25,28.200001,28.35,28.040001,28.120001,11700,16.91664
2003-11-26,28.27,28.52,28.190001,28.200001,11900,16.96476
2003-11-28,28.549999,29.10,28.549999,28.84,9700,17.34978
2003-12-01,29.09,29.58,29.09,29.389999,28200,17.68065
2003-12-02,29.08,29.629999,28.950001,29.02,20000,17.45807
2003-12-03,29.280001,29.58,29.27,29.549999,10000,17.77691
2003-12-04,29.49,29.76,29.40,29.459999,15700,17.72276
2003-12-05,29.25,29.700001,29.25,29.389999,17200,17.68065
2003-12-08,29.42,29.639999,29.25,29.459999,10200,17.72276
2003-12-09,30.02,30.040001,29.200001,29.780001,41700,17.91527
2003-12-10,29.780001,29.780001,29.40,29.40,9300,17.68667
2003-12-11,29.370001,29.83,29.309999,29.700001,28100,17.8671
2003-12-12,29.75,29.99,29.459999,29.629999,20100,17.82503
2003-12-15,29.85,29.99,29.66,29.690001,28500,17.86113
2003-12-16,29.85,29.85,29.51,29.809999,13000,17.93332
2003-12-17,29.66,29.92,29.440001,29.92,20500,17.99949
2003-12-18,29.719999,29.99,29.700001,29.75,25500,17.89722
2003-12-19,29.83,29.93,29.60,29.690001,126700,17.86113
2003-12-22,29.68,29.90,29.50,29.860001,182800,17.96340
2003-12-23,29.440001,29.90,29.280001,29.459999,30700,17.72276
2003-12-24,29.25,30.00,29.25,29.82,20400,17.9393
2003-12-26,29.620001,29.719999,29.549999,29.65,8700,17.8370
2003-12-29,29.799999,29.870001,29.35,29.700001,14500,17.8671
2003-12-30,29.870001,29.870001,29.23,29.52,11500,17.75886
2003-12-31,29.379999,29.940001,29.379999,29.700001,15600,17.8671
2004-01-02,30.26,30.65,30.25,30.530001,19400,18.36646
2004-01-05,30.809999,31.43,30.809999,31.200001,24300,18.76953
2004-01-06,32.009998,32.439999,32.009998,32.380001,23900,19.47940
2004-01-07,32.130001,32.369999,32.049999,32.27,23200,19.4132
2004-01-08,32.720001,33.330002,32.720001,33.029999,23400,19.87043
2004-01-09,32.599998,32.82,32.459999,32.650002,22400,19.64183
2004-01-12,32.689999,33.16,32.689999,32.939999,18900,19.81629
2004-01-13,33.130001,33.360001,33.00,33.040001,12900,19.87645
2004-01-14,33.18,33.450001,33.169998,33.240002,16600,19.99677
2004-01-15,33.02,33.07,32.650002,32.869999,19500,19.77418
2004-01-16,32.299999,32.299999,31.860001,32.040001,26100,19.27486
2004-01-20,32.349998,32.490002,32.130001,32.299999,23000,19.43127
2004-01-21,32.02,32.450001,31.93,32.200001,93100,19.37111
2004-01-22,32.18,32.48,32.07,32.299999,24100,19.43127
2004-01-23,32.25,32.34,31.75,31.90,36400,19.19064
2004-01-26,31.65,31.879999,31.48,31.610001,26800,19.01618
2004-01-27,32.200001,32.349998,32.09,32.169998,28500,19.3530
2004-01-28,32.16,32.369999,31.60,31.60,26600,19.01016
