Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,11.25,11.875,11.0625,11.875,802700,6.25505
2000-01-04,12.0625,12.125,11.50,11.6875,715600,6.15629
2000-01-05,11.0625,11.625,11.00,11.50,435600,6.05752
2000-01-06,11.375,11.375,11.125,11.3125,391700,5.95876
2000-01-07,11.3125,11.75,11.1875,11.75,520400,6.18921
2000-01-10,11.75,12.00,11.5625,12.00,447500,6.320
2000-01-11,11.50,11.8125,11.50,11.75,442700,6.18921
2000-01-12,11.4375,11.8125,11.4375,11.75,97000,6.18921
2000-01-13,11.875,11.875,11.5625,11.875,249700,6.25505
2000-01-14,11.75,12.00,11.75,12.00,308700,6.320
2000-01-18,11.875,11.875,11.375,11.625,377100,6.12337
2000-01-19,10.50,10.875,10.50,10.75,468500,5.66247
2000-01-20,11.0625,11.125,10.75,10.8125,344600,5.69539
2000-01-21,10.875,10.875,10.5625,10.6875,137800,5.62955
2000-01-24,10.625,10.625,10.25,10.25,403200,5.39910
2000-01-25,10.25,10.3125,10.0625,10.1875,363800,5.36618
2000-01-26,10.1875,10.375,10.1875,10.3125,90500,5.43202
2000-01-27,10.375,10.625,10.375,10.50,181900,5.53078
2000-01-28,10.1875,10.3125,10.00,10.0625,204200,5.30033
2000-01-31,10.00,10.0625,9.75,10.00,812000,5.26741
2000-02-01,9.625,9.75,9.625,9.75,216900,5.13573
2000-02-02,9.625,9.625,9.0625,9.1875,849700,4.83943
2000-02-03,9.4375,9.50,9.3125,9.375,560400,4.93820
2000-02-04,9.75,10.00,9.6875,10.00,466600,5.26741
2000-02-07,10.1875,10.50,9.9375,10.375,452600,5.46494
2000-02-08,10.50,10.50,10.1875,10.4375,211000,5.49786
2000-02-09,10.50,10.9375,10.1875,10.875,740600,5.72831
2000-02-10,10.8125,10.9375,10.6875,10.875,417000,5.72831
2000-02-11,10.6875,10.75,10.25,10.4375,364100,5.49786
2000-02-14,10.4375,10.50,10.25,10.50,577200,5.53078
2000-02-15,10.3125,10.4375,10.25,10.4375,277700,5.49786
2000-02-16,10.1875,10.1875,10.0625,10.125,181100,5.3332
2000-02-17,10.00,10.00,9.875,9.9375,302500,5.23449
2000-02-18,10.00,10.3125,9.9375,10.25,406500,5.39910
2000-02-22,9.875,9.875,9.50,9.75,439500,5.13573
2000-02-23,9.75,9.9375,9.75,9.875,187200,5.20157
2000-02-24,9.50,9.5625,9.1875,9.3125,409700,4.90528
2000-02-25,9.4375,9.6875,9.3125,9.5625,357700,5.03696
2000-02-28,10.00,10.00,9.5625,9.75,176500,5.13573
2000-02-29,9.50,9.75,9.375,9.6875,136100,5.1028
2000-03-01,9.625,9.6875,9.375,9.625,159900,5.06988
2000-03-02,9.375,9.375,9.125,9.1875,604900,4.83943
2000-03-03,9.25,9.4375,9.1875,9.4375,308200,4.97112
2000-03-06,9.1875,9.375,9.125,9.125,440200,4.80651
2000-03-07,9.125,9.25,9.0625,9.0625,203800,4.77359
2000-03-08,9.1875,9.375,9.125,9.3125,279900,4.90528
2000-03-09,9.625,10.125,9.50,10.0625,356300,5.30033
2000-03-10,10.0625,10.0625,9.875,9.9375,146800,5.23449
2000-03-13,9.875,9.875,9.6875,9.6875,322800,5.1028
2000-03-14,9.8125,9.8125,9.6875,9.75,153800,5.13573
2000-03-15,9.625,9.75,9.5625,9.6875,104100,5.1028
2000-03-16,9.6875,9.875,9.50,9.875,210000,5.20157
2000-03-17,9.75,9.875,9.75,9.8125,178700,5.16865
2000-03-20,9.75,9.75,9.5625,9.625,137100,5.06988
2000-03-21,9.625,9.8125,9.5625,9.75,171900,5.13573
2000-03-22,9.6875,9.75,9.6875,9.75,127100,5.13573
2000-03-23,9.375,9.8125,9.375,9.75,83500,5.13573
2000-03-24,9.625,9.875,9.625,9.75,55300,5.13573
2000-03-27,9.6875,9.8125,9.625,9.75,138500,5.13573
2000-03-28,9.625,9.625,9.25,9.375,155400,4.93820
2000-03-29,9.5625,9.75,9.5625,9.625,190900,5.06988
2000-03-30,9.50,9.50,9.25,9.25,307200,4.87236
2000-03-31,9.25,9.50,9.25,9.50,245100,5.00404
2000-04-03,9.375,9.375,8.875,9.00,181600,4.74067
2000-04-04,8.875,9.0625,8.6875,8.8125,216700,4.64191
2000-04-05,8.6875,9.00,8.5625,8.875,114700,4.67483
2000-04-06,8.8125,9.125,8.8125,9.0625,329600,4.77359
2000-04-07,9.375,9.625,9.375,9.5625,239200,5.03696
2000-04-10,9.625,9.8125,9.625,9.6875,196900,5.1028
2000-04-11,9.6875,9.6875,9.375,9.4375,227500,4.97112
2000-04-12,9.375,9.375,9.1875,9.25,203100,4.87236
2000-04-13,9.3125,9.4375,9.00,9.3125,209400,4.90528
