Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,8.6875,8.875,8.6875,8.8125,48300,3.93634
2000-01-04,8.6875,8.6875,8.50,8.6875,105700,3.88051
2000-01-05,8.625,8.875,8.625,8.6875,86800,3.88051
2000-01-06,8.6875,8.6875,8.50,8.6875,32200,3.88051
2000-01-07,8.6875,8.6875,8.25,8.375,160700,3.74092
2000-01-10,8.375,8.4375,8.3125,8.375,60700,3.74092
2000-01-11,8.3125,8.3125,8.125,8.25,48600,3.68509
2000-01-12,8.25,8.25,8.125,8.125,37800,3.62925
2000-01-13,8.125,8.1875,8.0625,8.0625,78400,3.60134
2000-01-14,8.0625,8.125,8.00,8.00,70400,3.57342
2000-01-18,8.0625,8.3125,8.0625,8.25,65900,3.68509
2000-01-19,8.25,8.3125,7.875,8.125,259800,3.62925
2000-01-20,7.875,7.875,7.50,7.5625,157000,3.37800
2000-01-21,7.5625,7.625,7.375,7.375,170200,3.2942
2000-01-24,7.4375,7.50,6.9375,7.1875,200500,3.21049
2000-01-25,7.3125,7.75,7.3125,7.6875,189000,3.43383
2000-01-26,7.8125,7.8125,7.5625,7.6875,90200,3.43383
2000-01-27,7.8125,8.0625,7.75,8.00,134300,3.57342
2000-01-28,8.0625,8.0625,7.9375,8.00,273100,3.57342
2000-01-31,8.125,8.25,7.9375,8.1875,487300,3.65717
2000-02-01,8.25,8.25,7.9375,8.00,174000,3.57342
2000-02-02,8.0625,8.125,7.8125,7.875,650600,3.51758
2000-02-03,7.875,7.9375,7.6875,7.6875,49500,3.43383
2000-02-04,7.75,7.75,7.4375,7.5625,97400,3.37800
2000-02-07,7.5625,7.625,7.50,7.50,69300,3.35008
2000-02-08,7.50,7.625,7.50,7.50,42100,3.35008
2000-02-09,7.50,7.5625,7.125,7.125,80400,3.1825
2000-02-10,7.125,7.3125,7.125,7.125,86000,3.1825
2000-02-11,7.25,7.3125,7.0625,7.0625,117900,3.15466
2000-02-14,7.1875,7.25,7.00,7.00,373700,3.12674
2000-02-15,7.00,7.125,6.9375,7.00,174600,3.12674
2000-02-16,7.00,7.1875,7.00,7.125,86900,3.1825
2000-02-17,7.1875,7.1875,6.9375,6.9375,152800,3.09882
2000-02-18,6.9375,7.00,6.8125,6.875,89000,3.07091
2000-02-22,6.9375,7.00,6.8125,6.8125,69400,3.04299
2000-02-23,6.875,6.875,6.8125,6.8125,235200,3.04299
2000-02-24,6.8125,6.875,6.8125,6.8125,108200,3.04299
2000-02-25,6.875,7.00,6.875,6.9375,92500,3.09882
2000-02-28,7.00,7.00,6.875,6.875,127800,3.07091
2000-02-29,6.9375,6.9375,6.8125,6.875,65600,3.07091
2000-03-01,6.8125,6.9375,6.8125,6.875,138200,3.07091
2000-03-02,6.9375,7.4375,6.9375,7.0625,749800,3.15466
2000-03-03,7.25,8.0625,7.25,8.00,2019000,3.57342
2000-03-06,8.1875,8.1875,7.9375,8.0625,264500,3.60134
2000-03-07,8.0625,8.125,7.8125,7.8125,199900,3.48967
2000-03-08,7.875,7.875,7.6875,7.6875,208600,3.43383
2000-03-09,7.6875,7.75,7.1875,7.50,131700,3.35008
2000-03-10,7.5625,7.625,7.4375,7.50,64000,3.35008
2000-03-13,7.5625,7.8125,7.5625,7.8125,139200,3.48967
2000-03-14,7.75,8.0625,7.6875,8.00,171300,3.57342
2000-03-15,8.00,8.00,7.50,7.6875,238100,3.43383
2000-03-16,7.75,7.9375,7.6875,7.875,47200,3.51758
2000-03-17,8.00,8.3125,7.875,7.875,202400,3.51758
2000-03-20,7.9375,8.125,7.8125,8.00,224600,3.57342
2000-03-21,8.00,8.0625,7.9375,8.0625,615800,3.60134
2000-03-22,8.0625,8.0625,7.875,7.9375,136400,3.54550
2000-03-23,7.9375,8.00,7.75,7.875,191400,3.51758
2000-03-24,7.9375,7.9375,7.6875,7.8125,193600,3.48967
2000-03-27,7.875,7.875,7.6875,7.75,58300,3.46175
2000-03-28,7.75,7.75,7.5625,7.6875,81400,3.43383
2000-03-29,7.625,7.6875,7.50,7.5625,28500,3.46823
2000-03-30,7.5625,7.625,7.4375,7.4375,51000,3.41090
2000-03-31,7.4375,7.625,7.3125,7.5625,108900,3.46823
2000-04-03,7.4375,7.5625,7.375,7.5625,56400,3.46823
2000-04-04,7.50,7.5625,7.3125,7.50,101400,3.43956
2000-04-05,7.50,7.5625,7.375,7.50,102400,3.43956
2000-04-06,7.50,7.5625,7.375,7.50,69100,3.43956
2000-04-07,7.50,7.50,7.3125,7.375,75400,3.38224
2000-04-10,7.375,7.4375,7.3125,7.4375,59500,3.41090
2000-04-11,7.50,7.50,7.25,7.3125,40000,3.3535
2000-04-12,7.3125,7.4375,7.3125,7.4375,52400,3.41090
2000-04-13,7.5625,7.625,7.4375,7.5625,59000,3.46823
2000-04-14,7.625,7.75,7.375,7.50,42000,3.43956
2000-04-17,7.50,7.50,7.25,7.3125,70900,3.3535
2000-04-18,7.3125,7.4375,7.25,7.25,42600,3.32491
2000-04-19,7.375,7.5625,7.25,7.50,56900,3.43956
2000-04-20,7.375,7.5625,7.375,7.50,20700,3.43956
2000-04-24,7.50,7.50,7.3125,7.4375,16000,3.41090
2000-04-25,7.375,7.4375,7.3125,7.3125,41600,3.3535
2000-04-26,7.3125,7.3125,7.25,7.3125,30200,3.3535
2000-04-27,7.25,7.25,7.1875,7.1875,32700,3.29625
2000-04-28,7.3125,7.3125,7.0625,7.125,96700,3.26759
2000-05-01,7.25,7.25,7.00,7.125,115200,3.26759
2000-05-02,7.0625,7.125,7.00,7.0625,77800,3.23892
2000-05-03,7.0625,7.1875,7.00,7.00,104300,3.21026
2000-05-04,7.0625,7.125,7.00,7.00,107100,3.21026
2000-05-05,7.00,7.00,6.875,6.875,152300,3.15293
2000-05-08,6.875,6.9375,6.75,6.8125,79100,3.12427
2000-05-09,6.9375,7.00,6.8125,6.875,97600,3.15293
2000-05-10,6.9375,6.9375,6.8125,6.8125,28100,3.12427
2000-05-11,6.9375,7.00,6.875,7.00,85300,3.21026
2000-05-12,7.00,7.00,6.875,6.9375,33900,3.18160
2000-05-15,7.00,7.125,6.875,7.125,131200,3.26759
2000-05-16,7.125,7.375,7.125,7.25,121100,3.32491
2000-05-17,7.1875,7.8125,7.125,7.625,744500,3.49689
2000-05-18,7.625,7.625,7.375,7.4375,118200,3.41090
2000-05-19,7.4375,7.50,7.25,7.4375,36000,3.41090
2000-05-22,7.3125,7.375,7.0625,7.25,101000,3.32491
2000-05-23,7.375,7.50,7.3125,7.4375,182300,3.41090
2000-05-24,7.4375,7.6875,7.4375,7.5625,134600,3.46823
2000-05-25,7.6875,7.6875,7.50,7.5625,49100,3.46823
2000-05-26,7.5625,7.875,7.5625,7.8125,219300,3.58288
2000-05-30,7.8125,7.8125,7.6875,7.75,299300,3.55422
2000-05-31,7.75,7.9375,7.75,7.8125,141700,3.58288
2000-06-01,7.8125,8.125,7.75,8.0625,223600,3.69753
2000-06-02,8.0625,8.125,7.9375,8.00,125700,3.66887
2000-06-05,8.0625,8.125,7.9375,7.9375,48200,3.64021
2000-06-06,8.00,8.125,7.9375,8.00,70900,3.66887
2000-06-07,8.00,8.00,7.9375,8.00,22900,3.66887
2000-06-08,8.00,8.00,7.875,8.00,51500,3.66887
2000-06-09,8.00,8.0625,7.9375,8.00,46600,3.66887
2000-06-12,8.00,8.0625,7.875,7.9375,62500,3.64021
2000-06-13,8.00,8.00,7.6875,7.75,74600,3.55422
2000-06-14,7.75,7.9375,7.75,7.875,54200,3.61154
2000-06-15,7.8125,7.875,7.8125,7.8125,24200,3.58288
2000-06-16,7.8125,8.00,7.8125,7.9375,16600,3.64021
2000-06-19,7.9375,8.00,7.8125,8.00,103600,3.66887
2000-06-20,8.00,8.00,7.9375,7.9375,46900,3.64021
2000-06-21,8.00,8.00,7.875,7.9375,28000,3.64021
2000-06-22,7.9375,8.00,7.875,7.9375,20300,3.64021
2000-06-23,8.00,8.00,7.875,7.875,46000,3.61154
2000-06-26,7.9375,8.125,7.875,8.00,133000,3.66887
2000-06-27,8.00,8.0625,7.9375,8.00,96200,3.66887
2000-06-28,7.9375,8.00,7.875,7.9375,20500,3.73354
2000-06-29,7.9375,7.9375,7.6875,7.6875,44300,3.61595
2000-06-30,7.75,7.75,7.625,7.625,100900,3.58655
2000-07-03,7.625,7.8125,7.5625,7.75,24800,3.64535
2000-07-05,7.625,7.875,7.625,7.875,108300,3.70415
2000-07-06,7.75,8.0625,7.75,7.9375,57700,3.73354
2000-07-07,7.9375,7.9375,7.6875,7.75,35200,3.64535
2000-07-10,7.75,7.8125,7.6875,7.6875,54300,3.61595
2000-07-11,7.6875,7.8125,7.6875,7.6875,51900,3.61595
2000-07-12,7.6875,7.8125,7.6875,7.75,39700,3.64535
2000-07-13,7.75,7.875,7.75,7.875,28600,3.70415
2000-07-14,7.875,7.875,7.75,7.8125,36100,3.67475
2000-07-17,7.875,7.9375,7.75,7.8125,33400,3.67475
2000-07-18,7.8125,7.875,7.625,7.6875,76000,3.61595
2000-07-19,7.75,7.75,7.625,7.625,26500,3.58655
2000-07-20,7.625,7.75,7.5625,7.625,89000,3.58655
