Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,16.375,16.375,16.00,16.0625,235200,13.39024
2000-01-04,16.00,16.125,15.9375,16.00,188600,13.3381
2000-01-05,16.00,16.3125,16.00,16.0625,168900,13.39024
2000-01-06,16.1875,16.3125,16.00,16.1875,177700,13.49444
2000-01-07,16.3125,16.9375,16.3125,16.9375,170300,14.11967
2000-01-10,16.9375,16.9375,16.6875,16.75,204000,13.96336
2000-01-11,16.50,16.9375,16.50,16.875,182200,14.0675
2000-01-12,16.8125,16.9375,16.50,16.5625,90500,13.80705
2000-01-13,17.375,17.375,17.00,17.1875,602200,14.32808
2000-01-14,17.1875,17.1875,16.125,16.3125,227500,13.59865
2000-01-18,16.3125,16.375,15.9375,16.00,228600,13.3381
2000-01-19,16.00,16.0625,15.75,15.75,199800,13.12973
2000-01-20,15.875,15.9375,15.625,15.625,215600,13.02552
2000-01-21,15.6875,15.6875,15.375,15.4375,152800,12.86922
2000-01-24,15.375,15.50,14.8125,14.8125,293500,12.348
2000-01-25,14.875,14.875,13.625,14.25,723800,11.87928
2000-01-26,14.25,14.5625,13.875,14.00,262000,11.67087
2000-01-27,14.00,14.25,13.8125,14.1875,239100,11.82717
2000-01-28,14.25,14.3125,13.875,14.25,251700,11.87928
2000-01-31,14.375,14.375,13.5625,13.6875,506400,11.41036
2000-02-01,13.6875,14.00,13.6875,13.875,348800,11.56666
2000-02-02,14.00,14.125,13.50,13.5625,717300,11.30615
2000-02-03,13.625,13.75,13.125,13.25,486700,11.04564
2000-02-04,13.125,13.25,12.9375,13.00,442700,10.83723
2000-02-07,13.00,13.00,12.5625,12.875,217400,10.73303
2000-02-08,12.875,12.875,12.5625,12.8125,539500,10.68093
2000-02-09,12.875,12.9375,12.4375,12.50,280900,10.42042
2000-02-10,12.375,12.5625,11.75,11.9375,414400,9.95150
2000-02-11,11.9375,12.00,11.00,11.25,826500,9.3783
2000-02-14,11.25,11.4375,10.75,11.00,605600,9.16997
2000-02-15,11.00,11.125,10.75,10.8125,714100,9.01366
2000-02-16,10.9375,11.00,10.75,10.875,423500,9.06576
2000-02-17,10.9375,11.0625,10.625,10.75,518300,8.96156
2000-02-18,10.75,10.8125,10.5625,10.6875,353300,8.90946
2000-02-22,10.8125,10.9375,10.50,10.625,443700,8.85735
2000-02-23,10.625,10.625,9.8125,9.9375,455300,8.28423
2000-02-24,10.00,10.0625,9.75,9.9375,769400,8.28423
2000-02-25,10.125,11.5625,10.125,10.9375,720700,9.11786
2000-02-28,11.625,11.75,10.75,10.875,394900,9.09904
2000-02-29,10.875,11.25,10.3125,10.3125,688900,8.62840
2000-03-01,10.4375,11.00,10.25,10.5625,377800,8.83757
2000-03-02,10.625,10.8125,10.3125,10.4375,395000,8.73299
2000-03-03,10.5625,10.75,10.1875,10.4375,321000,8.73299
2000-03-06,10.4375,10.625,10.0625,10.0625,361700,8.4192
2000-03-07,10.0625,10.3125,9.75,9.875,443200,8.2623
2000-03-08,9.9375,10.1875,9.875,10.00,665400,8.36693
2000-03-09,10.125,10.625,10.00,10.125,532400,8.47152
2000-03-10,10.00,10.125,9.125,9.375,837900,7.84400
2000-03-13,9.50,9.875,9.3125,9.375,304400,7.84400
2000-03-14,9.5625,9.75,9.25,9.3125,421300,7.7917
2000-03-15,9.00,9.00,8.50,9.00,1607400,7.53024
2000-03-16,9.00,10.50,8.875,10.125,970200,8.47152
2000-03-17,9.875,10.375,9.75,9.75,657400,8.15776
2000-03-20,10.00,10.50,9.875,10.0625,436500,8.4192
2000-03-21,10.1875,10.50,10.00,10.4375,424100,8.73299
2000-03-22,10.50,10.5625,10.375,10.50,578700,8.78528
2000-03-23,10.75,11.00,10.5625,10.875,459900,9.09904
2000-03-24,10.875,10.875,10.4375,10.625,799700,8.88987
