Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,53.124962,54.062481,52.937519,53.75,3431200,6.06263
2000-01-04,53.375038,54.25,52.937519,53.062481,5997600,5.98508
2000-01-05,53.124962,54.187519,52.624962,52.937519,10562400,5.97098
2000-01-06,53.00,55.50,52.875038,54.875038,15300000,6.18952
2000-01-07,57.50,61.50,56.875038,61.312481,16160800,6.91562
2000-01-10,61.812481,61.875038,59.812481,60.25,9336000,6.79578
2000-01-11,59.00,61.312481,58.687519,60.375038,9988000,6.8098
2000-01-12,59.875038,61.00,59.50,59.812481,6378400,6.74643
2000-01-13,60.124962,61.937519,59.812481,61.687519,6981600,6.95792
2000-01-14,62.00,62.812481,61.50,61.624962,9292800,6.95087
2000-01-18,60.25,61.00,58.25,59.00,5514400,6.65479
2000-01-19,58.50,60.437519,58.50,59.50,7730400,6.71119
2000-01-20,59.50,61.00,58.50,61.00,8457600,6.88038
2000-01-21,61.00,61.00,57.75,58.375038,12880800,6.58430
2000-01-24,57.375038,58.062481,54.562481,55.187519,9503200,6.22477
2000-01-25,55.50,56.187519,54.562481,55.187519,8416000,6.22477
2000-01-26,54.50,56.312481,54.50,55.062481,8797600,6.2106
2000-01-27,55.062481,55.312481,53.875038,54.187519,9053600,6.1119
2000-01-28,52.25,54.624962,52.25,52.624962,12754400,5.93573
2000-01-31,52.624962,55.25,52.562481,53.00,4790400,5.97803
2000-02-01,53.50,55.437519,53.124962,54.437519,3984000,6.14017
2000-02-02,54.875038,56.50,54.875038,55.875038,6660000,6.30232
2000-02-03,55.375038,56.00,55.062481,55.375038,13720800,6.24592
2000-02-04,55.624962,56.812481,55.624962,56.75,7199200,6.40101
2000-02-07,56.00,58.50,55.812481,58.187519,11616800,6.56315
2000-02-08,56.00,57.124962,55.75,56.00,8325600,6.31641
2000-02-09,56.50,56.687519,53.75,53.937519,7526400,6.08378
2000-02-10,57.875038,60.437519,57.062481,57.875038,20888000,6.52790
2000-02-11,57.124962,59.124962,55.875038,56.00,18896000,6.31641
2000-02-14,56.624962,57.50,56.375038,56.875038,7276000,6.41511
2000-02-15,58.375038,61.437519,58.25,59.375038,16885600,6.69709
2000-02-16,59.687519,62.50,59.312481,61.312481,16412800,6.91562
2000-02-17,62.00,64.687523,61.875038,62.875038,12419200,7.09187
2000-02-18,62.124962,62.50,57.25,57.875038,15170400,6.52790
2000-02-22,58.00,59.624962,57.687519,58.812481,5828800,6.63364
2000-02-23,58.25,58.50,56.875038,57.25,9806400,6.45740
2000-02-24,56.624962,56.75,51.937519,52.624962,13012000,5.93573
2000-02-25,52.624962,52.875038,50.562481,51.25,9658400,5.78064
2000-02-28,51.00,52.437519,50.50,51.437519,8533600,5.80179
2000-02-29,51.187519,51.937519,51.00,51.124962,7711200,5.76654
2000-03-01,51.124962,55.375038,49.812481,54.624962,12564800,6.16132
2000-03-02,54.75,55.00,52.00,52.50,7538400,5.9216
2000-03-03,52.437519,55.312481,52.062481,54.437519,3794400,6.14017
2000-03-06,54.312481,54.312481,52.25,52.50,4090400,5.9216
2000-03-07,51.50,51.624962,48.875038,49.00,8610400,5.52686
2000-03-08,48.875038,49.437519,46.375038,47.624962,10363200,5.37176
2000-03-09,47.624962,49.624962,47.124962,49.062481,6700000,5.53391
2000-03-10,49.00,51.00,48.562481,50.875038,6710400,5.73835
2000-03-13,49.00,50.50,49.00,50.062481,6282400,5.64670
2000-03-14,49.875038,50.437519,49.062481,50.062481,3949600,5.64670
2000-03-15,49.687519,51.75,49.50,51.437519,12876000,5.80179
2000-03-16,50.624962,53.187519,49.75,52.124962,11164000,5.87933
2000-03-17,53.00,54.00,51.187519,51.624962,9671200,5.82294
2000-03-20,51.875038,53.375038,51.687519,53.00,5468800,5.97803
2000-03-21,53.00,54.375038,53.00,54.00,4168800,6.0908
2000-03-22,53.75,54.937519,52.00,52.937519,5897600,5.97098
2000-03-23,52.50,54.624962,52.25,54.624962,6003200,6.16132
2000-03-24,54.562481,57.562481,54.437519,57.437519,8687200,6.47855
2000-03-27,56.812481,56.875038,55.375038,55.75,4664800,6.28821
2000-03-28,55.00,56.187519,54.937519,55.375038,3800800,6.24592
2000-03-29,55.437519,55.937519,54.50,55.687519,3594400,6.2811
2000-03-30,55.624962,57.875038,55.562481,57.25,5237600,6.46088
2000-03-31,57.25,59.687519,56.437519,59.624962,7032800,6.72891
2000-04-03,59.375038,62.50,59.312481,62.062481,7430400,7.00399
2000-04-04,62.00,62.00,57.75,60.75,8253600,6.85587
2000-04-05,59.937519,60.937519,59.062481,60.00,5006400,6.77123
2000-04-06,59.937519,62.00,59.624962,61.687519,5516000,6.96167
2000-04-07,61.562481,61.812481,60.25,61.75,5463200,6.96873
2000-04-10,62.624962,64.25,62.562481,63.875038,7511200,7.2085
2000-04-11,63.00,65.437523,62.062481,65.437523,10399200,7.38488
2000-04-12,65.00,68.875038,64.75,67.875038,10133600,7.65996
2000-04-13,68.187523,68.562477,63.312481,66.375038,13784000,7.49068
2000-04-14,65.75,65.75,61.875038,63.937519,5155200,7.21560
2000-04-17,63.375038,64.562477,61.75,63.75,5120800,7.19443
2000-04-18,63.00,65.187523,62.437519,64.875038,4708000,7.32140
2000-04-19,63.50,65.75,63.375038,64.687523,5062400,7.30024
2000-04-20,63.437519,68.312477,63.437519,67.124962,9542400,7.57531
2000-04-24,67.50,69.75,67.437523,69.437523,5580000,7.83629
2000-04-25,69.375038,69.375038,67.50,68.25,12896000,7.70228
2000-04-26,68.50,69.187523,67.00,67.312477,8431200,7.59647
