Date,Open,High,Low,Close,Volume,Adj Clos
2007-12-12,10.59,10.59,8.70,9.96,4915100,7.431
2007-12-13,9.51,9.90,9.21,9.69,554100,7.230
2007-12-14,9.80,10.952,9.70,10.20,311000,7.610
2007-12-17,10.30,10.40,9.50,9.60,158800,7.16
2007-12-18,9.80,9.82,9.26,9.49,161600,7.08
2007-12-19,9.50,9.60,9.25,9.30,231200,6.939
2007-12-20,9.27,9.27,8.51,8.51,423700,6.349
2007-12-21,8.51,9.50,8.51,9.15,85800,6.827
2007-12-24,8.90,9.39,8.70,9.35,25900,6.976
2007-12-26,9.35,9.48,8.81,9.32,60000,6.954
2007-12-27,8.90,9.18,8.90,9.15,54200,6.827
2007-12-28,9.00,9.01,8.80,9.00,52200,6.715
2007-12-31,9.09,9.25,8.91,9.00,39100,6.715
2008-01-02,8.80,9.25,8.80,9.21,55800,6.87
2008-01-03,9.11,9.24,9.05,9.23,36700,6.88
2008-01-04,9.09,9.20,8.80,8.906,28300,6.645
2008-01-07,9.10,9.10,8.75,8.75,54300,6.528
2008-01-08,8.76,9.07,8.50,8.50,210100,6.342
2008-01-09,8.6999,8.6999,7.5201,8.00,195200,5.969
2008-01-10,7.85,8.00,7.60,7.72,87200,5.760
2008-01-11,7.60,8.00,7.02,7.80,74100,5.8
2008-01-14,8.00,8.20,7.50,8.20,60100,6.118
2008-01-15,8.10,8.10,7.07,7.23,59900,5.394
2008-01-16,7.02,7.17,7.00,7.16,39800,5.342
2008-01-17,7.05,7.10,6.55,6.6501,60400,4.96
2008-01-18,7.10,7.10,5.91,6.07,111900,4.529
2008-01-22,5.68,6.20,4.90,6.0299,88100,4.499
2008-01-23,6.02,6.20,4.99,5.16,117700,3.850
2008-01-24,5.25,6.85,5.25,6.08,143100,4.536
2008-01-25,6.50,6.51,5.91,6.10,143900,4.551
2008-01-28,6.00,6.15,5.70,5.76,45700,4.297
2008-01-29,5.70,5.89,5.50,5.55,24700,4.141
2008-01-30,5.60,5.77,5.25,5.44,66600,4.05
2008-01-31,5.41,5.74,5.25,5.40,35300,4.029
2008-02-01,5.26,5.49,5.25,5.35,113000,3.991
2008-02-04,5.33,5.65,5.00,5.25,380800,3.917
2008-02-05,5.24,5.41,5.03,5.40,37200,4.029
