Date,Open,High,Low,Close,Volume,Adj Clos
2011-04-21,20.26,22.33,18.34,18.799999,18178500,18.79999
2011-04-25,19.40,19.50,17.32,17.75,2323400,17.7
2011-04-26,17.700001,18.709999,17.40,17.559999,1800000,17.55999
2011-04-27,17.84,17.84,15.80,16.25,1976500,16.2
2011-04-28,16.110001,16.780001,15.70,16.030001,1900000,16.03000
2011-04-29,15.95,16.42,15.30,15.51,1343900,15.5
2011-05-02,15.74,17.00,15.54,16.68,1471100,16.6
2011-05-03,16.90,16.93,15.54,15.74,1379400,15.7
2011-05-04,15.62,15.69,13.94,14.59,1744500,14.5
2011-05-05,14.18,15.04,13.42,13.50,891700,13.5
2011-05-06,13.75,14.20,13.16,13.75,1012800,13.7
2011-05-09,13.70,14.40,13.12,14.26,631700,14.2
2011-05-10,14.39,15.65,14.16,15.35,936800,15.3
2011-05-11,15.43,15.43,14.50,14.93,394700,14.9
2011-05-12,14.95,14.95,14.28,14.53,430000,14.5
2011-05-13,14.55,14.65,13.75,13.91,623800,13.9
2011-05-16,13.97,13.97,12.24,12.55,861300,12.5
2011-05-17,12.40,12.45,11.32,12.04,836400,12.0
2011-05-18,11.81,13.71,11.81,13.47,801100,13.4
2011-05-19,13.74,13.74,12.83,13.47,618000,13.4
2011-05-20,13.35,13.71,12.70,12.81,502700,12.8
2011-05-23,12.56,12.56,11.25,11.29,836100,11.2
2011-05-24,11.27,11.79,11.25,11.61,444900,11.6
2011-05-25,11.51,11.94,11.29,11.31,583000,11.3
2011-05-26,11.26,12.24,11.26,12.06,354700,12.0
2011-05-27,12.40,13.50,12.26,13.28,638400,13.2
2011-05-31,13.40,13.40,12.34,12.37,392900,12.3
2011-06-01,12.55,12.88,11.84,11.85,338900,11.8
2011-06-02,12.95,13.12,12.14,12.61,569600,12.6
2011-06-03,12.36,12.63,11.85,11.95,351100,11.9
2011-06-06,12.28,12.28,10.60,10.77,701300,10.7
2011-06-07,10.74,10.86,9.87,10.46,1633900,10.4
2011-06-08,10.37,10.80,10.08,10.14,290000,10.1
2011-06-09,10.30,10.50,10.02,10.26,547500,10.2
2011-06-10,10.26,10.26,9.95,10.01,211700,10.0
2011-06-13,10.10,10.33,9.65,9.92,392300,9.9
2011-06-14,10.49,11.35,10.02,10.75,295800,10.7
2011-06-15,10.84,11.10,10.27,10.60,190700,10.6
2011-06-16,10.75,11.37,10.68,11.03,299400,11.0
2011-06-17,11.12,11.35,10.89,10.99,107200,10.9
2011-06-20,10.88,11.59,10.65,11.20,164500,11.2
2011-06-21,11.30,12.44,11.06,12.36,251600,12.3
2011-06-22,12.25,12.28,11.73,12.00,90200,12.0
2011-06-23,11.75,13.08,11.10,13.00,116900,13.0
2011-06-24,12.92,13.10,12.66,13.10,133900,13.1
2011-06-27,12.84,13.45,12.81,13.04,215900,13.0
2011-06-28,12.72,13.50,12.33,12.88,319600,12.8
2011-06-29,13.03,13.53,13.03,13.53,222800,13.5
2011-06-30,13.45,13.95,13.45,13.74,283000,13.7
2011-07-01,13.88,14.22,13.78,14.17,231900,14.1
2011-07-05,14.02,14.53,14.00,14.28,299300,14.2
2011-07-06,14.39,14.40,14.10,14.28,399200,14.2
2011-07-07,14.30,14.52,14.23,14.27,109000,14.2
2011-07-08,13.97,14.80,13.38,14.69,221600,14.6
2011-07-11,14.60,14.80,14.33,14.73,86100,14.7
2011-07-12,14.72,14.72,14.16,14.27,86500,14.2
2011-07-13,14.40,14.82,14.24,14.28,70800,14.2
2011-07-14,14.50,14.50,14.25,14.35,51300,14.3
2011-07-15,14.35,14.46,14.02,14.37,39200,14.3
2011-07-18,14.35,14.40,13.85,14.23,39100,14.2
2011-07-19,14.40,14.40,13.92,14.24,66500,14.2
2011-07-20,14.32,14.44,13.95,13.99,440200,13.9
2011-07-21,14.02,14.10,13.35,13.95,155800,13.9
2011-07-22,14.42,14.42,13.51,13.69,300200,13.6
2011-07-25,13.62,13.76,13.35,13.62,152200,13.6
2011-07-26,13.55,14.00,13.25,13.47,41200,13.4
2011-07-27,13.39,13.52,12.95,13.05,193100,13.0
2011-07-28,12.98,13.07,12.49,12.90,83900,12.9
2011-07-29,12.50,13.44,12.42,13.15,83700,13.1
2011-08-01,13.48,13.94,13.33,13.53,203000,13.5
2011-08-02,13.43,13.94,13.35,13.51,311900,13.5
2011-08-03,13.52,13.52,12.98,13.24,79700,13.2
2011-08-04,13.60,14.09,13.04,13.23,577200,13.2
2011-08-05,13.22,13.30,11.78,12.35,378100,12.3
2011-08-08,11.56,11.56,10.15,10.35,528600,10.3
2011-08-09,10.82,11.33,10.35,11.33,306400,11.3
2011-08-10,10.80,12.21,10.61,11.45,111200,11.4
2011-08-11,11.65,13.22,11.23,12.87,249300,12.8
2011-08-12,13.06,13.06,11.82,12.29,37100,12.2
2011-08-15,12.40,13.23,11.96,12.13,135000,12.1
2011-08-16,11.98,12.46,11.42,11.74,142300,11.7
2011-08-17,12.13,12.13,11.11,11.19,39000,11.1
2011-08-18,10.60,11.21,10.17,10.36,147200,10.3
2011-08-19,10.00,10.78,9.97,10.30,255600,10.3
2011-08-22,10.75,10.76,10.06,10.55,96200,10.5
2011-08-23,10.66,12.00,10.46,11.61,120600,11.6
2011-08-24,11.48,12.05,10.55,11.23,40600,11.2
2011-08-25,11.34,11.62,10.79,11.10,89600,11.1
2011-08-26,10.93,11.42,10.61,10.96,83800,10.9
2011-08-29,11.49,12.21,11.29,11.79,255900,11.7
2011-08-30,11.85,12.00,11.19,11.45,429700,11.4
2011-08-31,11.50,12.10,11.00,12.02,314800,12.0
2011-09-01,12.00,12.01,11.44,11.46,46700,11.4
2011-09-02,11.40,11.83,10.67,10.78,172600,10.7
2011-09-06,10.76,10.89,10.11,10.52,117400,10.5
2011-09-07,10.80,10.93,10.22,10.35,121100,10.3
2011-09-08,10.36,10.67,10.07,10.37,209300,10.3
2011-09-09,10.29,10.78,9.80,9.92,126700,9.9
2011-09-12,9.78,10.17,9.74,10.10,88300,10.1
2011-09-13,10.09,10.55,9.90,10.09,44600,10.0
2011-09-14,11.41,11.48,10.45,10.81,182000,10.8
2011-09-15,10.98,11.42,10.96,11.31,125400,11.3
2011-09-16,11.25,11.75,10.98,11.65,105700,11.6
2011-09-19,11.74,11.78,11.01,11.63,80000,11.6
2011-09-20,11.58,11.65,11.16,11.16,106900,11.1
2011-09-21,11.04,11.85,11.00,11.35,113700,11.3
2011-09-22,10.71,11.24,10.21,10.96,308100,10.9
2011-09-23,11.70,11.70,10.88,11.01,232200,11.0
2011-09-26,11.00,11.17,10.90,11.00,369100,11.0
2011-09-27,11.14,11.48,10.42,10.61,148500,10.6
2011-09-28,10.58,10.95,10.18,10.49,136100,10.4
2011-09-29,10.64,10.98,10.14,10.50,127000,10.5
2011-09-30,10.23,10.62,9.83,10.15,352300,10.1
2011-10-03,10.02,10.49,9.94,10.16,142300,10.1
2011-10-04,10.01,10.70,10.01,10.48,148900,10.4
2011-10-05,10.50,11.07,10.14,10.50,171500,10.5
2011-10-06,10.50,10.84,10.24,10.57,102500,10.5
2011-10-07,10.60,10.80,10.22,10.32,262200,10.3
2011-10-10,10.48,11.15,10.48,10.96,123200,10.9
2011-10-11,11.14,11.14,10.67,10.81,90300,10.8
2011-10-12,10.85,11.09,10.70,10.71,274400,10.7
2011-10-13,10.69,10.99,10.00,10.25,149000,10.2
2011-10-14,10.44,10.96,10.05,10.75,161500,10.7
2011-10-17,10.59,11.05,10.32,10.78,171300,10.7
2011-10-18,10.74,10.96,10.29,10.37,143600,10.3
2011-10-19,10.23,10.23,9.84,10.03,550300,10.0
2011-10-20,10.29,10.29,9.55,9.89,486200,9.8
2011-10-21,9.89,10.30,9.43,9.98,714100,9.9
2011-10-24,9.97,10.02,9.76,9.91,317900,9.9
2011-10-25,9.80,9.98,9.39,9.45,167900,9.4
2011-10-26,9.48,9.76,9.28,9.45,174900,9.4
2011-10-27,9.79,9.79,9.00,9.22,586100,9.2
2011-10-28,9.26,9.45,9.12,9.33,215000,9.3
2011-10-31,9.12,9.41,8.76,8.87,249800,8.8
2011-11-01,8.49,8.93,8.38,8.78,154500,8.7
2011-11-02,9.31,9.31,8.54,9.00,362200,9.0
2011-11-03,9.16,9.17,8.85,8.95,328600,8.9
2011-11-04,8.96,9.13,8.85,9.00,168400,9.0
2011-11-07,9.03,9.15,8.95,9.00,297300,9.0
2011-11-08,9.14,9.38,8.89,9.00,436900,9.0
2011-11-09,8.85,9.08,8.54,8.59,429900,8.5
2011-11-10,8.72,8.78,8.31,8.50,386500,8.5
2011-11-11,8.56,9.04,8.37,8.60,492600,8.6
2011-11-14,8.70,9.31,8.61,9.27,886700,9.2
2011-11-15,10.13,10.46,9.75,10.00,2019200,10.0
2011-11-16,9.92,10.32,9.91,10.04,1150400,10.0
2011-11-17,10.00,10.37,9.62,10.00,492400,10.0
2011-11-18,10.00,10.24,9.95,10.06,381500,10.0
2011-11-21,9.93,10.00,9.50,9.53,352000,9.5
2011-11-22,9.47,9.47,8.95,9.20,321000,9.2
2011-11-23,9.11,9.40,8.96,9.01,363500,9.0
2011-11-25,9.65,9.65,9.05,9.37,258700,9.3
2011-11-28,9.54,10.03,9.54,10.00,446200,10.0
2011-11-29,9.95,10.04,9.20,9.28,261400,9.2
2011-11-30,9.50,10.01,9.49,9.86,484600,9.8
2011-12-01,9.79,9.80,9.47,9.47,131800,9.4
2011-12-02,9.59,9.59,9.48,9.58,40100,9.5
2011-12-05,9.60,9.78,9.56,9.65,154600,9.6
2011-12-06,9.62,9.62,9.17,9.31,53700,9.3
2011-12-07,9.20,9.20,8.82,9.05,205000,9.0
2011-12-08,8.97,9.10,8.89,9.00,112100,9.0
2011-12-09,9.00,9.26,8.97,9.14,177400,9.1
2011-12-12,9.08,9.08,8.62,8.94,41300,8.9
2011-12-13,8.95,9.05,8.79,8.99,96600,8.9
2011-12-14,8.90,8.90,8.51,8.74,57000,8.7
2011-12-15,8.70,8.88,8.60,8.73,33100,8.7
2011-12-16,8.92,9.67,8.92,9.58,279500,9.5
2011-12-19,9.60,9.70,9.21,9.22,80500,9.2
