Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.125,14.125,13.9375,14.125,7400,4.57268
2000-01-04,14.125,14.3125,14.125,14.3125,6800,4.63338
2000-01-05,14.3125,14.3125,14.25,14.3125,6300,4.63338
2000-01-06,14.25,14.375,14.25,14.375,15600,4.65361
2000-01-07,14.4375,14.4375,14.25,14.4375,10500,4.67385
2000-01-10,14.4375,14.4375,14.4375,14.4375,000,4.67385
2000-01-11,14.4375,14.50,14.375,14.375,23300,4.65361
2000-01-12,14.25,14.3125,14.25,14.3125,2100,4.66029
2000-01-13,14.3125,14.375,14.25,14.3125,8500,4.66029
2000-01-14,14.3125,14.50,14.3125,14.375,18400,4.68064
2000-01-18,14.3125,14.375,14.3125,14.3125,3600,4.66029
2000-01-19,14.3125,14.375,14.3125,14.3125,4800,4.66029
2000-01-20,14.375,14.4375,14.375,14.4375,6700,4.70099
2000-01-21,14.4375,14.5625,14.375,14.4375,15600,4.70099
2000-01-24,14.50,14.50,14.375,14.375,4900,4.68064
2000-01-25,14.4375,14.50,14.375,14.375,3400,4.68064
2000-01-26,14.50,14.5625,14.4375,14.50,8000,4.72134
2000-01-27,14.5625,14.625,14.5625,14.625,5100,4.76204
2000-01-28,14.625,14.625,14.5625,14.625,1100,4.76204
2000-01-31,14.625,14.625,14.50,14.50,7200,4.72134
2000-02-01,14.625,14.625,14.50,14.5625,8500,4.74169
2000-02-02,14.5625,14.625,14.50,14.50,9500,4.72134
2000-02-03,14.50,14.6875,14.50,14.6875,7400,4.78239
2000-02-04,14.6875,14.875,14.6875,14.875,5800,4.84344
2000-02-07,14.875,14.875,14.8125,14.8125,8600,4.82309
2000-02-08,14.8125,14.875,14.8125,14.875,7600,4.84344
2000-02-09,14.875,14.9375,14.875,14.9375,4400,4.86379
2000-02-10,14.875,14.875,14.8125,14.8125,6600,4.82309
2000-02-11,14.8125,14.8125,14.6875,14.75,4900,4.8298
2000-02-14,14.75,14.8125,14.75,14.75,3800,4.8298
2000-02-15,14.75,14.8125,14.6875,14.8125,4200,4.85027
2000-02-16,14.75,14.8125,14.6875,14.6875,6900,4.80934
2000-02-17,14.6875,14.75,14.6875,14.75,4000,4.8298
2000-02-18,14.75,14.8125,14.6875,14.6875,7400,4.80934
2000-02-22,14.75,14.75,14.625,14.625,8500,4.7888
2000-02-23,14.625,14.625,14.5625,14.5625,2000,4.76841
2000-02-24,14.625,14.6875,14.625,14.6875,2900,4.80934
2000-02-25,14.6875,14.6875,14.5625,14.625,2500,4.7888
