Date,Open,High,Low,Close,Volume,Adj Clos
2002-06-13,13.48,16.24,13.24,16.24,20400,9.25251
2002-06-14,16.24,16.24,16.24,16.24,000,9.25251
2002-06-17,16.24,16.24,16.24,16.24,000,9.25251
2002-06-18,16.24,16.24,16.24,16.24,2000,9.25251
2002-06-19,16.24,16.48,16.24,16.24,18400,9.25251
2002-06-20,16.00,16.00,15.40,15.40,6900,8.77393
2002-06-21,15.64,15.64,15.40,15.40,5400,8.77393
2002-06-24,15.24,15.48,15.24,15.48,1700,8.81951
2002-06-25,15.64,15.88,15.64,15.72,19800,8.95625
2002-06-26,15.24,15.72,15.24,15.24,3000,8.68278
2002-06-27,15.00,15.00,14.72,14.72,2200,8.38651
2002-06-28,14.88,15.00,14.00,14.00,70900,7.97630
2002-07-01,14.00,14.00,13.08,13.08,52100,7.45215
2002-07-02,13.00,13.15,12.90,12.90,99800,7.34959
2002-07-03,12.90,13.05,12.60,12.60,60200,7.17867
2002-07-05,12.70,12.70,12.43,12.59,49900,7.1729
2002-07-08,12.65,12.95,12.55,12.60,140500,7.17867
2002-07-09,12.55,12.70,12.40,12.40,62300,7.0647
2002-07-10,12.50,12.50,11.45,11.71,72700,6.67161
2002-07-11,11.70,11.95,11.70,11.70,31500,6.66591
2002-07-12,11.70,11.70,11.40,11.60,114000,6.60894
2002-07-15,11.60,11.95,11.55,11.95,171300,6.80834
2002-07-16,12.20,12.65,12.10,12.55,50300,7.15019
2002-07-17,12.62,13.45,12.62,13.00,109800,7.40657
2002-07-18,12.98,13.25,12.80,12.90,30100,7.34959
2002-07-19,12.90,14.35,12.90,14.35,22300,8.17571
2002-07-22,14.25,14.45,13.70,13.70,27800,7.80538
2002-07-23,13.65,13.76,12.31,12.34,29900,7.03054
2002-07-24,12.44,12.60,12.10,12.45,119900,7.09321
2002-07-25,12.45,13.45,12.35,13.45,19800,7.66295
2002-07-26,13.45,13.45,13.15,13.45,26300,7.66295
2002-07-29,13.50,13.55,13.19,13.33,82100,7.59458
2002-07-30,13.30,13.50,13.06,13.39,17900,7.62876
2002-07-31,13.40,13.57,13.40,13.41,13600,7.64016
2002-08-01,13.40,13.45,13.24,13.28,7400,7.56609
2002-08-02,13.22,13.23,12.80,13.00,12000,7.40657
2002-08-05,13.00,13.40,12.79,13.40,39900,7.63446
2002-08-06,13.40,13.45,13.30,13.45,16400,7.66295
2002-08-07,13.46,13.80,13.35,13.77,20500,7.84526
2002-08-08,14.00,14.78,13.90,14.70,16300,8.37512
2002-08-09,14.70,15.30,14.65,15.30,15000,8.71696
2002-08-12,15.50,17.27,15.50,16.85,58200,9.60005
2002-08-13,16.85,16.90,16.50,16.50,45900,9.40064
2002-08-14,16.50,16.50,16.10,16.10,9000,9.17275
2002-08-15,16.10,16.50,16.10,16.50,81400,9.40064
2002-08-16,16.40,16.40,16.00,16.00,38600,9.11578
2002-08-19,15.90,15.90,15.45,15.75,20300,8.97334
2002-08-20,15.75,15.85,15.45,15.49,26300,8.82521
2002-08-21,15.50,15.50,15.25,15.25,22300,8.68847
2002-08-22,15.27,15.31,14.80,14.80,19200,8.43209
2002-08-23,14.70,14.70,14.60,14.60,1300,8.3181
2002-08-26,14.60,14.60,14.32,14.50,19500,8.26117
2002-08-27,14.45,14.80,14.40,14.70,9400,8.37512
2002-08-28,14.65,14.65,14.40,14.40,9400,8.20420
2002-08-29,14.35,14.45,14.25,14.25,6400,8.11874
2002-08-30,14.25,14.50,14.25,14.50,6000,8.26117
2002-09-03,14.40,14.50,14.30,14.40,13000,8.20420
2002-09-04,14.38,14.40,14.17,14.23,48500,8.10734
2002-09-05,14.01,14.15,14.01,14.05,23000,8.00479
2002-09-06,14.02,14.41,14.01,14.40,11200,8.20420
2002-09-09,14.30,14.56,14.15,14.56,25800,8.29536
2002-09-10,14.65,14.82,14.60,14.60,4900,8.3181
2002-09-11,14.60,14.85,14.60,14.85,4200,8.46058
2002-09-12,14.95,14.95,14.80,14.94,3500,8.52333
2002-09-13,14.99,14.99,14.86,14.86,6100,8.47769
2002-09-16,14.90,14.95,14.80,14.95,3300,8.52904
2002-09-17,14.95,14.95,14.67,14.72,2600,8.39782
2002-09-18,14.62,14.62,14.45,14.45,1700,8.24379
2002-09-19,14.40,14.40,14.25,14.25,9000,8.12969
2002-09-20,14.15,14.20,13.80,14.15,20000,8.07264
2002-09-23,14.10,14.10,14.00,14.00,16900,7.98706
2002-09-24,13.91,14.05,13.91,14.01,2400,7.9927
2002-09-25,14.01,14.01,14.00,14.00,3000,7.98706
2002-09-26,14.00,14.20,14.00,14.15,1600,8.07264
2002-09-27,14.25,14.25,14.10,14.10,1900,8.04411
