Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,2.375,2.375,2.219,2.375,7600,13.490
2000-01-04,2.375,2.375,2.094,2.375,3800,13.490
2000-01-05,2.313,2.313,2.094,2.313,71200,13.138
2000-01-06,2.063,2.313,2.063,2.063,2600,11.718
2000-01-07,2.406,2.406,2.188,2.406,6100,13.666
2000-01-10,2.313,2.50,2.25,2.313,7900,13.138
2000-01-11,2.125,2.50,2.031,2.125,8300,12.070
2000-01-12,2.063,2.188,2.063,2.063,4800,11.718
2000-01-13,2.063,2.25,2.031,2.063,4200,11.718
2000-01-14,2.125,2.438,2.031,2.125,8700,12.070
2000-01-18,2.125,2.438,2.125,2.125,2500,12.070
2000-01-19,2.125,2.188,2.125,2.125,7100,12.070
2000-01-20,2.125,2.313,2.125,2.125,4800,12.070
2000-01-21,2.125,2.281,2.094,2.125,5900,12.070
2000-01-24,2.25,2.281,2.125,2.25,7800,12.780
2000-01-25,2.125,2.25,2.094,2.125,2400,12.070
2000-01-26,2.219,2.25,2.125,2.219,6700,12.604
2000-01-27,2.219,2.219,2.125,2.219,2100,12.604
2000-01-28,2.188,2.188,2.125,2.188,3400,12.428
2000-01-31,2.156,2.219,2.125,2.156,1200,12.246
2000-02-01,2.156,2.188,2.156,2.156,4700,12.246
2000-02-02,2.188,2.219,2.125,2.188,3400,12.428
2000-02-03,2.188,2.188,2.125,2.188,3200,12.428
2000-02-04,2.219,2.219,2.188,2.219,2300,12.604
2000-02-07,2.063,2.219,2.063,2.063,18700,11.718
2000-02-08,2.094,2.094,2.063,2.094,4500,11.894
2000-02-09,2.063,2.25,2.00,2.063,5800,11.718
2000-02-10,2.031,2.125,2.00,2.031,4100,11.536
2000-02-11,2.00,2.031,1.938,2.00,11500,11.360
2000-02-14,2.031,2.125,1.938,2.031,7500,11.536
2000-02-15,2.125,2.125,2.031,2.125,1200,12.070
2000-02-16,2.031,2.125,2.031,2.031,5000,11.536
2000-02-17,2.25,2.313,2.00,2.25,24200,12.780
2000-02-18,2.313,2.375,2.094,2.313,19100,13.138
2000-02-22,2.281,2.531,2.25,2.281,31100,12.956
2000-02-23,2.438,2.438,2.281,2.438,4000,13.848
2000-02-24,2.406,2.469,2.313,2.406,6500,13.666
2000-02-25,2.313,2.438,2.313,2.313,8500,13.138
2000-02-28,2.344,2.438,2.25,2.344,8700,13.314
2000-02-29,2.156,2.344,2.125,2.156,6000,12.246
2000-03-01,2.25,2.281,2.156,2.25,3000,12.780
2000-03-02,2.188,2.344,2.094,2.188,10400,12.428
2000-03-03,2.094,2.188,2.094,2.094,9000,11.894
2000-03-06,2.281,2.563,2.094,2.281,26600,12.956
2000-03-07,2.188,2.25,2.094,2.188,7100,12.428
2000-03-08,2.125,2.25,2.094,2.125,4700,12.070
2000-03-09,2.219,2.375,2.094,2.219,10400,12.604
2000-03-10,2.219,2.25,2.125,2.219,7100,12.604
2000-03-13,2.281,2.344,2.094,2.281,6700,12.956
2000-03-14,2.125,2.281,2.125,2.125,5100,12.070
2000-03-15,2.125,2.188,2.063,2.125,3500,12.070
2000-03-16,2.25,2.25,2.063,2.25,6700,12.780
2000-03-17,2.281,2.313,2.125,2.281,9700,12.956
