Date,Open,High,Low,Close,Volume,Adj Clos
2006-01-19,19.00,19.209999,18.10,18.59,12684800,14.49943
2006-01-20,18.950001,19.299999,18.540001,18.549999,3177200,14.46823
2006-01-23,18.60,18.73,18.00,18.549999,1677600,14.46823
2006-01-24,18.65,18.77,17.85,18.25,1872000,14.23425
2006-01-25,18.35,18.60,17.50,17.65,1004500,13.76627
2006-01-26,17.50,18.10,17.450001,17.940001,1013900,13.99246
2006-01-27,18.049999,18.360001,17.959999,18.25,532000,14.23425
2006-01-30,18.40,18.92,18.280001,18.67,974400,14.56183
2006-01-31,18.870001,18.90,18.549999,18.75,348700,14.62423
2006-02-01,18.799999,19.25,18.52,18.780001,843200,14.64763
2006-02-02,18.75,18.799999,17.85,17.91,1132200,13.96906
2006-02-03,17.93,18.790001,17.75,18.48,1100000,14.41364
2006-02-06,18.559999,18.74,18.35,18.50,151500,14.42924
2006-02-07,18.540001,18.540001,17.68,17.73,397500,13.82867
2006-02-08,17.66,17.73,16.549999,17.73,1530800,13.82867
2006-02-09,17.74,17.799999,17.10,17.10,332100,13.337
2006-02-10,17.110001,17.299999,16.51,16.719999,491700,13.04091
2006-02-13,16.58,16.77,15.85,16.00,413600,12.47934
2006-02-14,14.80,15.35,14.33,14.55,2002700,11.34840
2006-02-15,15.05,15.80,14.92,15.40,1003900,12.01136
2006-02-16,15.50,16.299999,15.50,16.10,402400,12.55734
2006-02-17,16.690001,16.90,16.25,16.25,511700,12.67433
2006-02-21,16.40,16.549999,15.89,16.00,382700,12.47934
2006-02-22,16.00,16.00,15.40,15.70,248800,12.24535
2006-02-23,15.65,16.00,15.39,15.39,230000,12.0035
2006-02-24,15.65,16.16,15.65,15.99,859700,12.47154
2006-02-27,16.01,16.01,15.76,15.86,172500,12.3701
2006-02-28,16.200001,16.450001,15.90,16.24,1103400,12.66653
2006-03-01,16.50,17.58,16.389999,16.940001,1037600,13.21250
2006-03-02,17.50,17.950001,17.40,17.50,1730400,13.64928
2006-03-03,17.549999,17.99,17.459999,17.98,578100,14.02366
2006-03-06,18.10,18.35,17.450001,17.60,563800,13.72727
2006-03-07,17.799999,18.059999,16.75,16.90,287600,13.18130
2006-03-08,17.25,17.700001,16.790001,17.139999,537000,13.36849
2006-03-09,17.540001,17.700001,17.049999,17.35,253100,13.53228
2006-03-10,17.41,17.41,17.15,17.299999,220100,13.49329
2006-03-13,17.33,17.90,17.290001,17.629999,269800,13.75067
2006-03-14,17.60,17.65,17.25,17.450001,376700,13.61028
2006-03-15,17.40,17.57,16.66,17.00,564600,13.25930
2006-03-16,16.950001,17.700001,16.950001,17.440001,791800,13.60248
2006-03-17,17.690001,17.799999,17.40,17.50,326800,13.64928
2006-03-20,17.65,17.950001,17.440001,17.50,278700,13.64928
2006-03-21,17.50,18.049999,17.50,18.00,412900,14.03926
2006-03-22,18.00,18.700001,18.00,18.440001,334700,14.38244
2006-03-23,18.50,19.10,18.35,19.049999,455000,14.85821
2006-03-24,18.950001,19.190001,18.790001,19.10,562300,14.89721
2006-03-27,19.450001,19.50,18.82,19.40,500200,15.13120
2006-03-28,20.15,20.75,20.08,20.65,1259000,16.10615
2006-03-29,20.60,21.790001,20.35,21.709999,954000,16.96577
2006-03-30,22.00,22.10,21.50,21.68,779000,16.94233
2006-03-31,21.68,22.18,20.620001,21.620001,1926400,16.89544
2006-04-03,21.85,22.059999,21.75,21.92,465300,17.12988
2006-04-04,21.93,22.049999,21.860001,21.90,329900,17.11425
2006-04-05,22.00,22.639999,21.41,22.610001,649600,17.66910
2006-04-06,23.00,23.059999,21.870001,22.33,507800,17.45028
2006-04-07,22.450001,22.65,22.030001,22.26,394100,17.39558
2006-04-10,22.35,22.950001,22.049999,22.469999,324900,17.55969
2006-04-11,22.719999,22.780001,21.209999,21.370001,717100,16.70007
2006-04-12,19.799999,21.00,19.530001,20.66,1206700,16.14522
2006-04-13,20.360001,20.360001,19.780001,19.809999,693600,15.48097
2006-04-17,19.809999,21.209999,19.799999,21.120001,662800,16.50470
2006-04-18,21.139999,22.50,21.139999,22.200001,538100,17.34869
2006-04-19,22.190001,22.75,21.91,22.25,384600,17.3877
2006-04-20,22.299999,22.299999,21.15,22.17,444300,17.32525
2006-04-21,22.17,22.200001,21.75,21.959999,309500,17.16114
2006-04-24,21.90,22.10,21.26,21.709999,290800,16.96577
2006-04-25,21.74,21.84,20.469999,20.50,470200,16.02019
2006-04-26,20.120001,21.110001,20.10,20.52,386800,16.03582
2006-04-27,20.10,20.360001,19.40,19.77,398400,15.44971
2006-04-28,19.75,20.75,19.50,20.23,411700,15.80919
2006-05-01,20.23,20.57,19.60,19.99,630000,15.62164
2006-05-02,20.24,22.00,20.10,21.639999,493600,16.91107
2006-05-03,21.700001,21.73,20.35,21.139999,468700,16.52033
2006-05-04,21.139999,21.139999,20.25,20.440001,376600,15.97330
2006-05-05,20.889999,20.889999,20.25,20.48,465000,16.00456
2006-05-08,20.530001,20.559999,20.01,20.049999,385400,15.66852
2006-05-09,20.049999,21.00,19.969999,20.780001,550300,16.23900
2006-05-10,19.889999,20.700001,19.60,20.459999,940700,15.98893
2006-05-11,20.559999,20.700001,19.809999,19.92,555100,15.56693
2006-05-12,19.15,19.60,18.68,19.10,463200,14.92613
2006-05-15,18.85,19.40,18.43,18.48,499000,14.44161
2006-05-16,18.50,18.51,17.719999,18.370001,582800,14.35565
2006-05-17,18.389999,18.879999,18.049999,18.360001,509600,14.34784
2006-05-18,18.370001,18.799999,17.690001,17.719999,495800,13.84769
2006-05-19,17.67,17.940001,17.33,17.620001,708500,13.76955
2006-05-22,17.549999,17.65,17.00,17.49,477600,13.66795
2006-05-23,18.75,18.90,17.65,17.66,430600,13.8008
2006-05-24,17.66,17.91,16.870001,17.25,521200,13.48040
2006-05-25,17.60,18.040001,17.50,17.969999,369400,14.04306
2006-05-26,18.10,18.40,17.75,18.18,231200,14.20717
2006-05-30,18.65,18.65,17.629999,17.73,428300,13.85551
2006-05-31,17.549999,18.00,17.50,17.90,311000,13.98836
2006-06-01,17.90,18.34,17.719999,18.33,185700,14.32439
2006-06-02,18.700001,18.950001,18.379999,18.83,239000,14.71513
2006-06-05,18.90,19.040001,18.02,18.059999,251500,14.11339
2006-06-06,18.110001,18.940001,17.75,18.799999,352500,14.69168
2006-06-07,18.40,18.67,17.629999,17.719999,285200,13.84769
2006-06-08,17.73,17.74,16.91,17.17,558800,13.41788
2006-06-09,17.34,17.65,17.00,17.32,240000,13.53510
2006-06-12,17.50,17.50,16.08,16.469999,336600,12.87085
2006-06-13,16.57,17.15,16.309999,16.389999,536300,12.80833
2006-06-14,16.299999,17.25,16.26,17.23,320800,13.46477
2006-06-15,17.65,18.23,17.299999,18.02,342300,14.0821
2006-06-16,18.02,18.35,17.700001,18.00,397200,14.0665
2006-06-19,18.00,18.08,17.030001,17.059999,208700,13.33192
2006-06-20,17.139999,17.59,16.91,17.049999,239300,13.32411
2006-06-21,17.08,17.860001,16.98,17.82,191100,13.92584
2006-06-22,17.90,18.040001,17.469999,17.91,223300,13.99617
2006-06-23,18.110001,18.40,17.90,18.219999,246100,14.23843
2006-06-26,18.219999,19.07,18.01,19.02,299100,14.86361
2006-06-27,19.15,19.90,19.110001,19.77,534000,15.44971
2006-06-28,19.93,19.93,19.139999,19.50,184300,15.26961
2006-06-29,19.969999,20.870001,19.799999,20.860001,885600,16.33457
2006-06-30,21.00,21.58,20.91,21.58,863200,16.89837
2006-07-03,21.73,21.879999,21.549999,21.65,174100,16.95318
2006-07-05,21.66,21.76,21.00,21.10,409600,16.52250
2006-07-06,21.10,21.40,20.60,20.709999,405300,16.21711
2006-07-07,20.860001,21.280001,20.75,20.98,463500,16.42853
2006-07-10,20.93,21.00,20.08,20.15,315500,15.77860
2006-07-11,20.08,20.83,19.91,20.74,715600,16.24060
2006-07-12,20.940001,21.25,20.610001,20.83,340400,16.3110
2006-07-13,20.99,21.200001,20.40,20.50,542000,16.05267
2006-07-14,20.629999,20.85,20.16,20.33,259800,15.91955
2006-07-17,20.23,20.27,19.700001,19.940001,219700,15.6141
2006-07-18,20.00,20.15,19.76,19.940001,269800,15.6141
2006-07-19,20.00,20.60,20.00,20.389999,240200,15.96653
2006-07-20,20.549999,21.09,20.51,20.66,400900,16.17796
2006-07-21,20.66,20.66,19.91,20.290001,213300,15.8882
2006-07-24,20.389999,21.50,20.209999,21.379999,211900,16.74176
2006-07-25,21.48,22.25,20.540001,21.07,367200,16.49901
2006-07-26,21.299999,22.73,21.10,22.43,741900,17.56397
2006-07-27,22.85,23.15,21.209999,21.620001,677800,16.92969
2006-07-28,21.809999,23.440001,21.809999,23.26,660600,18.2139
2006-07-31,23.50,23.549999,22.700001,22.99,567100,18.00248
2006-08-01,23.17,23.90,23.01,23.67,592500,18.53496
2006-08-02,23.799999,24.99,23.799999,24.379999,677500,19.09093
2006-08-03,24.379999,24.75,24.01,24.34,592800,19.05961
2006-08-04,24.52,24.68,23.75,24.08,383400,18.85601
2006-08-07,24.33,25.50,24.25,25.25,883700,19.77219
2006-08-08,26.00,26.50,25.50,26.110001,1300000,20.44562
2006-08-09,27.68,27.68,26.40,26.90,1197300,21.06423
2006-08-10,26.00,26.50,24.209999,25.129999,1441000,19.67822
2006-08-11,25.25,25.26,23.73,24.58,888700,19.24754
2006-08-14,23.77,24.690001,23.700001,24.15,518800,18.9108
2006-08-15,24.190001,25.549999,24.190001,25.32,340800,19.82700
2006-08-16,25.32,25.65,24.73,25.09,495100,19.64690
2006-08-17,25.09,25.15,23.90,24.18,751100,18.93432
2006-08-18,24.040001,24.809999,24.00,24.27,656700,19.00479
2006-08-21,24.790001,25.370001,24.60,24.84,557400,19.4511
2006-08-22,24.950001,25.50,24.799999,25.40,645800,19.88965
2006-08-23,26.200001,26.559999,25.00,25.049999,882300,19.61558
2006-08-24,25.200001,25.50,25.110001,25.26,356600,19.78002
2006-08-25,25.60,26.200001,25.57,25.99,508900,20.35165
2006-08-28,25.700001,26.35,25.129999,25.139999,1736800,19.68605
2006-08-29,25.040001,25.040001,23.610001,24.33,1254000,19.0517
2006-08-30,24.799999,24.969999,23.83,23.860001,1042000,18.68374
2006-08-31,23.860001,24.08,22.75,23.57,1563100,18.45665
2006-09-01,24.07,24.700001,23.799999,24.139999,783400,18.90299
2006-09-05,24.35,24.389999,23.940001,24.139999,1025900,18.90299
2006-09-06,23.780001,23.98,21.90,22.23,1690400,17.4073
2006-09-07,21.75,22.00,21.15,21.60,1614700,16.91403
2006-09-08,21.68,22.25,21.360001,21.93,1017800,17.17244
2006-09-11,21.940001,22.059999,21.24,21.58,1031300,16.89837
2006-09-12,21.40,21.629999,20.790001,20.90,960600,16.36589
2006-09-13,21.049999,21.82,21.049999,21.50,794300,16.83572
2006-09-14,21.700001,21.74,21.07,21.190001,767700,16.59298
2006-09-15,21.299999,21.620001,21.030001,21.25,856500,16.63996
2006-09-18,21.25,22.00,21.10,21.98,780800,17.21159
2006-09-19,21.00,22.15,21.00,21.280001,460400,16.66345
2006-09-20,21.280001,21.549999,20.49,20.50,505400,16.05267
2006-09-21,20.42,21.25,20.10,20.58,792300,16.11531
2006-09-22,21.00,21.00,19.98,20.00,564600,15.66114
2006-09-25,19.959999,20.40,19.41,20.24,595800,15.84907
2006-09-26,20.50,21.48,20.10,21.40,736900,16.75742
2006-09-27,21.90,22.799999,21.75,22.790001,964600,17.84587
2006-09-28,22.799999,23.190001,22.299999,22.940001,625100,17.99491
2006-09-29,23.00,23.25,22.67,23.24,427600,18.23024
2006-10-02,23.25,23.52,22.459999,22.57,578300,17.70467
2006-10-03,22.049999,22.379999,21.68,21.76,1188600,17.06928
2006-10-04,21.76,22.52,21.51,22.26,712200,17.461
2006-10-05,22.35,23.049999,22.17,22.690001,709500,17.79880
2006-10-06,22.450001,22.51,21.879999,22.34,380000,17.52425
2006-10-09,22.370001,22.59,21.75,21.83,302300,17.12419
2006-10-10,21.83,22.200001,21.389999,21.719999,522200,17.03790
2006-10-11,21.719999,21.719999,21.059999,21.50,559000,16.8653
2006-10-12,21.49,22.67,21.440001,22.59,396400,17.72036
2006-10-13,22.84,23.25,22.60,23.190001,443300,18.19102
2006-10-16,23.299999,23.690001,23.15,23.58,408300,18.49695
2006-10-17,23.450001,23.59,22.389999,22.84,367200,17.91647
2006-10-18,23.25,23.299999,22.84,23.00,401900,18.04198
2006-10-19,23.200001,23.219999,22.90,23.110001,355200,18.12826
2006-10-20,23.24,23.24,22.59,22.59,172800,17.72036
2006-10-23,22.59,22.59,22.10,22.120001,296000,17.3516
2006-10-24,22.09,22.559999,21.90,22.559999,460100,17.6968
2006-10-25,22.60,23.50,22.50,23.219999,419600,18.21455
2006-10-26,23.540001,23.870001,23.440001,23.709999,506600,18.59892
2006-10-27,23.709999,24.030001,23.50,23.83,291800,18.69306
2006-10-30,23.58,23.700001,23.32,23.450001,351800,18.39497
2006-10-31,23.450001,23.719999,22.969999,23.559999,316500,18.48126
2006-11-01,23.370001,23.799999,23.370001,23.450001,657500,18.39497
2006-11-02,23.65,23.799999,23.370001,23.58,564900,18.49695
2006-11-03,23.75,24.389999,23.75,24.389999,953700,19.13234
2006-11-06,24.50,25.120001,24.459999,24.68,1306100,19.3598
2006-11-07,24.60,24.85,24.50,24.719999,837800,19.39120
2006-11-08,24.73,25.35,24.66,25.190001,765400,19.75989
2006-11-09,25.440001,25.690001,24.65,25.35,1147700,19.88540
2006-11-10,25.15,25.27,24.809999,25.00,680400,19.61084
2006-11-13,25.85,25.85,25.02,25.10,501800,19.68929
2006-11-14,25.52,25.950001,25.23,25.82,764800,20.25408
2006-11-15,25.82,27.60,25.82,27.60,1475200,21.65037
2006-11-16,27.50,27.91,26.639999,27.00,1567500,21.17971
2006-11-17,26.93,27.67,26.00,27.60,798500,21.65037
2006-11-20,27.700001,27.889999,27.030001,27.620001,577800,21.66606
2006-11-21,27.209999,27.889999,27.129999,27.40,469200,21.4934
2006-11-22,27.40,27.51,26.75,26.85,444900,21.06205
2006-11-24,26.85,27.26,26.700001,27.26,141300,21.3836
2006-11-27,27.469999,27.620001,26.85,27.00,338000,21.17971
2006-11-28,27.16,27.48,26.90,27.459999,576600,21.54055
2006-11-29,27.629999,29.10,27.58,28.700001,838600,22.51325
2006-11-30,28.709999,28.84,28.10,28.32,517200,22.2151
2006-12-01,28.33,29.02,27.85,28.870001,490400,22.64660
2006-12-04,29.120001,29.440001,28.709999,28.76,395800,22.56032
2006-12-05,28.98,29.280001,28.58,28.879999,315100,22.65445
2006-12-06,28.709999,29.030001,28.52,28.67,334400,22.48972
2006-12-07,28.629999,28.68,28.219999,28.24,157600,22.15241
2006-12-08,28.24,28.24,27.450001,27.98,409700,21.94846
2006-12-11,27.780001,27.90,27.33,27.459999,511600,21.54055
2006-12-12,27.40,27.60,27.030001,27.17,338500,21.31307
2006-12-13,27.299999,28.83,27.01,28.34,424700,22.23085
2006-12-14,28.940001,29.15,28.450001,28.889999,313900,22.66229
2006-12-15,29.32,29.32,28.120001,28.120001,375300,22.05828
2006-12-18,28.129999,28.129999,25.75,25.959999,1144300,20.36390
2006-12-19,25.02,27.139999,24.969999,27.139999,588600,21.28953
2006-12-20,27.200001,27.34,26.139999,26.219999,501600,20.56785
2006-12-21,26.190001,26.299999,25.290001,25.60,351600,20.0815
2006-12-22,25.60,25.98,25.280001,25.57,185100,20.05797
2006-12-26,25.57,26.040001,25.50,26.040001,173900,20.42666
2006-12-27,26.10,26.360001,26.00,26.219999,209800,20.56785
2006-12-28,26.08,26.09,25.76,25.90,146000,20.3478
2006-12-29,25.85,25.889999,25.40,25.459999,146600,20.00220
2007-01-03,25.459999,25.65,24.50,25.219999,372800,19.81364
2007-01-04,24.85,25.129999,24.700001,24.93,596800,19.58581
