Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,46.00,46.00,42.00,43.625,575000,17.30822
2000-01-04,43.50,43.50,41.75,42.25,409600,16.7626
2000-01-05,42.125,42.50,41.125,42.50,596000,16.86187
2000-01-06,35.00,35.375,33.00,34.00,8143000,13.48950
2000-01-07,34.25,34.9375,32.375,33.4375,4297000,13.2663
2000-01-10,34.00,34.5625,33.25,34.5625,1647000,13.71267
2000-01-11,34.50,35.0625,34.375,34.75,1228000,13.78706
2000-01-12,34.50,34.75,33.50,33.75,1456000,13.39031
2000-01-13,34.50,35.00,33.375,34.125,761200,13.53909
2000-01-14,34.25,34.875,34.00,34.25,823800,13.5886
2000-01-18,34.75,37.00,34.375,35.5625,1024400,14.10942
2000-01-19,36.25,37.50,35.9375,37.4375,1720000,14.8533
2000-01-20,37.375,37.4375,36.0625,36.5625,1256400,14.50617
2000-01-21,36.625,36.75,35.875,35.9375,536200,14.25820
2000-01-24,36.1875,36.625,35.6875,35.6875,660200,14.15901
2000-01-25,35.5625,35.625,33.75,34.4375,542600,13.6630
2000-01-26,34.5625,34.625,32.625,33.0625,507200,13.11754
2000-01-27,32.875,33.00,30.75,31.125,1460400,12.34884
2000-01-28,31.3125,32.0625,30.625,31.50,670600,12.49762
2000-01-31,31.50,32.00,30.625,31.6875,743400,12.57201
2000-02-01,31.875,32.5625,31.75,32.375,826400,12.84478
2000-02-02,32.875,33.75,32.5625,33.1875,1034800,13.16714
2000-02-03,33.1875,33.50,32.00,32.3125,645200,12.81998
2000-02-04,32.4375,33.25,32.00,32.6875,886200,12.96876
2000-02-07,32.8125,32.9375,32.00,32.1875,288000,12.77039
2000-02-08,33.00,33.125,32.50,33.00,471800,13.09275
2000-02-09,33.25,33.50,32.50,32.75,270200,12.99356
2000-02-10,32.625,32.625,31.3125,32.125,445200,12.74559
2000-02-11,32.125,32.125,30.125,30.25,383000,12.00168
2000-02-14,30.625,30.875,29.3125,29.75,702800,11.80331
2000-02-15,30.00,30.00,29.0625,29.125,343400,11.55534
2000-02-16,29.00,29.0625,24.75,25.875,2811400,10.26590
2000-02-17,26.75,30.00,26.25,30.00,3258200,11.90250
2000-02-18,30.00,30.0625,28.00,28.0625,1271800,11.13379
2000-02-22,28.25,28.3125,27.50,28.25,865400,11.20818
2000-02-23,28.375,29.50,28.375,29.1875,869400,11.58014
2000-02-24,29.125,29.125,27.00,27.625,578400,10.9602
2000-02-25,27.0625,27.875,27.0625,27.1875,339000,10.78664
2000-02-28,27.4375,28.25,27.0625,28.25,290600,11.20818
2000-02-29,29.00,31.75,28.875,30.9375,519200,12.27445
2000-03-01,31.00,32.50,30.25,32.50,813000,12.89437
2000-03-02,32.75,33.375,31.4375,31.4375,546800,12.4728
2000-03-03,31.5625,31.625,30.75,30.875,477200,12.24965
2000-03-06,17.25,19.75,17.125,19.50,20882200,7.73662
2000-03-07,19.75,19.75,18.50,19.6875,5533600,7.81101
2000-03-08,21.75,24.00,19.625,24.00,4742200,9.52200
2000-03-09,23.375,23.50,22.25,23.00,3216600,9.12525
2000-03-10,23.3125,23.4375,21.875,22.625,1953200,8.9764
2000-03-13,22.50,23.1875,22.00,22.1875,1116200,8.80289
2000-03-14,22.50,22.50,21.50,21.75,1065000,8.62931
2000-03-15,21.75,25.00,21.375,23.125,2297800,9.17484
2000-03-16,24.50,27.375,23.25,27.375,2367000,10.86103
2000-03-17,27.00,27.50,26.0625,27.1875,1230600,10.78664
2000-03-20,26.00,27.00,25.8125,27.00,489600,10.71225
2000-03-21,26.75,28.25,26.25,27.5625,523400,10.93542
2000-03-22,28.00,28.00,26.8125,26.8125,366800,10.63786
2000-03-23,27.00,27.00,26.375,26.50,491600,10.51387
2000-03-24,26.25,26.3125,25.375,26.00,828600,10.31550
2000-03-27,25.9375,25.9375,25.0625,25.6875,579400,10.19151
2000-03-28,25.625,26.375,25.50,25.875,608000,10.26590
2000-03-29,26.00,26.3125,25.75,26.00,562000,10.31550
2000-03-30,26.00,27.50,25.625,27.1875,1005800,10.78664
2000-03-31,27.1875,31.00,27.1875,31.00,1515800,12.29925
2000-04-03,31.00,31.4375,30.4375,31.0625,800200,12.32404
2000-04-04,29.75,31.00,29.00,30.50,1546200,12.10087
2000-04-05,30.375,30.4375,29.875,30.0625,575800,11.92729
2000-04-06,29.9375,30.5625,29.875,30.125,2206000,11.95209
2000-04-07,30.1875,33.00,30.1875,33.00,649600,13.09275
2000-04-10,32.75,32.75,31.50,31.625,564000,12.54722
2000-04-11,30.50,30.6875,30.1875,30.6875,866600,12.17526
2000-04-12,31.00,31.8125,30.75,31.50,753200,12.49762
2000-04-13,31.50,33.0625,31.375,33.0625,826200,13.11754
2000-04-14,32.00,32.00,29.625,29.6875,880600,11.77851
2000-04-17,29.50,29.5625,28.25,28.75,1010400,11.40656
2000-04-18,29.125,30.125,29.00,30.125,355800,11.95209
2000-04-19,29.625,30.4375,29.375,29.4375,391200,11.6793
2000-04-20,29.00,30.6875,29.00,30.625,395800,12.15047
2000-04-24,30.50,30.50,29.9375,30.00,883800,11.90250
2000-04-25,30.00,31.3125,30.00,30.875,409000,12.24965
2000-04-26,30.625,35.00,30.625,33.50,683400,13.29112
2000-04-27,32.00,34.25,31.6875,33.625,625000,13.34072
2000-04-28,33.375,35.125,33.375,34.625,719400,13.73747
2000-05-01,34.375,34.4375,33.75,34.0625,372600,13.51429
2000-05-02,33.8125,34.00,33.00,33.00,329800,13.09275
2000-05-03,32.50,32.50,30.25,30.75,1015600,12.20006
