Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,120.25,120.25,117.50,117.50,19700,107.16542
2000-01-04,117.0625,117.50,116.50,116.50,38600,106.25338
2000-01-05,116.75,120.00,116.75,119.875,10300,109.33153
2000-01-06,119.50,120.00,119.00,119.00,1800,108.53349
2000-01-07,118.75,118.875,118.25,118.25,3400,107.84946
2000-01-10,117.625,118.0625,117.50,118.00,13200,107.62145
2000-01-11,118.00,119.25,118.00,119.25,2200,108.76150
2000-01-12,118.75,119.00,118.00,118.00,9700,107.62145
2000-01-13,118.25,118.50,117.50,117.50,4000,107.16542
2000-01-14,117.5625,117.5625,114.9375,115.00,6600,104.88531
2000-01-18,114.75,116.00,114.00,115.75,7100,105.56934
2000-01-19,115.50,116.00,115.50,116.00,6000,105.79735
2000-01-20,117.00,119.50,117.00,119.50,8400,108.9895
2000-01-21,119.00,119.00,116.9375,117.00,9200,106.70940
2000-01-24,117.00,117.00,115.00,115.00,9700,104.88531
2000-01-25,114.75,114.75,113.125,113.50,10900,103.51724
2000-01-26,114.00,114.625,113.50,113.50,9100,103.51724
2000-01-27,113.00,113.25,111.00,111.00,10800,101.23712
2000-01-28,111.50,112.00,111.50,111.50,10600,101.69315
2000-01-31,111.00,112.50,109.75,112.50,10800,102.60519
2000-02-01,112.00,112.625,111.50,112.3125,11600,102.43418
2000-02-02,112.3125,112.75,112.0625,112.25,5600,102.37718
2000-02-03,112.125,113.00,112.125,112.125,3500,102.2631
2000-02-04,112.50,113.00,111.50,112.625,4200,102.71920
2000-02-07,112.125,112.50,112.00,112.50,2300,102.60519
2000-02-08,112.375,112.375,112.25,112.375,400,102.49119
2000-02-09,112.125,112.625,112.125,112.625,5700,102.71920
2000-02-10,113.25,114.875,113.25,114.625,11200,104.54329
2000-02-11,114.6875,114.6875,113.75,113.875,3600,103.8592
2000-02-14,113.00,113.625,113.00,113.125,10200,103.17522
2000-02-15,113.0625,113.375,113.00,113.0625,5300,103.11822
2000-02-16,112.9375,112.9375,111.00,111.0625,7700,101.2941
2000-02-17,111.00,111.50,109.00,110.00,7300,100.32508
2000-02-18,109.75,111.00,109.00,109.00,11600,99.41303
2000-02-22,108.00,109.00,108.00,109.00,3600,99.41303
2000-02-23,109.50,109.50,107.75,109.00,21900,99.41303
2000-02-24,109.00,109.00,108.75,108.8125,2200,99.24202
2000-02-25,108.25,108.3125,106.50,106.50,4400,97.1329
2000-02-28,107.00,107.00,106.00,106.1875,8600,96.84790
2000-02-29,106.75,110.50,106.75,110.25,6400,100.55309
2000-03-01,111.25,111.50,111.00,111.125,8600,101.35113
2000-03-02,111.53125,111.875,109.50,109.50,3300,99.86905
2000-03-03,109.50,110.00,106.00,106.50,14700,97.1329
2000-03-06,106.00,106.00,104.75,104.75,4500,95.53683
2000-03-07,104.00,104.625,102.50,102.875,17900,93.82675
2000-03-08,103.00,103.50,102.00,102.00,8400,93.02871
2000-03-09,102.00,112.50,101.5625,112.50,15900,103.00915
2000-03-10,112.375,119.75,112.00,119.00,17500,108.96079
2000-03-13,118.75,126.00,118.75,125.25,29700,114.68352
2000-03-14,133.00,135.00,133.00,134.00,21300,122.69535
2000-03-15,134.00,134.00,133.00,134.00,10700,122.69535
2000-03-16,134.00,138.375,134.00,137.00,7100,125.44226
2000-03-17,136.50,136.50,135.50,135.8125,4800,124.35494
2000-03-20,135.50,137.00,135.50,136.00,2600,124.52662
2000-03-21,136.50,137.00,135.00,135.50,22600,124.06880
2000-03-22,135.00,135.50,134.00,134.50,13600,123.15317
2000-03-23,136.00,136.00,133.50,134.25,4200,122.92426
2000-03-24,134.00,135.00,133.00,134.9375,6800,123.55376
2000-03-27,134.50,134.5625,133.25,133.4375,2500,122.18030
2000-03-28,133.00,133.00,128.50,130.00,10900,119.03280
2000-03-29,130.50,131.75,130.50,131.75,5600,120.63516
2000-03-30,132.50,136.00,132.50,134.9375,7100,123.55376
2000-03-31,135.9375,135.9375,134.00,134.125,10400,122.80980
2000-04-03,134.00,134.50,133.50,133.875,3800,122.58089
2000-04-04,134.00,134.25,133.00,133.00,5400,121.77971
2000-04-05,133.00,133.75,133.00,133.00,6300,121.77971
2000-04-06,133.50,133.50,132.75,132.75,3000,121.55080
2000-04-07,132.50,132.50,131.75,131.75,8200,120.63516
2000-04-10,131.25,131.50,129.0625,129.125,6300,118.23162
2000-04-11,130.00,130.00,128.875,129.50,7500,118.57498
2000-04-12,129.25,129.25,127.50,129.00,9500,118.11716
2000-04-13,128.9375,129.25,125.75,126.00,16600,115.37025
2000-04-14,125.50,127.50,125.00,126.375,27400,115.7136
2000-04-17,127.00,127.50,126.00,127.00,3700,116.28589
2000-04-18,127.50,131.75,127.50,131.75,9300,120.63516
2000-04-19,131.50,132.50,131.50,131.50,6000,120.4062
2000-04-20,131.00,131.25,131.00,131.00,2900,119.94844
2000-04-24,131.25,132.00,130.625,132.00,1600,120.86407
2000-04-25,132.25,136.50,132.25,136.00,7100,124.52662
2000-04-26,136.50,137.00,135.50,136.75,3900,125.21335
2000-04-27,136.50,137.00,135.00,135.75,10300,124.29771
2000-04-28,136.125,139.25,136.125,139.0625,9700,127.33076
2000-05-01,139.0625,141.00,139.0625,140.5625,2500,128.7042
2000-05-02,140.50,141.00,139.50,141.00,3300,129.10481
2000-05-03,141.50,141.50,141.3125,141.3125,700,129.39094
2000-05-04,142.00,142.00,139.25,139.25,7600,127.50244
2000-05-05,139.25,141.75,139.25,141.00,5600,129.10481
2000-05-08,140.50,140.75,138.00,138.00,4900,126.357
2000-05-09,138.50,138.50,137.75,137.75,800,126.12899
2000-05-10,137.75,137.75,137.25,137.25,300,125.67117
2000-05-11,137.00,137.50,136.875,137.25,5700,125.67117
2000-05-12,138.00,138.00,136.125,137.25,5700,125.67117
2000-05-15,137.75,138.75,137.25,138.75,1500,127.04462
2000-05-16,138.75,143.125,138.75,143.125,4000,131.05053
2000-05-17,144.00,144.00,143.00,143.50,800,131.39390
2000-05-18,144.00,144.00,142.00,142.00,2800,130.02044
2000-05-19,142.0625,142.0625,141.00,141.00,1000,129.10481
2000-05-22,141.00,141.00,140.25,140.3125,1800,128.4753
2000-05-23,140.00,140.625,140.00,140.625,8800,128.76144
2000-05-24,140.00,141.50,140.00,141.50,22400,129.56262
2000-05-25,141.00,141.00,140.125,140.50,10000,128.64699
2000-05-26,140.50,142.50,140.50,140.875,20700,128.99035
2000-05-30,141.00,141.75,141.00,141.3125,6000,129.39094
2000-05-31,141.25,141.25,141.1875,141.1875,400,129.27649
2000-06-01,142.00,143.50,142.00,143.50,12400,131.39390
2000-06-02,143.50,145.50,143.50,144.50,10700,132.3095
2000-06-05,144.50,145.00,144.50,145.00,5800,132.76735
2000-06-06,145.00,146.00,145.00,146.00,7000,133.68299
2000-06-07,146.50,147.375,146.50,147.00,8600,134.59863
2000-06-08,147.50,148.00,147.50,148.00,2300,135.5142
2000-06-09,148.00,149.625,148.00,149.0625,14000,136.48713
2000-06-12,149.00,150.00,148.75,149.00,5500,136.42990
2000-06-13,149.50,150.00,149.125,150.00,12800,137.34554
2000-06-14,150.00,154.50,150.00,154.25,8900,141.23700
2000-06-15,154.50,161.00,154.50,160.00,28700,146.88281
2000-06-16,161.00,165.75,161.00,162.00,26000,148.71884
2000-06-19,161.25,161.25,160.00,160.8125,4000,147.628
2000-06-20,160.50,160.50,159.75,159.75,1200,146.65330
2000-06-21,159.50,160.50,159.50,160.00,7500,146.88281
2000-06-22,160.00,160.00,160.00,160.00,900,146.88281
2000-06-23,160.0625,161.00,160.00,161.00,13600,147.80082
2000-06-26,160.50,161.00,160.50,160.75,600,147.57132
2000-06-27,160.50,160.50,160.00,160.00,1400,146.88281
2000-06-28,160.00,160.00,159.00,160.00,3600,146.88281
2000-06-29,160.125,161.50,160.125,161.00,4900,147.80082
2000-06-30,161.00,162.00,160.00,160.00,25500,146.88281
2000-07-03,161.00,161.00,161.00,161.00,1100,147.80082
2000-07-05,161.00,161.00,161.00,161.00,000,147.80082
2000-07-06,161.00,161.00,160.50,161.00,6800,147.80082
2000-07-07,160.50,163.00,160.50,162.25,6900,148.9483
2000-07-10,163.00,165.00,163.00,164.50,5600,151.0138
2000-07-11,164.5625,165.50,164.00,164.00,7100,150.55488
2000-07-12,164.50,164.50,161.00,162.50,11400,149.17785
2000-07-13,163.00,163.50,162.00,162.00,1800,148.71884
2000-07-14,162.00,163.00,161.9375,163.00,2500,149.63686
2000-07-17,162.50,163.00,160.00,160.00,3800,146.88281
2000-07-18,160.50,160.75,159.00,159.50,2800,146.42380
2000-07-19,159.25,160.00,159.125,159.9375,1900,146.82543
2000-07-20,159.50,160.00,159.50,159.75,900,146.65330
2000-07-21,159.75,159.75,159.75,159.75,000,146.65330
2000-07-24,159.25,159.875,159.00,159.875,3200,146.76805
2000-07-25,159.50,160.00,159.50,160.00,2100,146.88281
2000-07-26,160.00,160.00,158.50,159.00,6900,145.96479
2000-07-27,159.00,163.50,159.00,161.00,18700,147.80082
2000-07-28,160.00,160.00,157.00,157.00,4000,144.12875
2000-07-31,157.00,157.00,157.00,157.00,100,144.12875
2000-08-01,157.0625,157.0625,156.4375,156.4375,1700,143.61237
2000-08-02,156.00,157.00,156.00,156.9375,1300,144.07138
2000-08-03,155.50,155.50,155.25,155.25,1300,142.52222
2000-08-04,155.50,155.50,155.4375,155.50,300,142.75173
2000-08-07,155.4375,156.00,155.3125,156.00,5600,143.2107
2000-08-08,155.50,155.50,155.00,155.00,4600,142.29272
2000-08-09,155.00,156.00,155.00,156.00,6100,143.2107
2000-08-10,156.00,158.875,156.00,158.875,2100,145.85004
2000-08-11,159.00,160.00,157.00,157.0625,3900,144.18613
2000-08-14,165.00,168.00,162.875,163.00,11600,149.63686
2000-08-15,163.00,163.00,162.50,162.5625,800,149.23523
2000-08-16,162.25,164.00,162.25,164.00,1600,150.55488
2000-08-17,163.75,163.75,163.75,163.75,200,150.32537
2000-08-18,163.75,163.75,163.50,163.50,300,150.09587
2000-08-21,163.9375,164.00,163.5625,163.6875,1700,150.26
2000-08-22,164.00,164.00,162.50,163.50,6100,150.09587
2000-08-23,163.4375,163.50,163.00,163.00,500,149.63686
2000-08-24,163.625,164.50,163.625,164.125,2100,150.66963
2000-08-25,162.25,162.375,162.00,162.25,3100,148.9483
2000-08-28,162.00,163.00,162.00,163.00,1800,149.63686
2000-08-29,162.00,162.00,161.00,162.00,2200,148.71884
2000-08-30,162.00,163.00,162.00,163.00,600,149.63686
2000-08-31,162.75,163.00,162.75,163.00,1200,149.63686
2000-09-01,162.75,164.00,162.75,164.00,600,150.55488
2000-09-05,164.50,165.00,164.50,165.00,6200,151.47289
2000-09-06,164.75,165.00,164.75,164.875,2000,151.35814
2000-09-07,165.00,165.00,164.875,165.00,11000,151.47289
2000-09-08,164.75,164.75,164.75,164.75,400,151.24339
2000-09-11,165.00,165.00,164.75,164.75,1600,151.24339
2000-09-12,165.00,166.25,164.625,166.25,43500,152.6204
2000-09-13,167.00,167.00,166.00,166.25,10000,152.6204
2000-09-14,166.50,166.625,166.375,166.375,4100,153.10353
2000-09-15,166.00,166.375,165.0625,165.75,7100,152.52839
2000-09-18,166.75,166.75,166.00,166.75,2300,153.44862
2000-09-19,167.00,170.50,167.00,170.50,4400,156.89949
2000-09-20,169.75,170.25,169.75,170.00,1200,156.43937
2000-09-21,170.00,170.50,170.00,170.50,2100,156.89949
