Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,52.00,53.4375,51.00,51.375,451500,32.6395
2000-01-04,51.125,51.125,48.00,49.0625,454200,31.17037
2000-01-05,49.625,50.00,49.00,49.50,610200,31.44832
2000-01-06,49.375,50.5625,49.00,49.875,601300,31.68657
2000-01-07,50.125,53.50,50.125,53.1875,462200,33.79106
2000-01-10,54.1875,54.875,53.25,54.00,394100,34.30726
2000-01-11,54.125,54.125,52.5625,53.125,479700,33.7513
2000-01-12,53.125,53.125,51.00,51.4375,1886800,32.67925
2000-01-13,51.8125,51.8125,49.125,51.375,670300,32.6395
2000-01-14,51.375,51.9375,50.5625,51.5625,350600,32.75867
2000-01-18,53.3125,53.3125,50.625,50.875,550700,32.3218
2000-01-19,50.8125,51.1875,50.625,50.875,584500,32.3218
2000-01-20,51.75,52.25,50.5625,51.125,292300,32.4807
2000-01-21,50.875,50.9375,49.50,49.8125,423400,31.64686
2000-01-24,49.9375,50.50,48.3125,48.375,304600,30.73359
2000-01-25,48.625,49.00,47.625,47.875,266600,30.41593
2000-01-26,48.50,48.5625,46.50,46.75,220500,29.70119
2000-01-27,47.00,48.125,46.8125,47.5625,253400,30.21739
2000-01-28,47.8125,47.8125,46.3125,46.625,383700,29.62178
2000-01-31,46.875,46.875,45.125,45.375,245800,28.82763
2000-02-01,45.3125,45.625,44.9375,45.625,979000,28.98646
2000-02-02,46.125,46.50,44.75,44.875,691900,28.50997
2000-02-03,43.25,46.875,42.625,46.625,995500,29.62178
2000-02-04,46.50,48.375,46.375,47.125,231200,29.93944
2000-02-07,47.00,47.00,45.125,45.375,403500,28.82763
2000-02-08,45.25,46.125,45.125,45.25,483500,28.74821
2000-02-09,45.125,45.125,44.50,44.625,537700,28.35114
2000-02-10,45.75,45.75,44.25,44.50,620500,28.27172
2000-02-11,43.75,44.4375,43.75,44.00,850600,28.23963
2000-02-14,43.75,44.4375,42.50,42.5625,198600,27.31703
2000-02-15,42.9375,44.625,42.9375,44.5625,2043200,28.60065
2000-02-16,44.875,45.75,44.8125,45.1875,334900,29.00178
2000-02-17,45.4375,45.50,43.75,44.0625,297400,28.27974
2000-02-18,43.625,43.625,41.50,42.00,1266400,26.95601
2000-02-22,42.75,42.8125,41.375,41.625,286400,26.71533
2000-02-23,41.875,42.25,41.0625,41.3125,423900,26.51477
2000-02-24,41.1875,41.1875,39.375,39.8125,481000,25.55205
2000-02-25,39.375,39.9375,39.00,39.5625,502900,25.39160
2000-02-28,41.00,41.375,39.625,40.75,410300,26.15375
2000-02-29,41.25,41.5625,40.3125,40.4375,496200,25.95318
2000-03-01,40.875,42.1875,40.625,41.9375,462600,26.91590
2000-03-02,42.1875,43.25,42.00,42.5625,333400,27.31703
2000-03-03,42.625,44.0625,42.625,43.50,216400,27.9187
2000-03-06,42.50,42.875,41.0625,42.625,361600,27.35714
2000-03-07,41.75,43.1875,41.625,42.25,441000,27.11646
2000-03-08,42.25,42.75,42.1875,42.4375,555700,27.23680
2000-03-09,42.4375,42.4375,41.6875,41.6875,351600,26.75544
2000-03-10,41.375,43.00,41.0625,41.9375,222900,26.91590
2000-03-13,41.9375,42.3125,41.0625,41.9375,331600,26.91590
2000-03-14,42.0625,44.50,42.0625,43.75,665000,28.07918
2000-03-15,44.0625,47.50,44.0625,46.625,353100,29.92438
2000-03-16,51.00,52.875,50.875,52.00,1248100,33.37411
2000-03-17,52.125,52.375,51.375,51.875,463200,33.29388
2000-03-20,49.875,50.375,47.25,49.0625,690500,31.48879
2000-03-21,48.75,49.875,47.4375,49.625,713400,31.84981
2000-03-22,50.00,50.00,48.625,48.9375,349600,31.40857
2000-03-23,49.25,50.5625,49.25,50.3125,535200,32.2910
2000-03-24,48.4375,50.875,48.4375,49.875,435700,32.01026
2000-03-27,49.9375,50.25,47.6875,48.125,252500,30.88710
2000-03-28,48.625,49.375,48.25,48.5625,254400,31.16789
2000-03-29,48.875,49.875,48.75,49.00,667000,31.44868
2000-03-30,49.25,52.00,48.25,51.50,1449200,33.05320
2000-03-31,51.50,56.00,51.375,55.375,726000,35.54022
2000-04-03,55.25,57.375,54.625,56.8125,568300,36.46282
