Date,Open,High,Low,Close,Volume,Adj Clos
2000-01-03,14.12496,14.12496,14.12496,14.12496,000,1.09156
2000-01-04,14.00,14.00,14.00,14.00,500,1.08190
2000-01-05,14.00,14.00,14.00,14.00,3000,1.08190
2000-01-06,13.06248,13.37504,13.06248,13.12496,6000,1.01428
2000-01-07,13.25,14.37504,13.25,14.37504,15000,1.11088
2000-01-10,14.00,14.00,14.00,14.00,500,1.08190
2000-01-11,14.00,14.00,14.00,14.00,500,1.08190
2000-01-12,14.00,14.00,14.00,14.00,000,1.08190
2000-01-13,14.12496,14.12496,14.12496,14.12496,1500,1.09156
2000-01-14,14.12496,14.12496,14.12496,14.12496,000,1.09156
2000-01-18,11.37504,12.18752,11.25,11.75,29500,0.90802
2000-01-19,11.25,11.37504,11.25,11.37504,4000,0.8790
2000-01-20,11.00,11.00,11.00,11.00,500,0.85006
2000-01-21,10.75,11.00,10.56248,11.00,8500,0.85006
2000-01-24,11.00,11.00,11.00,11.00,000,0.85006
2000-01-25,11.00,11.00,11.00,11.00,000,0.85006
2000-01-26,11.00,11.00,11.00,11.00,000,0.85006
2000-01-27,9.50,9.81248,9.50,9.81248,6000,0.75829
2000-01-28,9.93752,9.93752,9.75,9.75,34000,0.75346
2000-01-31,9.75,9.75,9.75,9.75,000,0.75346
2000-02-01,9.06248,9.06248,9.06248,9.06248,500,0.70033
2000-02-02,9.00,9.00,8.50,8.56248,30000,0.66169
2000-02-03,8.56248,8.56248,8.56248,8.56248,000,0.66169
2000-02-04,8.68752,9.00,8.68752,8.87504,4500,0.68585
2000-02-07,9.00,9.00,8.81248,8.81248,7000,0.68101
2000-02-08,8.75,8.75,8.50,8.50,6000,0.6568
2000-02-09,8.31248,8.31248,8.31248,8.31248,1500,0.64237
2000-02-10,9.00,9.00,9.00,9.00,500,0.6955
2000-02-11,9.37504,9.37504,9.00,9.12496,44000,0.70516
2000-02-14,9.37504,9.62496,9.37504,9.62496,5500,0.74380
2000-02-15,9.12496,9.12496,9.00,9.00,32000,0.6955
2000-02-16,9.00,9.00,9.00,9.00,1500,0.6955
2000-02-17,9.00,9.00,8.37504,8.37504,8500,0.64721
2000-02-18,8.37504,8.37504,8.37504,8.37504,000,0.64721
2000-02-22,8.87504,8.87504,8.62496,8.62496,6000,0.66652
2000-02-23,8.62496,8.62496,8.62496,8.62496,000,0.66652
2000-02-24,8.62496,8.62496,8.62496,8.62496,000,0.66652
2000-02-25,8.62496,8.62496,8.62496,8.62496,000,0.66652
2000-02-28,8.75,8.75,8.75,8.75,16000,0.6761
2000-02-29,8.75,8.75,8.00,8.00,4500,0.61823
2000-03-01,8.00,8.00,7.87504,7.87504,4500,0.60857
2000-03-02,7.87504,7.87504,7.87504,7.87504,25500,0.60857
2000-03-03,8.00,8.50,8.00,8.50,8000,0.6568
2000-03-06,8.62496,8.62496,8.37504,8.37504,8500,0.64721
2000-03-07,8.37504,8.37504,8.37504,8.37504,000,0.64721
2000-03-08,8.37504,8.37504,8.37504,8.37504,000,0.64721
2000-03-09,8.43752,8.75,8.43752,8.75,15000,0.6761
2000-03-10,8.75,8.75,8.75,8.75,000,0.6761
2000-03-13,8.75,8.75,8.62496,8.62496,2000,0.66652
2000-03-14,8.50,8.50,8.31248,8.31248,11000,0.64237
2000-03-15,8.25,8.25,8.00,8.00,17500,0.61823
2000-03-16,8.00,8.25,8.00,8.00,23000,0.61823
2000-03-17,8.00,8.00,8.00,8.00,000,0.61823
2000-03-20,8.00,8.00,8.00,8.00,000,0.61823
2000-03-21,8.12496,8.18752,8.12496,8.18752,16500,0.63272
2000-03-22,8.18752,8.18752,8.06248,8.06248,34000,0.62305
2000-03-23,8.06248,8.06248,8.06248,8.06248,3000,0.62305
2000-03-24,8.00,8.00,8.00,8.00,12500,0.61823
2000-03-27,8.06248,8.06248,8.00,8.00,8500,0.61823
2000-03-28,8.12496,8.12496,8.06248,8.12496,35000,0.62788
2000-03-29,8.18752,8.25,8.18752,8.18752,29500,0.63272
2000-03-30,8.25,8.43752,8.25,8.43752,4500,0.65204
2000-03-31,8.43752,8.43752,8.43752,8.43752,500,0.65204
2000-04-03,8.43752,8.43752,8.43752,8.43752,3000,0.65204
2000-04-04,8.31248,8.31248,8.12496,8.12496,13500,0.62788
2000-04-05,7.93752,7.93752,7.93752,7.93752,3000,0.61340
2000-04-06,8.06248,8.06248,8.06248,8.06248,1500,0.62305
2000-04-07,8.37504,8.37504,8.37504,8.37504,27000,0.64721
2000-04-10,8.25,8.25,8.25,8.25,8000,0.63755
2000-04-11,8.12496,8.12496,8.00,8.06248,20500,0.62305
2000-04-12,8.18752,8.18752,8.00,8.00,47000,0.61823
2000-04-13,8.00,8.18752,8.00,8.12496,22000,0.62788
2000-04-14,8.75,8.75,8.50,8.50,24500,0.6568
2000-04-17,8.62496,8.62496,8.37504,8.37504,28500,0.64721
2000-04-18,10.50,10.62496,10.37504,10.62496,33500,0.82108
2000-04-19,10.81248,10.81248,10.37504,10.37504,11000,0.80177
2000-04-20,10.50,10.50,10.50,10.50,16500,0.81142
2000-04-24,10.50,10.50,10.50,10.50,000,0.81142
2000-04-25,10.75,10.87504,10.50,10.75,12000,0.83074
2000-04-26,10.75,10.75,10.56248,10.56248,4000,0.81625
2000-04-27,10.50,10.68752,10.50,10.62496,35000,0.82108
2000-04-28,10.62496,10.62496,10.62496,10.62496,000,0.82108
2000-05-01,10.25,10.25,10.25,10.25,1500,0.79210
2000-05-02,10.25,10.25,10.25,10.25,000,0.79210
2000-05-03,10.25,10.25,10.25,10.25,000,0.79210
2000-05-04,10.25,10.25,10.25,10.25,000,0.79210
2000-05-05,10.37504,10.62496,10.37504,10.50,5500,0.81142
2000-05-08,10.50,10.50,10.50,10.50,000,0.81142
2000-05-09,10.62496,10.62496,10.62496,10.62496,4000,0.82108
2000-05-10,10.62496,10.75,10.62496,10.75,7000,0.83074
2000-05-11,10.12496,10.12496,10.12496,10.12496,000,0.82690
2000-05-12,10.25,11.00,10.25,10.75,68000,0.87795
2000-05-15,11.25,12.87504,11.25,12.87504,96000,1.05150
2000-05-16,12.93752,13.68752,12.93752,13.18752,46000,1.07702
2000-05-17,12.75,12.75,12.50,12.75,22000,1.04129
2000-05-18,12.62496,12.81248,12.62496,12.81248,60500,1.04639
2000-05-19,12.81248,12.81248,12.81248,12.81248,4000,1.04639
2000-05-22,12.50,12.50,11.75,12.00,13500,0.98004
2000-05-23,11.50,11.50,11.50,11.50,2000,0.93920
2000-05-24,11.56248,11.56248,11.25,11.31248,404500,0.92389
2000-05-25,11.18752,11.18752,10.50,10.50,84000,0.85753
2000-05-26,9.75,9.75,9.50,9.62496,84000,0.78607
2000-05-30,9.25,9.50,9.25,9.50,6000,0.77586
2000-05-31,9.50,9.50,9.50,9.50,000,0.77586
2000-06-01,9.75,10.18752,9.75,10.18752,24000,0.83201
2000-06-02,10.31248,10.56248,10.31248,10.56248,18000,0.86263
2000-06-05,10.25,10.37504,10.25,10.37504,19000,0.8473
2000-06-06,10.43752,10.43752,10.43752,10.43752,500,0.85243
2000-06-07,10.50,10.62496,10.37504,10.50,21500,0.85753
2000-06-08,10.12496,10.25,10.12496,10.25,1500,0.83711
2000-06-09,10.25,10.50,10.25,10.50,15000,0.85753
2000-06-12,10.50,10.75,10.50,10.75,16000,0.87795
2000-06-13,10.75,10.75,10.75,10.75,000,0.87795
2000-06-14,10.75,10.75,10.75,10.75,000,0.87795
2000-06-15,10.75,10.75,10.75,10.75,3000,0.87795
2000-06-16,11.06248,11.06248,10.75,10.87504,106000,0.88816
2000-06-19,11.37504,11.37504,11.37504,11.37504,49500,0.92
2000-06-20,10.93752,11.18752,10.93752,11.12496,48000,0.90857
2000-06-21,10.50,10.50,10.18752,10.31248,19000,0.84222
2000-06-22,10.31248,10.31248,10.31248,10.31248,000,0.84222
2000-06-23,10.31248,10.43752,10.25,10.37504,14000,0.8473
2000-06-26,10.50,10.50,10.50,10.50,500,0.85753
2000-06-27,10.43752,10.43752,10.37504,10.37504,5500,0.8473
2000-06-28,10.56248,10.56248,10.56248,10.56248,4000,0.86263
2000-06-29,10.12496,10.12496,10.12496,10.12496,2000,0.82690
2000-06-30,10.00,10.00,10.00,10.00,42000,0.816
2000-07-03,9.87504,10.00,9.87504,10.00,36000,0.816
2000-07-05,9.87504,10.62496,9.87504,10.56248,192500,0.86263
2000-07-06,10.43752,10.43752,10.31248,10.37504,172000,0.8473
2000-07-07,10.37504,10.37504,10.37504,10.37504,4500,0.8473
2000-07-10,10.37504,10.62496,10.37504,10.50,19000,0.85753
2000-07-11,10.81248,11.00,10.81248,10.93752,10000,0.89326
2000-07-12,11.25,11.75,11.25,11.75,200000,0.95962
2000-07-13,12.00,12.00,11.93752,11.93752,20000,0.97493
2000-07-14,13.43752,13.43752,13.00,13.06248,57500,1.06681
2000-07-17,13.00,13.12496,12.87504,12.87504,40000,1.05150
2000-07-18,12.18752,12.18752,12.18752,12.18752,1500,0.99535
2000-07-19,12.43752,12.50,12.37504,12.50,15000,1.02087
2000-07-20,13.75,13.87504,13.62496,13.62496,8500,1.11275
2000-07-21,14.56248,14.87504,14.56248,14.75,44000,1.20463
2000-07-24,16.437519,16.75,16.312481,16.62496,67000,1.35776
2000-07-25,15.12496,15.12496,15.00,15.00,2000,1.22505
2000-07-26,15.50,15.50,15.25,15.25,45500,1.24546
2000-07-27,15.50,16.00,15.43752,16.00,72500,1.30672
2000-07-28,14.81248,14.93752,14.43752,14.43752,43000,1.17911
2000-07-31,14.50,15.00,14.50,15.00,10000,1.22505
2000-08-01,16.00,16.62496,16.00,16.62496,94000,1.35776
2000-08-02,16.50,16.50,15.87504,16.25,9500,1.32713
2000-08-03,15.87504,15.87504,15.62496,15.62496,83000,1.27609
2000-08-04,16.00,16.00,16.00,16.00,500,1.30672
2000-08-07,16.50,17.187519,16.50,17.187519,17500,1.40370
2000-08-08,17.187519,17.187519,17.062481,17.062481,4000,1.39349
2000-08-09,16.75,17.00,16.62496,16.75,16500,1.36797
2000-08-10,16.87504,16.87504,16.87504,16.87504,500,1.37818
2000-08-11,16.62496,16.62496,16.12496,16.12496,5500,1.31692
2000-08-14,15.37504,15.62496,15.37504,15.50,35000,1.26588
2000-08-15,14.62496,14.62496,14.62496,14.62496,1500,1.19442
2000-08-16,14.75,14.75,14.68752,14.68752,4000,1.1995
2000-08-17,15.00,15.00,15.00,15.00,1500,1.22505
2000-08-18,15.00,15.00,15.00,15.00,8000,1.22505
2000-08-21,14.56248,14.81248,14.56248,14.81248,8000,1.20973
2000-08-22,14.87504,15.12496,14.87504,15.12496,16000,1.23525
2000-08-23,15.00,15.00,15.00,15.00,1500,1.22505
2000-08-24,15.00,15.12496,15.00,15.00,9500,1.22505
2000-08-25,14.75,15.00,14.75,15.00,5500,1.22505
2000-08-28,13.50,13.50,13.50,13.50,12000,1.10254
2000-08-29,13.50,13.50,13.50,13.50,3000,1.10254
2000-08-30,14.00,14.00,13.62496,14.00,8500,1.14338
2000-08-31,13.93752,14.62496,13.93752,14.62496,70000,1.19442
2000-09-01,14.87504,15.00,14.87504,15.00,3000,1.22505
2000-09-05,15.12496,15.50,15.12496,15.25,24500,1.24546
2000-09-06,15.25,15.37504,15.25,15.37504,4000,1.2556
2000-09-07,14.75,14.75,14.75,14.75,4000,1.20463
2000-09-08,14.43752,15.00,14.43752,14.87504,13500,1.21484
2000-09-11,14.87504,15.00,14.87504,15.00,9500,1.22505
2000-09-12,14.12496,14.25,14.12496,14.25,4000,1.16379
2000-09-13,14.25,14.25,14.25,14.25,000,1.16379
2000-09-14,13.75,13.75,13.75,13.75,8000,1.12296
2000-09-15,13.87504,14.00,13.75,13.75,4000,1.12296
2000-09-18,13.75,13.87504,13.75,13.75,6000,1.12296
2000-09-19,13.75,13.75,13.75,13.75,2000,1.12296
2000-09-20,13.37504,13.37504,13.00,13.00,30000,1.06171
2000-09-21,13.00,13.00,13.00,13.00,000,1.06171
2000-09-22,12.12496,12.12496,12.12496,12.12496,3000,0.99024
2000-09-25,12.50,12.50,12.37504,12.37504,9500,1.0106
2000-09-26,12.50,13.12496,12.50,13.12496,12500,1.07191
2000-09-27,13.25,13.62496,13.25,13.62496,20000,1.11275
2000-09-28,13.62496,13.62496,13.62496,13.62496,000,1.11275
2000-09-29,13.50,13.50,13.50,13.50,3000,1.10254
2000-10-02,13.62496,13.62496,13.62496,13.62496,500,1.11275
2000-10-03,14.00,14.00,13.81248,13.81248,16000,1.12806
2000-10-04,13.81248,13.81248,13.81248,13.81248,8000,1.12806
2000-10-05,13.68752,13.68752,13.50,13.50,8500,1.10254
2000-10-06,13.50,13.50,13.50,13.50,000,1.10254
2000-10-09,13.50,13.50,13.50,13.50,000,1.10254
